ID	Len	GC	Group
RF00324_AACZ02170605.1	75	0.307	RF00324
RF00324_AADN02054132.1	81	0.531	RF00324
RF00324_AAFR03032402.1	89	0.404	RF00324
RF00324_AAGU02232831.1	76	0.395	RF00324
RF00324_AAGV020441936.1	92	0.391	RF00324
RF00324_AAIY01379030.1	73	0.534	RF00324
RF00324_AANH01000366.1	83	0.349	RF00324
RF00324_AANN01735692.1	86	0.523	RF00324
RF00324_AANU01214492.1	84	0.524	RF00324
RF00324_AAPE01475389.1	84	0.464	RF00324
RF00324_AAPN01209129.1	90	0.467	RF00324
RF00324_AAQQ01676157.1	82	0.476	RF00324
RF00324_AAQR01668236.1	85	0.341	RF00324
RF00324_AAWR02022017.1	71	0.479	RF00324
RF00324_AAWZ01036065.1	79	0.430	RF00324
RF00324_ABDC01407961.1	83	0.482	RF00324
RF00324_AC010538.9	84	0.452	RF00324
RF00324_AC092123.4	84	0.452	RF00324
RF00324_AK026501.1	84	0.452	RF00324
RF00324_BAAF04006228.1	81	0.383	RF00324
RF00324_BC086577.1	83	0.446	RF00324
RF00324_CAAA01068197.1	86	0.442	RF00324
RF00324_CAAB01003840.1	86	0.360	RF00324
RF00324_CAAE01014581.1	77	0.390	RF00324
RF00324_CU683900.5	83	0.458	RF00324
RF00324_X65514.1	84	0.452	RF00324
