# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00020.cm
# date:    Tue May 10 02:35:27 2016
# seed:    1462847727
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  U5                         search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.47       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -19.6580     -19.6580      0.0000
  RF00418_AAIY01556911.1        141     -17.4048     -17.4048      0.0000
  RF00418_AAYZ01244227.1        137     -16.8827     -16.8827      0.0000
  RF00418_AF357386.1            126     -21.9450     -21.9450      0.0000
  RF00418_AABR04001620.1        135     -23.5331     -23.5331      0.0000
  RF00418_AAQQ01789110.1        137     -14.5293     -14.5293      0.0000
  RF00418_AJ609450.1            137     -19.2296     -19.2296      0.0000
  RF00418_AL590431.11           136     -21.6451     -21.6451      0.0000
  RF00418_AL049745.9            136     -21.4411     -21.4411      0.0000
  RF00418_ABDC01240840.1        136     -21.7481     -21.7481      0.0000
  RF00418_AAQR01162064.1        136     -20.3352     -20.3352      0.0000
  RF00418_AAEX02026315.1        137     -25.2144     -25.2144      0.0000
  RF00418_AANG01021210.1        136     -22.0960     -22.0960      0.0000
  RF00418_AAFC03027776.1        135     -15.1344     -15.1344      0.0000
  RF00418_AAPE01281662.1        136     -20.4277     -23.4938      3.0661
  RF00418_AALT01368588.1        136     -22.2121     -22.2121      0.0000
  RF00418_AAWR02038694.1        136     -19.7728     -19.7728      0.0000
  RF00418_AAGV020286123.1       137     -17.4129     -17.4129      0.0000
  RF00418_AAFR03052180.1        134     -22.8224     -22.8224      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.56    0.84        1  0.05263    3.07
#
# CPU time: 1.03u 0.00s 00:00:01.03 Elapsed: 00:00:01
