# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00122.cm
# date:    Tue May 10 02:35:23 2016
# seed:    1462847723
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  GadY                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.48       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -16.2893     -16.2893      0.0000
  RF00418_AAIY01556911.1        141      -7.7845      -7.7845      0.0000
  RF00418_AAYZ01244227.1        137     -17.8053     -17.8053      0.0000
  RF00418_AF357386.1            126     -17.6119     -17.6119      0.0000
  RF00418_AABR04001620.1        135     -17.5841     -17.5841      0.0000
  RF00418_AAQQ01789110.1        137     -20.7087     -20.7087      0.0000
  RF00418_AJ609450.1            137     -13.3935     -13.3935      0.0000
  RF00418_AL590431.11           136     -16.9162     -16.9162      0.0000
  RF00418_AL049745.9            136      -9.4197      -9.4197      0.0000
  RF00418_ABDC01240840.1        136     -15.1389     -15.1389      0.0000
  RF00418_AAQR01162064.1        136     -19.9873     -19.9873      0.0000
  RF00418_AAEX02026315.1        137     -20.8463     -20.8463      0.0000
  RF00418_AANG01021210.1        136     -16.8439     -16.8439      0.0000
  RF00418_AAFC03027776.1        135      -2.3694      -2.3694      0.0000
  RF00418_AAPE01281662.1        136     -16.2303     -16.2303      0.0000
  RF00418_AALT01368588.1        136     -13.9791     -13.9791      0.0000
  RF00418_AAWR02038694.1        136     -14.2870     -14.2870      0.0000
  RF00418_AAGV020286123.1       137     -12.9298     -12.9298      0.0000
  RF00418_AAFR03052180.1        134     -11.7818     -11.7818      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.51    0.94        0  0.00000    0.00
#
# CPU time: 0.99u 0.00s 00:00:00.99 Elapsed: 00:00:01
