# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00125.cm
# date:    Tue May 10 02:36:22 2016
# seed:    1462847782
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IS128                      search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -60.0274     -60.0274      0.0000
  RF00418_AAIY01556911.1        141     -53.2913     -53.2913      0.0000
  RF00418_AAYZ01244227.1        137     -56.5868     -56.5868      0.0000
  RF00418_AF357386.1            126     -57.7415     -57.7415      0.0000
  RF00418_AABR04001620.1        135     -51.0954     -51.0954      0.0000
  RF00418_AAQQ01789110.1        137     -52.6164     -52.6164      0.0000
  RF00418_AJ609450.1            137     -53.2654     -53.2654      0.0000
  RF00418_AL590431.11           136     -56.7828     -56.7828      0.0000
  RF00418_AL049745.9            136     -50.2402     -50.2402      0.0000
  RF00418_ABDC01240840.1        136     -49.6618     -49.6618      0.0000
  RF00418_AAQR01162064.1        136     -46.1268     -46.1268      0.0000
  RF00418_AAEX02026315.1        137     -58.2908     -58.2908      0.0000
  RF00418_AANG01021210.1        136     -66.9101     -66.9101      0.0000
  RF00418_AAFC03027776.1        135     -55.6889     -55.6889      0.0000
  RF00418_AAPE01281662.1        136     -60.9177     -60.9177      0.0000
  RF00418_AALT01368588.1        136     -50.4614     -50.4614      0.0000
  RF00418_AAWR02038694.1        136     -60.2253     -60.2253      0.0000
  RF00418_AAGV020286123.1       137     -52.9859     -52.9859      0.0000
  RF00418_AAFR03052180.1        134     -62.3557     -62.3557      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.72    1.25        0  0.00000    0.00
#
# CPU time: 1.62u 0.00s 00:00:01.62 Elapsed: 00:00:01
