# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00315.cm
# date:    Tue May 10 02:39:06 2016
# seed:    1462847946
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoJ33                     search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -12.0446     -12.0446      0.0000
  RF00418_AAIY01556911.1        141     -12.3592     -12.3592      0.0000
  RF00418_AAYZ01244227.1        137     -13.2602     -13.2602      0.0000
  RF00418_AF357386.1            126     -11.9651     -11.9651      0.0000
  RF00418_AABR04001620.1        135     -11.7411     -11.7411      0.0000
  RF00418_AAQQ01789110.1        137     -15.8245     -15.8245      0.0000
  RF00418_AJ609450.1            137     -13.0428     -13.0428      0.0000
  RF00418_AL590431.11           136      -6.3206      -6.3206      0.0000
  RF00418_AL049745.9            136      -7.2220      -7.2220      0.0000
  RF00418_ABDC01240840.1        136      -9.9236      -9.9236      0.0000
  RF00418_AAQR01162064.1        136     -15.0387     -15.0387      0.0000
  RF00418_AAEX02026315.1        137     -15.4349     -15.4349      0.0000
  RF00418_AANG01021210.1        136     -19.0698     -19.0698      0.0000
  RF00418_AAFC03027776.1        135     -10.8147     -10.8147      0.0000
  RF00418_AAPE01281662.1        136     -11.8521     -11.8521      0.0000
  RF00418_AALT01368588.1        136       0.2239       0.2239      0.0000
  RF00418_AAWR02038694.1        136     -14.2145     -14.2145      0.0000
  RF00418_AAGV020286123.1       137      -6.8425      -6.8425      0.0000
  RF00418_AAFR03052180.1        134     -21.0900     -21.0900      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.56    0.39        0  0.00000    0.00
#
# CPU time: 0.79u 0.00s 00:00:00.79 Elapsed: 00:00:00
