# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00645.cm
# date:    Tue May 10 02:38:23 2016
# seed:    1462847903
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR169_2                   search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.46       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -10.4260     -10.4260      0.0000
  RF00418_AAIY01556911.1        141      -7.7719      -7.7719      0.0000
  RF00418_AAYZ01244227.1        137      -9.3873      -9.3873      0.0000
  RF00418_AF357386.1            126     -10.8480     -10.8480      0.0000
  RF00418_AABR04001620.1        135     -10.0950     -10.0950      0.0000
  RF00418_AAQQ01789110.1        137      -9.5927      -9.5927      0.0000
  RF00418_AJ609450.1            137     -12.1812     -12.1812      0.0000
  RF00418_AL590431.11           136     -10.0427     -10.0427      0.0000
  RF00418_AL049745.9            136     -16.1253     -16.1253      0.0000
  RF00418_ABDC01240840.1        136      -5.4110      -5.4110      0.0000
  RF00418_AAQR01162064.1        136     -13.6942     -13.6942      0.0000
  RF00418_AAEX02026315.1        137      -7.2023      -7.2023      0.0000
  RF00418_AANG01021210.1        136     -18.7278     -18.7278      0.0000
  RF00418_AAFC03027776.1        135     -14.5837     -14.5837      0.0000
  RF00418_AAPE01281662.1        136     -15.4520     -15.4520      0.0000
  RF00418_AALT01368588.1        136     -13.7506     -13.7506      0.0000
  RF00418_AAWR02038694.1        136     -14.4748     -14.4748      0.0000
  RF00418_AAGV020286123.1       137     -10.3233     -10.3233      0.0000
  RF00418_AAFR03052180.1        134     -14.0118     -14.0118      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.65    0.71        0  0.00000    0.00
#
# CPU time: 1.11u 0.01s 00:00:01.12 Elapsed: 00:00:01
