# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00897.cm
# date:    Tue May 10 02:38:32 2016
# seed:    1462847912
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mir-675                    search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.25       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136      -7.8644      -7.8644      0.0000
  RF00418_AAIY01556911.1        141      -9.1352      -9.1352      0.0000
  RF00418_AAYZ01244227.1        137      -2.0000      -2.0000      0.0000
  RF00418_AF357386.1            126       5.0663       5.0663      0.0000
  RF00418_AABR04001620.1        135       0.1403       0.1403      0.0000
  RF00418_AAQQ01789110.1        137      -0.6307      -0.6307      0.0000
  RF00418_AJ609450.1            137      -0.4423      -0.4423      0.0000
  RF00418_AL590431.11           136       7.1866       7.1866      0.0000
  RF00418_AL049745.9            136      -2.9229      -2.9229      0.0000
  RF00418_ABDC01240840.1        136      -2.5896      -2.5896      0.0000
  RF00418_AAQR01162064.1        136      -3.7570      -3.7570      0.0000
  RF00418_AAEX02026315.1        137      -5.3318      -5.3318      0.0000
  RF00418_AANG01021210.1        136      -3.9258      -3.9258      0.0000
  RF00418_AAFC03027776.1        135     -10.5154     -10.5154      0.0000
  RF00418_AAPE01281662.1        136       0.7906       0.7906      0.0000
  RF00418_AALT01368588.1        136      -9.5379      -9.6021      0.0641
  RF00418_AAWR02038694.1        136       1.4246       1.4246      0.0000
  RF00418_AAGV020286123.1       137      -7.5269      -7.5269      0.0000
  RF00418_AAFR03052180.1        134      -8.3428      -8.3428      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.45    0.56        1  0.05263    0.06
#
# CPU time: 0.70u 0.00s 00:00:00.70 Elapsed: 00:00:01
