# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01050.cm
# date:    Tue May 10 02:38:27 2016
# seed:    1462847907
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Sacc_telomerase            search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:07.23       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136    -616.8977    -616.8977      0.0000
  RF00418_AAIY01556911.1        141    -607.6878    -607.6878      0.0000
  RF00418_AAYZ01244227.1        137    -615.6805    -615.6805      0.0000
  RF00418_AF357386.1            126    -614.2508    -614.2508      0.0000
  RF00418_AABR04001620.1        135    -603.2919    -603.2919      0.0000
  RF00418_AAQQ01789110.1        137    -601.5588    -601.5588      0.0000
  RF00418_AJ609450.1            137    -611.8047    -611.8047      0.0000
  RF00418_AL590431.11           136    -613.4067    -613.4067      0.0000
  RF00418_AL049745.9            136    -614.8179    -614.8179      0.0000
  RF00418_ABDC01240840.1        136    -611.7208    -611.7208      0.0000
  RF00418_AAQR01162064.1        136    -612.9797    -612.9797      0.0000
  RF00418_AAEX02026315.1        137    -614.8468    -614.8468      0.0000
  RF00418_AANG01021210.1        136    -627.8065    -627.8065      0.0000
  RF00418_AAFC03027776.1        135    -607.4373    -607.4373      0.0000
  RF00418_AAPE01281662.1        136    -611.5606    -611.5606      0.0000
  RF00418_AALT01368588.1        136    -614.3569    -614.3569      0.0000
  RF00418_AAWR02038694.1        136    -619.8098    -619.8098      0.0000
  RF00418_AAGV020286123.1       137    -599.4566    -599.4566      0.0000
  RF00418_AAFR03052180.1        134    -619.3203    -619.3203      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:04.05    1.79        0  0.00000    0.00
#
# CPU time: 11.30u 0.18s 00:00:11.48 Elapsed: 00:00:11
