# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01083.cm
# date:    Tue May 10 02:35:57 2016
# seed:    1462847757
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  UPD-PK2                    search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.04       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136      -1.3319      -1.3319      0.0000
  RF00418_AAIY01556911.1        141      -0.4770      -0.4770      0.0000
  RF00418_AAYZ01244227.1        137      -4.0124      -4.0124      0.0000
  RF00418_AF357386.1            126      -4.3449      -4.3449      0.0000
  RF00418_AABR04001620.1        135      -4.3449      -4.3449      0.0000
  RF00418_AAQQ01789110.1        137      -1.3319      -1.3319      0.0000
  RF00418_AJ609450.1            137      -1.3319      -1.3319      0.0000
  RF00418_AL590431.11           136      -1.4419      -1.4419      0.0000
  RF00418_AL049745.9            136      -1.1125      -1.1125      0.0000
  RF00418_ABDC01240840.1        136      -1.3319      -1.3319      0.0000
  RF00418_AAQR01162064.1        136      -3.2422      -3.2422      0.0000
  RF00418_AAEX02026315.1        137      -1.3319      -1.3319      0.0000
  RF00418_AANG01021210.1        136      -0.2204      -0.2204      0.0000
  RF00418_AAFC03027776.1        135      -5.0226      -5.0226      0.0000
  RF00418_AAPE01281662.1        136      -1.3319      -1.3319      0.0000
  RF00418_AALT01368588.1        136      -5.0696      -5.0696      0.0000
  RF00418_AAWR02038694.1        136      -1.3319      -1.3319      0.0000
  RF00418_AAGV020286123.1       137      -1.3319      -1.3319      0.0000
  RF00418_AAFR03052180.1        134      -4.1822      -4.1822      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.21    0.19        0  0.00000    0.00
#
# CPU time: 0.25u 0.00s 00:00:00.25 Elapsed: 00:00:01
