# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01193.cm
# date:    Tue May 10 02:35:47 2016
# seed:    1462847747
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR20a                    search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -19.5111     -19.5111      0.0000
  RF00418_AAIY01556911.1        141     -13.0746     -13.0746      0.0000
  RF00418_AAYZ01244227.1        137     -19.2500     -19.2500      0.0000
  RF00418_AF357386.1            126     -20.5289     -20.5289      0.0000
  RF00418_AABR04001620.1        135     -18.1738     -18.1738      0.0000
  RF00418_AAQQ01789110.1        137     -15.3136     -15.3136      0.0000
  RF00418_AJ609450.1            137     -17.7042     -17.7042      0.0000
  RF00418_AL590431.11           136     -17.5097     -17.5097      0.0000
  RF00418_AL049745.9            136     -13.6203     -13.6203      0.0000
  RF00418_ABDC01240840.1        136     -22.5609     -22.5609      0.0000
  RF00418_AAQR01162064.1        136     -19.4738     -19.4738      0.0000
  RF00418_AAEX02026315.1        137     -19.6330     -19.6330      0.0000
  RF00418_AANG01021210.1        136     -24.2935     -24.2935      0.0000
  RF00418_AAFC03027776.1        135     -16.0356     -16.0356      0.0000
  RF00418_AAPE01281662.1        136     -20.1880     -20.1880      0.0000
  RF00418_AALT01368588.1        136     -22.4257     -22.4257      0.0000
  RF00418_AAWR02038694.1        136     -24.2464     -24.2464      0.0000
  RF00418_AAGV020286123.1       137      -9.6908      -9.6908      0.0000
  RF00418_AAFR03052180.1        134     -18.7065     -18.7065      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.61    0.36        0  0.00000    0.00
#
# CPU time: 0.84u 0.00s 00:00:00.84 Elapsed: 00:00:01
