# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01686.cm
# date:    Tue May 10 02:38:26 2016
# seed:    1462847906
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Acido-1                    search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.24       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -14.2048     -14.2048      0.0000
  RF00418_AAIY01556911.1        141      -5.4815      -5.4815      0.0000
  RF00418_AAYZ01244227.1        137     -11.6525     -11.6525      0.0000
  RF00418_AF357386.1            126      -7.7738      -7.7738      0.0000
  RF00418_AABR04001620.1        135     -13.1541     -13.1541      0.0000
  RF00418_AAQQ01789110.1        137     -11.2851     -11.2851      0.0000
  RF00418_AJ609450.1            137     -11.3400     -11.3400      0.0000
  RF00418_AL590431.11           136      -9.4121      -9.4121      0.0000
  RF00418_AL049745.9            136     -12.2428     -12.2428      0.0000
  RF00418_ABDC01240840.1        136      -9.6345      -9.6345      0.0000
  RF00418_AAQR01162064.1        136     -10.0751     -10.0751      0.0000
  RF00418_AAEX02026315.1        137     -11.4545     -11.4545      0.0000
  RF00418_AANG01021210.1        136      -8.9768      -8.9768      0.0000
  RF00418_AAFC03027776.1        135      -8.7808      -8.7808      0.0000
  RF00418_AAPE01281662.1        136     -11.9774     -11.9774      0.0000
  RF00418_AALT01368588.1        136      -3.9785      -3.9785      0.0000
  RF00418_AAWR02038694.1        136     -12.5679     -12.5679      0.0000
  RF00418_AAGV020286123.1       137     -10.3498     -10.3498      0.0000
  RF00418_AAFR03052180.1        134      -5.4885      -5.4885      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.56    0.42        0  0.00000    0.00
#
# CPU time: 0.81u 0.00s 00:00:00.81 Elapsed: 00:00:00
