# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01803.cm
# date:    Tue May 10 02:37:31 2016
# seed:    1462847851
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  GABA3                      search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.18       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136      -6.5199      -6.5199      0.0000
  RF00418_AAIY01556911.1        141     -11.1957     -11.1957      0.0000
  RF00418_AAYZ01244227.1        137      -4.5164      -4.5164      0.0000
  RF00418_AF357386.1            126      -9.1854      -9.1854      0.0000
  RF00418_AABR04001620.1        135     -10.8466     -10.8466      0.0000
  RF00418_AAQQ01789110.1        137      -8.9690      -8.9690      0.0000
  RF00418_AJ609450.1            137     -11.8489     -11.8489      0.0000
  RF00418_AL590431.11           136      -1.2725      -1.2725      0.0000
  RF00418_AL049745.9            136     -12.9100     -12.9100      0.0000
  RF00418_ABDC01240840.1        136     -10.4683     -10.4683      0.0000
  RF00418_AAQR01162064.1        136      -6.3215      -6.3215      0.0000
  RF00418_AAEX02026315.1        137      -8.3752      -8.3752      0.0000
  RF00418_AANG01021210.1        136      -5.3313      -5.3313      0.0000
  RF00418_AAFC03027776.1        135      -1.2575      -1.2575      0.0000
  RF00418_AAPE01281662.1        136      -6.3107      -6.3107      0.0000
  RF00418_AALT01368588.1        136      -4.7327      -4.7327      0.0000
  RF00418_AAWR02038694.1        136     -10.4847     -10.4847      0.0000
  RF00418_AAGV020286123.1       137      -9.1758      -9.1758      0.0000
  RF00418_AAFR03052180.1        134      -9.0009      -9.0009      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.49    0.37        0  0.00000    0.00
#
# CPU time: 0.67u 0.00s 00:00:00.67 Elapsed: 00:00:00
