# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01812.cm
# date:    Tue May 10 02:35:52 2016
# seed:    1462847752
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Pxr                        search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.52       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -13.6727     -13.6727      0.0000
  RF00418_AAIY01556911.1        141      -9.1758      -9.1758      0.0000
  RF00418_AAYZ01244227.1        137      -9.2781      -9.2781      0.0000
  RF00418_AF357386.1            126     -10.3750     -10.3750      0.0000
  RF00418_AABR04001620.1        135     -16.0142     -16.0142      0.0000
  RF00418_AAQQ01789110.1        137      -9.1314      -9.1314      0.0000
  RF00418_AJ609450.1            137     -17.5208     -17.5208      0.0000
  RF00418_AL590431.11           136     -15.6330     -15.6330      0.0000
  RF00418_AL049745.9            136     -16.8543     -16.8543      0.0000
  RF00418_ABDC01240840.1        136     -12.2143     -12.2143      0.0000
  RF00418_AAQR01162064.1        136     -18.2159     -18.2159      0.0000
  RF00418_AAEX02026315.1        137     -19.4520     -19.4520      0.0000
  RF00418_AANG01021210.1        136     -18.3693     -18.3693      0.0000
  RF00418_AAFC03027776.1        135     -12.1939     -12.1939      0.0000
  RF00418_AAPE01281662.1        136     -16.7184     -16.7184      0.0000
  RF00418_AALT01368588.1        136     -16.3763     -16.3763      0.0000
  RF00418_AAWR02038694.1        136     -16.2639     -16.2639      0.0000
  RF00418_AAGV020286123.1       137     -12.8731     -12.8731      0.0000
  RF00418_AAFR03052180.1        134      -9.1921      -9.1921      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.69    0.75        0  0.00000    0.00
#
# CPU time: 1.21u 0.00s 00:00:01.21 Elapsed: 00:00:01
