# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01819.cm
# date:    Tue May 10 02:35:35 2016
# seed:    1462847735
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsaD                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.80       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -46.2851     -46.2851      0.0000
  RF00418_AAIY01556911.1        141     -40.8840     -40.8840      0.0000
  RF00418_AAYZ01244227.1        137     -47.8166     -47.8166      0.0000
  RF00418_AF357386.1            126     -42.0355     -42.0355      0.0000
  RF00418_AABR04001620.1        135     -46.9408     -46.9408      0.0000
  RF00418_AAQQ01789110.1        137     -39.8020     -39.8020      0.0000
  RF00418_AJ609450.1            137     -38.3360     -38.3360      0.0000
  RF00418_AL590431.11           136     -46.9047     -46.9047      0.0000
  RF00418_AL049745.9            136     -38.0077     -38.0077      0.0000
  RF00418_ABDC01240840.1        136     -44.3033     -44.3033      0.0000
  RF00418_AAQR01162064.1        136     -47.4405     -47.9813      0.5407
  RF00418_AAEX02026315.1        137     -48.0155     -48.0155      0.0000
  RF00418_AANG01021210.1        136     -50.2398     -50.2398      0.0000
  RF00418_AAFC03027776.1        135     -44.0474     -44.0474      0.0000
  RF00418_AAPE01281662.1        136     -43.0769     -44.2071      1.1302
  RF00418_AALT01368588.1        136     -38.2781     -38.2781      0.0000
  RF00418_AAWR02038694.1        136     -50.4913     -54.4996      4.0083
  RF00418_AAGV020286123.1       137     -41.2889     -41.2889      0.0000
  RF00418_AAFR03052180.1        134     -48.6429     -48.6429      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.64    1.25        3  0.15789    1.89
#
# CPU time: 1.44u 0.00s 00:00:01.44 Elapsed: 00:00:01
