# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01963.cm
# date:    Tue May 10 02:36:59 2016
# seed:    1462847819
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RMST_2                     search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.56       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -19.3738     -19.3738      0.0000
  RF00418_AAIY01556911.1        141     -18.7683     -18.7683      0.0000
  RF00418_AAYZ01244227.1        137     -18.9021     -18.9021      0.0000
  RF00418_AF357386.1            126     -27.8232     -27.8232      0.0000
  RF00418_AABR04001620.1        135     -15.7998     -15.7998      0.0000
  RF00418_AAQQ01789110.1        137     -26.0528     -26.0528      0.0000
  RF00418_AJ609450.1            137     -17.1472     -17.1472      0.0000
  RF00418_AL590431.11           136     -18.8365     -18.8365      0.0000
  RF00418_AL049745.9            136     -22.0847     -22.0847      0.0000
  RF00418_ABDC01240840.1        136     -16.9778     -16.9778      0.0000
  RF00418_AAQR01162064.1        136     -18.1870     -18.1870      0.0000
  RF00418_AAEX02026315.1        137     -17.4705     -17.4705      0.0000
  RF00418_AANG01021210.1        136     -20.7568     -20.7568      0.0000
  RF00418_AAFC03027776.1        135     -23.3527     -23.3527      0.0000
  RF00418_AAPE01281662.1        136     -18.0676     -18.0676      0.0000
  RF00418_AALT01368588.1        136     -29.0069     -29.0069      0.0000
  RF00418_AAWR02038694.1        136     -24.9887     -24.9887      0.0000
  RF00418_AAGV020286123.1       137     -23.7881     -23.7881      0.0000
  RF00418_AAFR03052180.1        134     -23.0433     -23.0433      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.67    0.84        0  0.00000    0.00
#
# CPU time: 1.23u 0.00s 00:00:01.23 Elapsed: 00:00:01
