query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,0.7,True,1.02,False,0.7404,0.8614990347554607,0.7028000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.1,False,0.4626,0.5966658813340828,0.8135
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,1.0,False,1.05,False,0.8517999999999999,0.9535300794973829,0.6491
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.8,False,1.02,True,0.8666,0.9233885837203797,0.6437
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,0.9,True,1.0,True,0.8349,0.9337201637645668,0.7071
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,1.0,True,1.02,True,0.7558,0.9015418577099981,0.7343
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.5,0.7,True,1.1,True,0.4130000000000001,0.5425050995118484,0.8676999999999999
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.6,0.6,False,1.05,True,0.8009999999999999,0.8963848858480492,0.641
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.9,False,1.1,False,0.8004999999999999,0.939389008778084,0.6898
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.6,0.7,True,1.08,False,0.5597,0.7237148740819245,0.7551
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,1.0,False,1.0,False,0.9441,0.9707546999107015,0.6245
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.1,True,0.533,0.7064525193017521,0.8057000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.7,0.6,False,1.1,True,0.6952,0.8445245686716479,0.6678000000000001
fam40_typedistributed_embed+bg_weak,False,20,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.02,False,0.9523999999999999,0.966955630946341,0.5359
