query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.2,False,0.44,0.5922958163301425,0.68799999999999994
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.3,False,0.153,0.18265855180758656,0.72899999999999998
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.93000000000000005,0.9569507345478111,0.80000000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.70899999999999996,0.83406117903213162,0.65300000000000002
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.30299999999999999,0.3578918722786647,0.90400000000000003
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.3,False,0.32900000000000001,0.39938001813001811,0.88800000000000001
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.77000000000000002,0.87891949568406968,0.63700000000000001
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.0,False,0.77000000000000002,0.87959510222488368,0.66300000000000003
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.0,False,0.92400000000000004,0.94042728474541837,0.64200000000000002
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.502,0.66886451224200139,0.72199999999999998
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.0,False,0.93200000000000005,0.97185077789469043,0.78700000000000003
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.2,False,0.45900000000000002,0.55894981230316698,0.67700000000000005
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.3,False,0.28000000000000003,0.34742835414665385,0.86099999999999999
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.3,False,0.77500000000000002,0.93733316745256345,0.76200000000000001
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.1,False,0.63600000000000001,0.73380640036010658,0.86499999999999999
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.996,0.99626068376068388,0.77400000000000002
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.2,False,0.91200000000000003,0.93607660634099932,0.79400000000000004
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.19600000000000001,0.22794478202252477,0.70299999999999996
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.3,False,0.26600000000000001,0.3093262276360868,0.91800000000000004
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.0,False,0.745,0.86896345218659488,0.66500000000000004
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.94799999999999995,0.9710955272797378,0.82099999999999995
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.3,False,0.14899999999999999,0.16202795889259608,0.67300000000000004
fam40_typedistributed_plain+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.2,False,0.44400000000000001,0.50581153994868011,0.89300000000000002
fam40_typedistributed_embed+bg_weak,False,20,19,False,100,False,labelSpreading,rbf,0.7,1.0,True,1.0,False,0.77400000000000002,0.90982478393292965,0.624
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.2,False,0.38400000000000001,0.45252890432043524,0.89800000000000002
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.6,1.0,True,1.1,False,0.747,0.86100084385023434,0.65300000000000002
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.4,1.0,True,1.3,False,0.89900000000000002,0.93846084290106035,0.81299999999999994
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.3,1.0,True,1.1,False,0.34499999999999997,0.45226132867442753,0.76800000000000002
