query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_plain+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.34000000000000002,0.49268890097089152,0.82499999999999996
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.74299999999999999,0.87515176227044522,0.66500000000000004
fam40_typedistributed_embed+bg_weak,False,40,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.19600000000000001,0.22794478202252477,0.70299999999999996
fam40_typedistributed_plain+bg_weak,False,6,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.80500000000000005,0.84314020020726299,0.85199999999999998
fam40_typedistributed_plain+bg_weak,False,6,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.99299999999999999,0.9936813186813187,0.752
fam40_typedistributed_plain+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.92700000000000005,0.95935967543032752,0.80600000000000005
fam40_typedistributed_plain+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.99399999999999999,0.9943019943019944,0.70599999999999996
fam40_typedistributed_plain+bg_weak,False,6,19,False,175,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.89400000000000002,0.94150210900210907,0.80800000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,100,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.69099999999999995,0.83620388954218872,0.67500000000000004
fam40_typedistributed_embed+bg_weak,False,6,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.0,False,0.91400000000000003,0.93910136390582122,0.69699999999999995
fam40_typedistributed_embed+bg_weak,False,6,19,False,125,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.55200000000000005,0.64081286461980491,0.77500000000000002
fam40_typedistributed_embed+bg_weak,False,6,19,False,200,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.46100000000000002,0.64464951764087342,0.751
fam40_typedistributed_plain+bg_weak,False,40,19,False,50,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.16400000000000001,0.18025217336722843,0.92900000000000005
fam40_typedistributed_embed+bg_weak,False,6,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.1,False,0.748,0.88308629933233262,0.69699999999999995
fam40_typedistributed_plain+bg_weak,False,6,19,False,75,False,labelSpreading,rbf,0.5,1.0,True,1.3,False,0.89300000000000002,0.93594118922912617,0.81399999999999995
fam40_typedistributed_plain+bg_weak,False,40,19,False,150,False,labelSpreading,rbf,0.5,1.0,True,1.2,False,0.45400000000000001,0.58538567352472815,0.752
