query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
fam40_typedistributed_plain+bg_weak,False,40,7,False,100,False,labelSpreading,rbf,0.3,1.0,False,1.3,False,0.84299999999999997,0.87852381674530611,0.66100000000000003
fam40_typedistributed_plain+bg_weak,False,6,7,True,100,True,labelSpreading,rbf,0.7,0.8,True,1.0,True,0.98099999999999998,0.98468049766325638,0.79400000000000004
fam40_typedistributed_plain+bg_weak,False,20,1,False,100,False,labelSpreading,rbf,0.6,0.8,True,1.3,True,0.21199999999999999,0.38790935840116164,0.872
fam40_typedistributed_plain+bg_weak,False,6,7,False,100,True,labelSpreading,rbf,0.3,0.7,True,1.2,False,0.90000000000000002,0.94993175352462023,0.82299999999999995
fam40_typedistributed_plain+bg_weak,False,40,19,True,100,False,labelSpreading,rbf,0.4,0.6,False,1.3,True,0.67900000000000005,0.81634719115658161,0.73499999999999999
fam40_typedistributed_plain+bg_weak,False,40,19,False,100,True,labelSpreading,rbf,0.3,0.7,True,1.2,False,0.33300000000000002,0.42103638892430295,0.82099999999999995
fam40_typedistributed_plain+bg_weak,False,20,13,True,100,False,labelSpreading,rbf,0.3,0.7,False,1.1,False,0.97099999999999997,0.97383992165242173,0.72699999999999998
fam40_typedistributed_plain+bg_weak,False,20,1,False,100,True,labelSpreading,rbf,0.5,0.7,True,1.1,True,0.84899999999999998,0.94420724750000984,0.83599999999999997
fam40_typedistributed_plain+bg_weak,False,20,7,False,100,True,labelSpreading,rbf,0.4,1.0,False,1.2,True,0.79700000000000004,0.90334475647009771,0.80000000000000004
fam40_typedistributed_plain+bg_weak,False,20,7,True,100,False,labelSpreading,rbf,0.3,0.6,False,1.3,False,0.93799999999999994,0.95910647092845236,0.76800000000000002
fam40_typedistributed_plain+bg_weak,False,40,19,True,100,True,labelSpreading,rbf,0.4,0.6,True,1.1,True,0.69399999999999995,0.75550062383758032,0.84299999999999997
fam40_typedistributed_plain+bg_weak,False,20,19,True,100,False,labelSpreading,rbf,0.3,0.9,True,1.1,False,0.873,0.94246426249544901,0.77700000000000002
fam40_typedistributed_plain+bg_weak,False,20,1,True,100,False,labelSpreading,rbf,0.6,1.0,True,1.2,True,0.48099999999999998,0.53107568044253817,0.89000000000000001
fam40_typedistributed_plain+bg_weak,False,6,13,False,100,True,labelSpreading,rbf,0.7,0.7,False,1.2,False,0.96299999999999997,0.96852308236518769,0.81000000000000005
fam40_typedistributed_plain+bg_weak,False,6,13,True,100,True,labelSpreading,rbf,0.7,0.9,False,1.2,True,0.91300000000000003,0.9464198677015061,0.84599999999999997
fam40_typedistributed_plain+bg_weak,False,40,7,True,100,False,labelSpreading,rbf,0.4,1.0,False,1.0,True,0.96899999999999997,0.97416410079453553,0.69299999999999995
fam40_typedistributed_plain+bg_weak,False,40,1,False,100,False,labelSpreading,rbf,0.7,0.9,True,1.2,True,0.58499999999999996,0.67513239192872487,0.79600000000000004
fam40_typedistributed_plain+bg_weak,False,20,1,False,100,True,labelSpreading,rbf,0.4,0.7,False,1.3,False,0.84699999999999998,0.91697760710746978,0.71599999999999997
fam40_typedistributed_plain+bg_weak,False,40,7,True,100,False,labelSpreading,rbf,0.3,1.0,True,1.1,True,0.53300000000000003,0.64534103920104791,0.86799999999999999
fam40_typedistributed_plain+bg_weak,False,20,7,False,100,True,labelSpreading,rbf,0.5,0.7,False,1.3,False,0.89200000000000002,0.91162099920473538,0.73999999999999999
fam40_typedistributed_plain+bg_weak,False,20,13,True,100,True,labelSpreading,rbf,0.4,1.0,True,1.3,True,0.65300000000000002,0.80339671074442587,0.78800000000000003
