query,unformatted,cripple,nn_seed,inc_centroids,components,length_norm,alg,kernel,gamma,alpha,multilabel,c,merge,sensitivity,precision,max_in_cluster
rfam75id-rename,False,0,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,False,0.9989775051124744,0.9989876288242321,0.7975460122699386
rfam75id-rename,False,15,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.05,True,0.5204498977505112,0.7044227331493904,0.8778118609406953
rfam75id-rename,False,11,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,True,0.7926380368098158,0.8604224801992777,0.7854805725971369
rfam75id-rename,False,6,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.05,True,0.8905930470347648,0.9159893320882502,0.7106339468302658
rfam75id-rename,False,14,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.1,True,0.6689161554192229,0.77182242591407,0.7567484662576687
rfam75id-rename,False,12,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,True,0.6870143149284252,0.7957531534441886,0.7680981595092025
rfam75id-rename,False,19,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.0,False,0.8920245398773006,0.9119359474846199,0.3403885480572597
rfam75id-rename,False,8,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.05,False,0.9270961145194272,0.9390867997097448,0.5307770961145194
rfam75id-rename,False,18,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.0,True,0.5429447852760736,0.7701714940253108,0.8178936605316972
rfam75id-rename,False,5,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.1,False,0.9404907975460123,0.9526539300895565,0.7383435582822087
rfam75id-rename,False,5,19,True,100,True,labelSpreading,rbf,0.3,0.7,True,1.0,False,0.9477505112474439,0.9515372938602177,0.7442740286298568
rfam75id-rename,False,1,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.05,False,0.9943762781186095,0.994588279911978,0.6766871165644173
rfam75id-rename,False,4,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.1,False,0.9585889570552147,0.9646134277076849,0.7706543967280164
rfam75id-rename,False,2,19,True,100,True,labelSpreading,rbf,0.3,0.7,False,1.0,True,0.9800613496932515,0.9794184924958363,0.6728016359918201
rfam75id-rename,False,15,19,True,100,True,labelSpreading,rbf,0.7,0.7,False,1.1,False,0.801635991820041,0.8575346657429476,0.49775051124744374
rfam75id-rename,False,7,19,True,100,True,labelSpreading,rbf,0.7,0.7,True,1.1,False,0.8517382413087933,0.8544880001240125,0.8637014314928425
