# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00529.cm
# date:    Fri May 13 19:13:40 2016
# seed:    1463166820
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoMe28S-Am2589            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:34.94       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -38.4129     -38.4129      0.0000
  QRF01739_AGJC01000011.1        62     -33.8542     -33.8542      0.0000
  QRF01739_AP012205.1            62     -19.8834     -19.8834      0.0000
  QRF01739_AEPQ01000180.1        85     -27.2223     -27.2223      0.0000
  QRF01739_AACY023065314.1       57     -36.1232     -36.1232      0.0000
  QRF01739_AACY020081009.1       57     -36.1232     -36.1232      0.0000
  QRF01739_ACSK01000180.1        92     -29.9952     -29.9952      0.0000
  QRF01739_BA000039.2           113     -18.6060     -18.6060      0.0000
  QRF01739_AACY023081145.1       53     -39.6052     -39.6052      0.0000
  QRF01739_AFSR01000238.1        99     -36.6117     -36.6117      0.0000
  QRF01739_AGJC01000003.1        76     -22.2475     -22.2475      0.0000
  QRF01739_AFSR01000146.1        92     -25.8571     -25.8571      0.0000
  QRF01739_CACA01000349.1        84     -34.4676     -34.4676      0.0000
  QRF01739_AACY022751187.1       52     -37.0000     -37.0000      0.0000
  QRF01739_AACY022283709.1       52     -37.0000     -37.0000      0.0000
  QRF01739_ABPS01003770.1       123     -28.3965     -28.3965      0.0000
  QRF01739_AFEJ01000345.1        83     -26.6221     -26.6221      0.0000
  QRF00005_CABR01000029.1        73     -35.3347     -35.3347      0.0000
  QRF00005_AFSR01002788.1        74     -39.6778     -39.6778      0.0000
  QRF00005_CP000927.1            72     -36.0522     -36.0522      0.0000
  QRF00005_AY741371.1            72     -32.4922     -32.4922      0.0000
  QRF00005_AEGR01000006.1        73     -30.9117     -30.9117      0.0000
  QRF00005_CP001189.1            73     -33.1319     -33.1319      0.0000
  QRF00005_CP000493.1            72     -42.0219     -42.0219      0.0000
  QRF00005_AP012159.1            73     -33.1319     -33.1319      0.0000
