# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00499.cm
# date:    Sat May 14 02:52:41 2016
# seed:    1463194361
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Parecho_CRE                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:57.54       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.4773     -19.4773      0.0000
  QRF01739_AGJC01000011.1        62     -19.1893     -19.1893      0.0000
  QRF01739_AP012205.1            62     -22.9688     -22.9688      0.0000
  QRF01739_AEPQ01000180.1        85     -19.6194     -19.6194      0.0000
  QRF01739_AACY023065314.1       57     -26.2328     -26.2328      0.0000
  QRF01739_AACY020081009.1       57     -26.2328     -26.2328      0.0000
  QRF01739_ACSK01000180.1        92     -14.8765     -14.8765      0.0000
  QRF01739_BA000039.2           113     -16.4604     -16.4604      0.0000
  QRF01739_AACY023081145.1       53     -23.3232     -23.3232      0.0000
  QRF01739_AFSR01000238.1        99     -19.9805     -19.9805      0.0000
  QRF01739_AGJC01000003.1        76     -25.2753     -25.2753      0.0000
  QRF01739_AFSR01000146.1        92     -20.3502     -20.3502      0.0000
  QRF01739_CACA01000349.1        84     -25.8402     -25.8402      0.0000
  QRF01739_AACY022751187.1       52     -28.3706     -28.3706      0.0000
  QRF01739_AACY022283709.1       52     -28.3706     -28.3706      0.0000
  QRF01739_ABPS01003770.1       123     -18.0803     -18.0803      0.0000
  QRF01739_AFEJ01000345.1        83     -23.0929     -23.0929      0.0000
  QRF00005_CABR01000029.1        73     -22.7268     -22.7268      0.0000
  QRF00005_AFSR01002788.1        74     -26.4560     -26.4560      0.0000
  QRF00005_CP000927.1            72     -23.8860     -23.8860      0.0000
  QRF00005_AY741371.1            72     -19.6389     -19.6389      0.0000
  QRF00005_AEGR01000006.1        73     -19.8541     -19.8541      0.0000
  QRF00005_CP001189.1            73     -24.3021     -24.3021      0.0000
  QRF00005_CP000493.1            72     -25.4207     -25.4207      0.0000
  QRF00005_AP012159.1            73     -24.3021     -24.3021      0.0000
  QRF00005_AM889285.1            73     -24.3021     -24.3021      0.0000
  QRF00005_AGFR01000003.1        73     -24.3940     -24.3940      0.0000
