# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00195.cm
# date:    Fri May 13 20:52:17 2016
# seed:    1463172737
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  RsmY                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:56.50       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -37.5772     -37.5772      0.0000
  QRF01739_AGJC01000011.1        62     -41.8275     -41.8275      0.0000
  QRF01739_AP012205.1            62     -43.5583     -43.5583      0.0000
  QRF01739_AEPQ01000180.1        85     -26.9337     -26.9337      0.0000
  QRF01739_AACY023065314.1       57     -41.6371     -41.6371      0.0000
  QRF01739_AACY020081009.1       57     -41.6371     -41.6371      0.0000
  QRF01739_ACSK01000180.1        92     -33.6379     -33.6379      0.0000
  QRF01739_BA000039.2           113     -25.0312     -25.0312      0.0000
  QRF01739_AACY023081145.1       53     -43.2566     -43.2566      0.0000
  QRF01739_AFSR01000238.1        99     -30.2608     -30.2608      0.0000
  QRF01739_AGJC01000003.1        76     -35.1263     -35.1263      0.0000
  QRF01739_AFSR01000146.1        92     -38.1980     -38.1980      0.0000
  QRF01739_CACA01000349.1        84     -31.2028     -31.2028      0.0000
  QRF01739_AACY022751187.1       52     -46.4593     -46.4593      0.0000
  QRF01739_AACY022283709.1       52     -46.4593     -46.4593      0.0000
  QRF01739_ABPS01003770.1       123     -29.3535     -29.3535      0.0000
  QRF01739_AFEJ01000345.1        83     -42.7545     -42.7545      0.0000
  QRF00005_CABR01000029.1        73     -43.3342     -43.3342      0.0000
  QRF00005_AFSR01002788.1        74     -37.9814     -37.9814      0.0000
  QRF00005_CP000927.1            72     -38.3447     -38.3447      0.0000
  QRF00005_AY741371.1            72     -36.8361     -36.8361      0.0000
  QRF00005_AEGR01000006.1        73     -35.5106     -35.5106      0.0000
  QRF00005_CP001189.1            73     -35.6278     -35.6278      0.0000
  QRF00005_CP000493.1            72     -39.2332     -39.2332      0.0000
  QRF00005_AP012159.1            73     -35.6278     -35.6278      0.0000
  QRF00005_AM889285.1            73     -35.6278     -35.6278      0.0000
  QRF00005_AGFR01000003.1        73     -33.8179     -33.8179      0.0000
  QRF00005_AFCH01000046.1        73     -35.6278     -35.6278      0.0000
  QRF00005_ADTV01000009.1        73     -35.6278     -35.6278      0.0000
  QRF00005_ABCE01000025.1        73     -35.8708     -35.8708      0.0000
  QRF00005_HM565909.1            72     -39.5238     -39.5238      0.0000
  QRF00005_CAFG01000441.1        73     -38.4138     -38.4138      0.0000
  QRF00005_AACY020656879.1       72     -39.3138     -39.3138      0.0000
  QRF00005_CP001744.1            73     -35.0043     -35.0043      0.0000
  QRF00005_CP000880.1            73     -37.2732     -37.2732      0.0000
  QRF00005_CACD01000012.1        73     -37.2732     -37.2732      0.0000
  QRF00005_CACD01000012.1        73     -37.2732     -37.2732      0.0000
  QRF00005_CACD01000012.1        73     -37.2732     -37.2732      0.0000
  QRF00005_AM849034.1            74     -36.6258     -36.6258      0.0000
  QRF00005_AM711867.1            74     -36.6258     -36.6258      0.0000
  QRF00005_AEQT01000005.1        73     -37.2732     -37.2732      0.0000
  QRF00005_AEQT01000005.1        73     -37.2732     -37.2732      0.0000
  QRF00005_ACDJ01000003.1        73     -37.2732     -37.2732      0.0000
  QRF00005_ABWL02000007.1        73     -37.2732     -37.2732      0.0000
  QRF00005_Z71579.1              73     -41.1904     -41.1904      0.0000
  QRF00005_X53782.1              73     -41.1904     -41.1904      0.0000
  QRF00005_M19391.1              73     -41.1904     -41.1904      0.0000
  QRF00005_M15314.1              73     -41.1904     -41.1904      0.0000
  QRF00005_L42023.1              73     -41.1904     -41.1904      0.0000
  QRF00005_L42023.1              73     -41.1904     -41.1904      0.0000
  QRF00005_L42023.1              73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670204.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670204.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670204.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670178.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670178.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670178.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ670178.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312006.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312006.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312006.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312002.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312002.1            73     -41.1904     -41.1904      0.0000
  QRF00005_FQ312002.1            73     -41.1904     -41.1904      0.0000
  QRF00005_EF196803.1            73     -41.1904     -41.1904      0.0000
  QRF00005_EF196803.1            73     -41.1904     -41.1904      0.0000
  QRF00005_CP003022.1            73     -41.1904     -41.1904      0.0000
  QRF00001_EU093378.1           119     -20.8961     -20.8961      0.0000
  QRF00001_AAAA02047827.1       119     -24.7828     -24.7828      0.0000
  QRF00001_AAAA02043281.1       119     -21.2931     -21.2931      0.0000
  QRF00001_EF064700.1           119     -29.2958     -29.2958      0.0000
  QRF00001_EF064692.1           119     -29.2958     -29.2958      0.0000
  QRF00001_EF064687.1           119     -29.2958     -29.2958      0.0000
  QRF00001_EF064680.1           119     -29.2958     -29.2958      0.0000
  QRF00001_EF064678.1           119     -29.2958     -29.2958      0.0000
  QRF00001_EF064556.1           119     -29.2958     -29.2958      0.0000
  QRF00001_AJ390135.1           119     -29.2958     -29.2958      0.0000
  QRF00001_HQ270965.1           119     -24.7828     -24.7828      0.0000
  QRF00001_GQ324770.1           119     -24.7828     -24.7828      0.0000
  QRF00001_FJ882503.1           119     -24.7828     -24.7828      0.0000
  QRF00001_AF550740.1           119     -24.7828     -24.7828      0.0000
  QRF00001_HQ270648.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU924818.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU093153.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EF524209.1           119     -23.8241     -23.8241      0.0000
  QRF00001_AY316209.1           119     -23.8241     -23.8241      0.0000
  QRF00001_AY034674.1           119     -23.8241     -23.8241      0.0000
  QRF00001_AJ409525.1           119     -23.8241     -23.8241      0.0000
  QRF00001_AF550715.1           119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01010155.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009775.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009775.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009775.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009135.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009119.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01009117.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005845.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005845.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005844.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005841.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005839.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005838.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005838.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005835.1       119     -23.8241     -23.8241      0.0000
  QRF00001_ABXC01005835.1       119     -23.8241     -23.8241      0.0000
  QRF00001_AAAA02039752.1       119     -23.8241     -23.8241      0.0000
  QRF00001_EU925066.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU093209.1           119     -23.8241     -23.8241      0.0000
  QRF00001_U02637.1             119     -23.8241     -23.8241      0.0000
  QRF00001_EU439291.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439286.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439284.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439282.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439280.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439279.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439278.1           119     -23.8241     -23.8241      0.0000
  QRF00001_EU439277.1           119     -23.8241     -23.8241      0.0000
  QRF01704_ACNY01000005.1        62     -41.7133     -41.7133      0.0000
  QRF01704_ADXL01000065.1        61     -43.1332     -43.1332      0.0000
  QRF01704_ADXL01000046.1        61     -43.7192     -43.7192      0.0000
  QRF01704_ADHP01001127.1        63     -37.2421     -37.2421      0.0000
  QRF01704_ADXM01000029.1        71     -42.3581     -42.3581      0.0000
  QRF01704_FJ869257.1            62     -44.6874     -44.6874      0.0000
  QRF01704_BX569692.1            62     -44.6874     -44.6874      0.0000
  QRF01704_AACY023835177.1       64     -46.5948     -46.5948      0.0000
  QRF01704_ACNY01000003.1        61     -43.7135     -43.7135      0.0000
  QRF01704_AACY020212823.1       62     -37.3692     -37.3692      0.0000
  QRF01704_GQ237222.1            58     -42.2768     -42.2768      0.0000
  QRF01704_ADHP01000860.1        64     -37.8319     -37.8319      0.0000
  QRF01704_AACY020313707.1       62     -38.7893     -38.7893      0.0000
  QRF01704_ACDW01000004.1        62     -39.0072     -39.0072      0.0000
  QRF01704_AACY022014507.1       62     -38.9062     -38.9062      0.0000
  QRF01704_ADHP01000878.1        59     -43.0988     -43.0988      0.0000
  QRF01704_AACY022415810.1       58     -47.8251     -47.8251      0.0000
  QRF01704_AACY020575673.1       58     -47.8251     -47.8251      0.0000
  QRF01704_ACNY01000005.1        59     -33.9685     -33.9685      0.0000
  QRF01704_ADHP01000854.1        63     -42.3853     -42.3853      0.0000
  QRF01704_GU936714.1            59     -45.2684     -45.2684      0.0000
  QRF01704_AACY021622950.1       62     -38.1710     -38.1710      0.0000
  QRF01704_CP000825.1            58     -45.9385     -45.9385      0.0000
  QRF01704_EU795157.1            64     -37.5673     -37.5673      0.0000
  QRF01704_ABVN01004790.1        61     -44.6170     -44.6170      0.0000
  QRF01704_ABMN01086741.1        60     -31.6534     -31.6534      0.0000
  QRF01704_DQ325539.1            60     -35.4203     -35.4203      0.0000
  QRF01704_ACNY01000005.1        62     -40.7755     -40.7755      0.0000
  QRF01704_ACNY01000004.1        60     -40.7730     -40.7730      0.0000
  QRF01704_ABVT01000061.1        57     -48.7922     -48.7922      0.0000
  QRF00023_CP001665.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001509.3           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000819.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AM946981.2           363      -0.5662      -0.5662      0.0000
  QRF00023_ADTQ01000184.1       363      -0.5662      -0.5662      0.0000
  QRF00023_ADBT01000188.1       363      -0.5662      -0.5662      0.0000
  QRF00023_FN543093.2           364      -0.8564      -0.8564      0.0000
  QRF00023_AFAG01000033.1       363      -0.0232      -0.0232      0.0000
  QRF00023_AFAF01000014.1       363      -0.0232      -0.0232      0.0000
  QRF00023_ADUS01000034.1       363      -0.0232      -0.0232      0.0000
  QRF00023_U36840.1             363      -0.5662      -0.5662      0.0000
  QRF00023_FN649414.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CU928162.2           363      -0.5662      -0.5662      0.0000
  QRF00023_CU928161.2           363      -0.5662      -0.5662      0.0000
  QRF00023_CU928158.2           363      -0.5662      -0.5662      0.0000
  QRF00023_CU651637.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP003034.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002797.2           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002729.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002516.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002212.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002211.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002185.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP002167.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001969.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001855.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001671.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001637.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001396.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP001383.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000970.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000948.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000802.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000243.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CP000038.1           363      -0.5662      -0.5662      0.0000
  QRF00023_CAFL01000074.1       363      -0.5662      -0.5662      0.0000
  QRF00023_CADZ01000057.1       363      -0.5662      -0.5662      0.0000
  QRF00023_BAAV01002786.1       363      -0.5662      -0.5662      0.0000
  QRF00023_AP012030.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP010960.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP010958.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP010953.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP009378.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP009240.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AP009048.1           363      -0.5662      -0.5662      0.0000
  QRF00023_AJ304858.2           363      -0.5662      -0.5662      0.0000
  QRF00023_AGTK01000236.1       363      -0.5662      -0.5662      0.0000
  QRF00023_AGTJ01000345.1       363      -0.5662      -0.5662      0.0000
  QRF00023_AGTI01000029.1       363      -0.5662      -0.5662      0.0000
  QRF00023_AGTH01000033.1       363      -0.5662      -0.5662      0.0000
  QRF00010_CP002738.1           351     -20.5257     -20.5257      0.0000
  QRF00010_ABSP01001676.1       350     -12.4389     -12.4389      0.0000
  QRF00010_FO082060.1           365     -16.4132     -16.4132      0.0000
  QRF00010_AFJF01000001.1       394     -13.9714     -13.9714      0.0000
  QRF00010_AEGW02000003.1       350     -15.1011     -15.1011      0.0000
  QRF00010_CP002086.1           354     -14.6646     -14.6646      0.0000
  QRF00010_ACJN02000001.1       533     -11.5262     -11.5262      0.0000
  QRF00010_CP002881.1           360     -13.9684     -13.9684      0.0000
  QRF00010_AFOH01000117.1       345     -11.0250     -11.0250      0.0000
  QRF00010_AACY020185705.1      350     -15.3121     -15.3121      0.0000
  QRF00010_AGSX01000193.1       359      -9.3125      -9.3125      0.0000
  QRF00010_AFWT01000009.1       368      -2.5905      -2.5905      0.0000
  QRF00010_FM209186.1           350     -14.6879     -14.6879      0.0000
  QRF00010_CP002496.1           350     -14.6879     -14.6879      0.0000
  QRF00010_CP000438.1           350     -14.6879     -14.6879      0.0000
