# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00453.cm
# date:    Sat May 14 01:59:47 2016
# seed:    1463191187
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Cardiovirus_CRE            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:09.02       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -2.1846      -2.1846      0.0000
  QRF01739_AGJC01000011.1        62      -4.2346      -4.2346      0.0000
  QRF01739_AP012205.1            62      -9.2351      -9.2351      0.0000
  QRF01739_AEPQ01000180.1        85      -6.1512      -6.1512      0.0000
  QRF01739_AACY023065314.1       57     -11.8278     -11.8278      0.0000
  QRF01739_AACY020081009.1       57     -11.8278     -11.8278      0.0000
  QRF01739_ACSK01000180.1        92      -9.3706      -9.3706      0.0000
  QRF01739_BA000039.2           113      -7.5088      -7.5088      0.0000
  QRF01739_AACY023081145.1       53      -7.0706      -7.0706      0.0000
  QRF01739_AFSR01000238.1        99      -7.7396      -7.7396      0.0000
  QRF01739_AGJC01000003.1        76      -5.1166      -5.1166      0.0000
  QRF01739_AFSR01000146.1        92      -8.2236      -8.2236      0.0000
  QRF01739_CACA01000349.1        84     -10.6794     -10.6794      0.0000
  QRF01739_AACY022751187.1       52      -9.1851      -9.1851      0.0000
  QRF01739_AACY022283709.1       52      -9.1851      -9.1851      0.0000
  QRF01739_ABPS01003770.1       123       1.6973       1.6973      0.0000
  QRF01739_AFEJ01000345.1        83      -6.6614      -6.6614      0.0000
  QRF00005_CABR01000029.1        73      -8.0788      -8.0788      0.0000
  QRF00005_AFSR01002788.1        74      -7.2357      -7.2357      0.0000
  QRF00005_CP000927.1            72      -8.2895      -8.2895      0.0000
  QRF00005_AY741371.1            72      -7.0870      -7.0870      0.0000
  QRF00005_AEGR01000006.1        73      -7.1670      -7.1670      0.0000
  QRF00005_CP001189.1            73      -0.9808      -0.9808      0.0000
