# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01767.cm
# date:    Sat May 14 03:43:12 2016
# seed:    1463197392
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SMK_box_riboswitch         search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:36.76       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.1120     -19.1120      0.0000
  QRF01739_AGJC01000011.1        62     -21.9016     -21.9016      0.0000
  QRF01739_AP012205.1            62     -17.4743     -17.4743      0.0000
  QRF01739_AEPQ01000180.1        85     -14.7729     -14.7729      0.0000
  QRF01739_AACY023065314.1       57     -18.1160     -18.1160      0.0000
  QRF01739_AACY020081009.1       57     -18.1160     -18.1160      0.0000
  QRF01739_ACSK01000180.1        92      -8.5811      -8.5811      0.0000
  QRF01739_BA000039.2           113     -10.5089     -10.5089      0.0000
  QRF01739_AACY023081145.1       53     -25.2748     -25.2748      0.0000
  QRF01739_AFSR01000238.1        99     -24.4155     -24.4155      0.0000
  QRF01739_AGJC01000003.1        76     -15.2623     -15.2623      0.0000
  QRF01739_AFSR01000146.1        92     -19.0235     -19.0235      0.0000
  QRF01739_CACA01000349.1        84     -18.7008     -18.7008      0.0000
  QRF01739_AACY022751187.1       52     -19.3209     -19.3209      0.0000
  QRF01739_AACY022283709.1       52     -19.3209     -19.3209      0.0000
  QRF01739_ABPS01003770.1       123     -12.4382     -12.4382      0.0000
  QRF01739_AFEJ01000345.1        83     -25.0970     -25.0970      0.0000
  QRF00005_CABR01000029.1        73     -21.7953     -21.7953      0.0000
  QRF00005_AFSR01002788.1        74     -21.8730     -21.8730      0.0000
  QRF00005_CP000927.1            72     -18.4254     -18.4254      0.0000
  QRF00005_AY741371.1            72     -16.8668     -16.8668      0.0000
  QRF00005_AEGR01000006.1        73     -24.2084     -24.2084      0.0000
  QRF00005_CP001189.1            73     -14.2998     -14.2998      0.0000
  QRF00005_CP000493.1            72     -23.6834     -23.6834      0.0000
  QRF00005_AP012159.1            73     -14.2998     -14.2998      0.0000
  QRF00005_AM889285.1            73     -14.2998     -14.2998      0.0000
  QRF00005_AGFR01000003.1        73     -17.3764     -17.3764      0.0000
  QRF00005_AFCH01000046.1        73     -14.2998     -14.2998      0.0000
  QRF00005_ADTV01000009.1        73     -14.2998     -14.2998      0.0000
  QRF00005_ABCE01000025.1        73     -19.9416     -19.9416      0.0000
  QRF00005_HM565909.1            72     -19.0238     -19.0238      0.0000
  QRF00005_CAFG01000441.1        73     -23.5180     -23.5180      0.0000
  QRF00005_AACY020656879.1       72     -17.8051     -17.8051      0.0000
  QRF00005_CP001744.1            73     -21.9815     -21.9815      0.0000
  QRF00005_CP000880.1            73     -17.6021     -17.6021      0.0000
  QRF00005_CACD01000012.1        73     -17.6021     -17.6021      0.0000
  QRF00005_CACD01000012.1        73     -17.6021     -17.6021      0.0000
  QRF00005_CACD01000012.1        73     -17.6021     -17.6021      0.0000
  QRF00005_AM849034.1            74     -15.5152     -15.5152      0.0000
  QRF00005_AM711867.1            74     -15.5152     -15.5152      0.0000
  QRF00005_AEQT01000005.1        73     -17.6021     -17.6021      0.0000
  QRF00005_AEQT01000005.1        73     -17.6021     -17.6021      0.0000
  QRF00005_ACDJ01000003.1        73     -17.6021     -17.6021      0.0000
  QRF00005_ABWL02000007.1        73     -17.6021     -17.6021      0.0000
  QRF00005_Z71579.1              73     -22.4796     -22.4796      0.0000
  QRF00005_X53782.1              73     -22.4796     -22.4796      0.0000
  QRF00005_M19391.1              73     -22.4796     -22.4796      0.0000
  QRF00005_M15314.1              73     -22.4796     -22.4796      0.0000
  QRF00005_L42023.1              73     -22.4796     -22.4796      0.0000
  QRF00005_L42023.1              73     -22.4796     -22.4796      0.0000
  QRF00005_L42023.1              73     -22.4796     -22.4796      0.0000
  QRF00005_FQ670204.1            73     -22.4796     -22.4796      0.0000
