# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00182.cm
# date:    Fri May 13 23:40:13 2016
# seed:    1463182813
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Corona_package             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:52.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -48.6371     -48.6371      0.0000
  QRF01739_AGJC01000011.1        62     -49.8812     -49.8812      0.0000
  QRF01739_AP012205.1            62     -46.9376     -46.9376      0.0000
  QRF01739_AEPQ01000180.1        85     -35.0819     -35.0819      0.0000
  QRF01739_AACY023065314.1       57     -49.1856     -49.1856      0.0000
  QRF01739_AACY020081009.1       57     -49.1856     -49.1856      0.0000
  QRF01739_ACSK01000180.1        92     -27.9178     -27.9178      0.0000
  QRF01739_BA000039.2           113     -31.9578     -31.9578      0.0000
  QRF01739_AACY023081145.1       53     -53.5951     -53.5951      0.0000
  QRF01739_AFSR01000238.1        99     -33.8058     -33.8058      0.0000
  QRF01739_AGJC01000003.1        76     -39.0059     -39.0059      0.0000
  QRF01739_AFSR01000146.1        92     -30.8251     -30.8251      0.0000
  QRF01739_CACA01000349.1        84     -39.9330     -39.9330      0.0000
  QRF01739_AACY022751187.1       52     -49.3192     -49.3192      0.0000
  QRF01739_AACY022283709.1       52     -49.3192     -49.3192      0.0000
