# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01113.cm
# date:    Sat May 14 00:32:07 2016
# seed:    1463185927
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  BMV3_UPD-PK3               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:04.26       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -4.4178      -4.4178      0.0000
  QRF01739_AGJC01000011.1        62      -6.3447      -6.3447      0.0000
  QRF01739_AP012205.1            62      -3.9617      -3.9617      0.0000
  QRF01739_AEPQ01000180.1        85      -4.8905      -4.8905      0.0000
  QRF01739_AACY023065314.1       57      -1.5907      -1.5907      0.0000
  QRF01739_AACY020081009.1       57      -1.5907      -1.5907      0.0000
  QRF01739_ACSK01000180.1        92      -6.1567      -6.1567      0.0000
  QRF01739_BA000039.2           113       3.3013       3.3013      0.0000
  QRF01739_AACY023081145.1       53      -4.3057      -4.3057      0.0000
  QRF01739_AFSR01000238.1        99      -6.0438      -6.0438      0.0000
  QRF01739_AGJC01000003.1        76      -4.0094      -4.0094      0.0000
  QRF01739_AFSR01000146.1        92      -5.2157      -5.2157      0.0000
  QRF01739_CACA01000349.1        84      -4.1060      -4.1060      0.0000
  QRF01739_AACY022751187.1       52      -4.0255      -4.0255      0.0000
  QRF01739_AACY022283709.1       52      -4.0255      -4.0255      0.0000
  QRF01739_ABPS01003770.1       123       5.9643       5.9643      0.0000
  QRF01739_AFEJ01000345.1        83      -3.8817      -3.8817      0.0000
  QRF00005_CABR01000029.1        73      -4.2167      -4.2167      0.0000
  QRF00005_AFSR01002788.1        74      -3.3243      -3.3243      0.0000
  QRF00005_CP000927.1            72      -1.2047      -1.2047      0.0000
  QRF00005_AY741371.1            72      -3.1599      -3.1599      0.0000
  QRF00005_AEGR01000006.1        73      -3.3699      -3.3699      0.0000
  QRF00005_CP001189.1            73      -3.2982      -3.2982      0.0000
  QRF00005_CP000493.1            72      -4.7507      -4.7507      0.0000
  QRF00005_AP012159.1            73      -3.2982      -3.2982      0.0000
  QRF00005_AM889285.1            73      -3.2982      -3.2982      0.0000
  QRF00005_AGFR01000003.1        73      -3.2982      -3.2982      0.0000
  QRF00005_AFCH01000046.1        73      -3.2982      -3.2982      0.0000
  QRF00005_ADTV01000009.1        73      -3.2982      -3.2982      0.0000
  QRF00005_ABCE01000025.1        73      -6.2834      -6.2834      0.0000
  QRF00005_HM565909.1            72      -2.2210      -2.2210      0.0000
  QRF00005_CAFG01000441.1        73      -3.3699      -3.3699      0.0000
  QRF00005_AACY020656879.1       72      -1.2854      -1.2854      0.0000
  QRF00005_CP001744.1            73      -7.5211      -7.5211      0.0000
  QRF00005_CP000880.1            73       0.0859       0.0859      0.0000
  QRF00005_CACD01000012.1        73       0.0859       0.0859      0.0000
  QRF00005_CACD01000012.1        73       0.0859       0.0859      0.0000
  QRF00005_CACD01000012.1        73       0.0859       0.0859      0.0000
  QRF00005_AM849034.1            74      -3.0737      -3.0737      0.0000
  QRF00005_AM711867.1            74      -3.0737      -3.0737      0.0000
  QRF00005_AEQT01000005.1        73       0.0859       0.0859      0.0000
  QRF00005_AEQT01000005.1        73       0.0859       0.0859      0.0000
  QRF00005_ACDJ01000003.1        73       0.0859       0.0859      0.0000
  QRF00005_ABWL02000007.1        73       0.0859       0.0859      0.0000
  QRF00005_Z71579.1              73       0.7973       0.7973      0.0000
  QRF00005_X53782.1              73       0.7973       0.7973      0.0000
  QRF00005_M19391.1              73       0.7973       0.7973      0.0000
  QRF00005_M15314.1              73       0.7973       0.7973      0.0000
  QRF00005_L42023.1              73       0.7973       0.7973      0.0000
  QRF00005_L42023.1              73       0.7973       0.7973      0.0000
  QRF00005_L42023.1              73       0.7973       0.7973      0.0000
  QRF00005_FQ670204.1            73       0.7973       0.7973      0.0000
  QRF00005_FQ670204.1            73       0.7973       0.7973      0.0000
  QRF00005_FQ670204.1            73       0.7973       0.7973      0.0000
  QRF00005_FQ670178.1            73       0.7973       0.7973      0.0000
