# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01754.cm
# date:    Tue May 10 02:39:19 2016
# seed:    1462847959
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  radC                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.59       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -21.7022     -21.7022      0.0000
  RF00418_AAIY01556911.1        141     -33.3835     -33.3835      0.0000
  RF00418_AAYZ01244227.1        137     -24.5784     -24.5784      0.0000
  RF00418_AF357386.1            126     -27.1703     -27.1703      0.0000
  RF00418_AABR04001620.1        135     -30.4782     -30.4782      0.0000
  RF00418_AAQQ01789110.1        137     -24.6115     -24.6115      0.0000
  RF00418_AJ609450.1            137     -19.5255     -19.5255      0.0000
  RF00418_AL590431.11           136     -31.3007     -31.3007      0.0000
  RF00418_AL049745.9            136     -19.7892     -19.7892      0.0000
  RF00418_ABDC01240840.1        136     -26.2721     -26.2721      0.0000
  RF00418_AAQR01162064.1        136     -27.6437     -27.6437      0.0000
  RF00418_AAEX02026315.1        137     -28.6671     -28.6671      0.0000
  RF00418_AANG01021210.1        136     -27.1479     -27.1479      0.0000
  RF00418_AAFC03027776.1        135     -33.2905     -33.2905      0.0000
  RF00418_AAPE01281662.1        136     -26.9675     -26.9675      0.0000
  RF00418_AALT01368588.1        136     -23.3580     -23.3580      0.0000
  RF00418_AAWR02038694.1        136     -21.3477     -21.3477      0.0000
  RF00418_AAGV020286123.1       137     -25.2504     -25.2504      0.0000
  RF00418_AAFR03052180.1        134     -28.5036     -28.5036      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.34    1.74        0  0.00000    0.00
#
# CPU time: 0.93u 0.00s 00:00:00.93 Elapsed: 00:00:00
