# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01508.cm
# date:    Sat May 14 00:15:09 2016
# seed:    1463184909
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  BYDV_5_UTR                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:21.34       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -60.8369     -60.8369      0.0000
  QRF01739_AGJC01000011.1        62     -63.3485     -63.3485      0.0000
  QRF01739_AP012205.1            62     -59.5589     -59.5589      0.0000
  QRF01739_AEPQ01000180.1        85     -54.5875     -54.5875      0.0000
  QRF01739_AACY023065314.1       57     -67.3207     -67.3207      0.0000
  QRF01739_AACY020081009.1       57     -67.3207     -67.3207      0.0000
  QRF01739_ACSK01000180.1        92     -55.9062     -55.9062      0.0000
  QRF01739_BA000039.2           113     -47.2394     -47.2394      0.0000
  QRF01739_AACY023081145.1       53     -63.7575     -63.7575      0.0000
  QRF01739_AFSR01000238.1        99     -60.0069     -60.0069      0.0000
  QRF01739_AGJC01000003.1        76     -56.4660     -56.4660      0.0000
  QRF01739_AFSR01000146.1        92     -56.9056     -56.9056      0.0000
  QRF01739_CACA01000349.1        84     -61.4912     -61.4912      0.0000
  QRF01739_AACY022751187.1       52     -65.7337     -65.7337      0.0000
  QRF01739_AACY022283709.1       52     -65.7337     -65.7337      0.0000
  QRF01739_ABPS01003770.1       123     -39.8592     -39.8592      0.0000
  QRF01739_AFEJ01000345.1        83     -57.1007     -57.1007      0.0000
  QRF00005_CABR01000029.1        73     -56.5025     -56.5025      0.0000
  QRF00005_AFSR01002788.1        74     -49.6097     -49.6097      0.0000
  QRF00005_CP000927.1            72     -48.8331     -48.8331      0.0000
