# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01981.cm
# date:    Fri May 13 22:47:24 2016
# seed:    1463179644
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PCGEM1                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:05.16       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -57.4285     -57.4285      0.0000
  QRF01739_AGJC01000011.1        62     -55.4960     -55.4960      0.0000
  QRF01739_AP012205.1            62     -56.7219     -56.7219      0.0000
  QRF01739_AEPQ01000180.1        85     -45.5857     -45.5857      0.0000
  QRF01739_AACY023065314.1       57     -53.2968     -53.2968      0.0000
  QRF01739_AACY020081009.1       57     -53.2968     -53.2968      0.0000
  QRF01739_ACSK01000180.1        92     -43.1516     -43.1516      0.0000
  QRF01739_BA000039.2           113     -44.3545     -44.3545      0.0000
  QRF01739_AACY023081145.1       53     -58.5915     -58.5915      0.0000
  QRF01739_AFSR01000238.1        99     -49.5873     -49.5873      0.0000
  QRF01739_AGJC01000003.1        76     -50.5041     -50.5041      0.0000
  QRF01739_AFSR01000146.1        92     -49.7865     -49.7865      0.0000
  QRF01739_CACA01000349.1        84     -50.1337     -50.1337      0.0000
  QRF01739_AACY022751187.1       52     -60.4962     -60.4962      0.0000
  QRF01739_AACY022283709.1       52     -60.4962     -60.4962      0.0000
  QRF01739_ABPS01003770.1       123     -31.6786     -31.6786      0.0000
  QRF01739_AFEJ01000345.1        83     -47.2125     -47.2125      0.0000
  QRF00005_CABR01000029.1        73     -52.8370     -52.8370      0.0000
  QRF00005_AFSR01002788.1        74     -52.8118     -52.8118      0.0000
  QRF00005_CP000927.1            72     -46.8142     -46.8142      0.0000
  QRF00005_AY741371.1            72     -61.0396     -61.0396      0.0000
  QRF00005_AEGR01000006.1        73     -50.2494     -50.2494      0.0000
  QRF00005_CP001189.1            73     -44.6774     -44.6774      0.0000
  QRF00005_CP000493.1            72     -62.2874     -62.2874      0.0000
  QRF00005_AP012159.1            73     -44.6774     -44.6774      0.0000
  QRF00005_AM889285.1            73     -44.6774     -44.6774      0.0000
  QRF00005_AGFR01000003.1        73     -46.7742     -46.7742      0.0000
  QRF00005_AFCH01000046.1        73     -44.6774     -44.6774      0.0000
  QRF00005_ADTV01000009.1        73     -44.6774     -44.6774      0.0000
  QRF00005_ABCE01000025.1        73     -49.5364     -49.5364      0.0000
  QRF00005_HM565909.1            72     -55.9804     -55.9804      0.0000
  QRF00005_CAFG01000441.1        73     -48.9692     -48.9692      0.0000
  QRF00005_AACY020656879.1       72     -56.5393     -56.5393      0.0000
  QRF00005_CP001744.1            73     -47.2338     -47.2338      0.0000
  QRF00005_CP000880.1            73     -48.4042     -48.4042      0.0000
  QRF00005_CACD01000012.1        73     -48.4042     -48.4042      0.0000
  QRF00005_CACD01000012.1        73     -48.4042     -48.4042      0.0000
  QRF00005_CACD01000012.1        73     -48.4042     -48.4042      0.0000
  QRF00005_AM849034.1            74     -43.5919     -43.5919      0.0000
  QRF00005_AM711867.1            74     -43.5919     -43.5919      0.0000
  QRF00005_AEQT01000005.1        73     -48.4042     -48.4042      0.0000
  QRF00005_AEQT01000005.1        73     -48.4042     -48.4042      0.0000
  QRF00005_ACDJ01000003.1        73     -48.4042     -48.4042      0.0000
  QRF00005_ABWL02000007.1        73     -48.4042     -48.4042      0.0000
  QRF00005_Z71579.1              73     -47.8885     -47.8885      0.0000
  QRF00005_X53782.1              73     -47.8885     -47.8885      0.0000
  QRF00005_M19391.1              73     -47.8885     -47.8885      0.0000
  QRF00005_M15314.1              73     -47.8885     -47.8885      0.0000
  QRF00005_L42023.1              73     -47.8885     -47.8885      0.0000
  QRF00005_L42023.1              73     -47.8885     -47.8885      0.0000
  QRF00005_L42023.1              73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670204.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670204.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670204.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670178.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670178.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670178.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ670178.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312006.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312006.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312006.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312002.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312002.1            73     -47.8885     -47.8885      0.0000
  QRF00005_FQ312002.1            73     -47.8885     -47.8885      0.0000
  QRF00005_EF196803.1            73     -47.8885     -47.8885      0.0000
  QRF00005_EF196803.1            73     -47.8885     -47.8885      0.0000
  QRF00005_CP003022.1            73     -47.8885     -47.8885      0.0000
  QRF00001_EU093378.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AAAA02047827.1       119     -43.8504     -43.8504      0.0000
  QRF00001_AAAA02043281.1       119     -44.6384     -44.6384      0.0000
  QRF00001_EF064700.1           119     -41.6931     -41.6931      0.0000
  QRF00001_EF064692.1           119     -41.6931     -41.6931      0.0000
  QRF00001_EF064687.1           119     -41.6931     -41.6931      0.0000
  QRF00001_EF064680.1           119     -41.6931     -41.6931      0.0000
  QRF00001_EF064678.1           119     -41.6931     -41.6931      0.0000
  QRF00001_EF064556.1           119     -41.6931     -41.6931      0.0000
  QRF00001_AJ390135.1           119     -41.6931     -41.6931      0.0000
  QRF00001_HQ270965.1           119     -43.8504     -43.8504      0.0000
  QRF00001_GQ324770.1           119     -43.8504     -43.8504      0.0000
  QRF00001_FJ882503.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AF550740.1           119     -43.8504     -43.8504      0.0000
  QRF00001_HQ270648.1           119     -43.8504     -43.8504      0.0000
  QRF00001_EU924818.1           119     -43.8504     -43.8504      0.0000
  QRF00001_EU093153.1           119     -43.8504     -43.8504      0.0000
  QRF00001_EF524209.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AY316209.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AY034674.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AJ409525.1           119     -43.8504     -43.8504      0.0000
  QRF00001_AF550715.1           119     -43.8504     -43.8504      0.0000
  QRF00001_ABXC01010155.1       119     -43.8504     -43.8504      0.0000
  QRF00001_ABXC01009775.1       119     -43.8504     -43.8504      0.0000
  QRF00001_ABXC01009775.1       119     -43.8504     -43.8504      0.0000
  QRF00001_ABXC01009775.1       119     -43.8504     -43.8504      0.0000
  QRF00001_ABXC01009135.1       119     -43.8504     -43.8504      0.0000
