# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01689.cm
# date:    Sat May 14 03:15:24 2016
# seed:    1463195724
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  AdoCbl-variant             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:11.55       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -45.3498     -45.3498      0.0000
  QRF01739_AGJC01000011.1        62     -47.3060     -47.3060      0.0000
  QRF01739_AP012205.1            62     -42.1724     -42.1724      0.0000
  QRF01739_AEPQ01000180.1        85     -33.7495     -33.7495      0.0000
  QRF01739_AACY023065314.1       57     -45.6741     -45.6741      0.0000
  QRF01739_AACY020081009.1       57     -45.6741     -45.6741      0.0000
  QRF01739_ACSK01000180.1        92     -32.1184     -32.1184      0.0000
  QRF01739_BA000039.2           113     -29.8139     -29.8139      0.0000
  QRF01739_AACY023081145.1       53     -47.9870     -47.9870      0.0000
  QRF01739_AFSR01000238.1        99     -34.2004     -34.2004      0.0000
  QRF01739_AGJC01000003.1        76     -45.6761     -45.6761      0.0000
  QRF01739_AFSR01000146.1        92     -40.0027     -40.0027      0.0000
  QRF01739_CACA01000349.1        84     -41.0956     -41.0956      0.0000
  QRF01739_AACY022751187.1       52     -49.9011     -49.9011      0.0000
  QRF01739_AACY022283709.1       52     -49.9011     -49.9011      0.0000
  QRF01739_ABPS01003770.1       123     -27.2070     -27.2070      0.0000
  QRF01739_AFEJ01000345.1        83     -46.5240     -46.5240      0.0000
  QRF00005_CABR01000029.1        73     -33.9095     -33.9095      0.0000
  QRF00005_AFSR01002788.1        74     -41.3110     -41.3110      0.0000
  QRF00005_CP000927.1            72     -37.4508     -37.4508      0.0000
  QRF00005_AY741371.1            72     -47.8856     -47.8856      0.0000
  QRF00005_AEGR01000006.1        73     -43.0425     -43.0425      0.0000
  QRF00005_CP001189.1            73     -36.3608     -36.3608      0.0000
  QRF00005_CP000493.1            72     -38.2060     -38.2060      0.0000
  QRF00005_AP012159.1            73     -36.3608     -36.3608      0.0000
  QRF00005_AM889285.1            73     -36.3608     -36.3608      0.0000
  QRF00005_AGFR01000003.1        73     -33.9413     -33.9413      0.0000
  QRF00005_AFCH01000046.1        73     -36.3608     -36.3608      0.0000
  QRF00005_ADTV01000009.1        73     -36.3608     -36.3608      0.0000
  QRF00005_ABCE01000025.1        73     -47.4098     -47.4098      0.0000
  QRF00005_HM565909.1            72     -43.5283     -43.5283      0.0000
  QRF00005_CAFG01000441.1        73     -42.0305     -42.0305      0.0000
  QRF00005_AACY020656879.1       72     -45.0966     -45.0966      0.0000
  QRF00005_CP001744.1            73     -43.1835     -43.1835      0.0000
  QRF00005_CP000880.1            73     -41.5283     -41.5283      0.0000
  QRF00005_CACD01000012.1        73     -41.5283     -41.5283      0.0000
  QRF00005_CACD01000012.1        73     -41.5283     -41.5283      0.0000
  QRF00005_CACD01000012.1        73     -41.5283     -41.5283      0.0000
  QRF00005_AM849034.1            74     -43.3696     -43.3696      0.0000
  QRF00005_AM711867.1            74     -43.3696     -43.3696      0.0000
  QRF00005_AEQT01000005.1        73     -41.5283     -41.5283      0.0000
  QRF00005_AEQT01000005.1        73     -41.5283     -41.5283      0.0000
  QRF00005_ACDJ01000003.1        73     -41.5283     -41.5283      0.0000
  QRF00005_ABWL02000007.1        73     -41.5283     -41.5283      0.0000
  QRF00005_Z71579.1              73     -43.7775     -43.7775      0.0000
  QRF00005_X53782.1              73     -43.7775     -43.7775      0.0000
  QRF00005_M19391.1              73     -43.7775     -43.7775      0.0000
  QRF00005_M15314.1              73     -43.7775     -43.7775      0.0000
  QRF00005_L42023.1              73     -43.7775     -43.7775      0.0000
  QRF00005_L42023.1              73     -43.7775     -43.7775      0.0000
  QRF00005_L42023.1              73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670204.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670204.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670204.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670178.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670178.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670178.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ670178.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312006.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312006.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312006.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312002.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312002.1            73     -43.7775     -43.7775      0.0000
  QRF00005_FQ312002.1            73     -43.7775     -43.7775      0.0000
  QRF00005_EF196803.1            73     -43.7775     -43.7775      0.0000
  QRF00005_EF196803.1            73     -43.7775     -43.7775      0.0000
  QRF00005_CP003022.1            73     -43.7775     -43.7775      0.0000
  QRF00001_EU093378.1           119     -19.0535     -19.0535      0.0000
  QRF00001_AAAA02047827.1       119     -19.7741     -19.7741      0.0000
  QRF00001_AAAA02043281.1       119     -20.1061     -20.1061      0.0000
  QRF00001_EF064700.1           119     -16.3821     -16.3821      0.0000
  QRF00001_EF064692.1           119     -16.3821     -16.3821      0.0000
  QRF00001_EF064687.1           119     -16.3821     -16.3821      0.0000
  QRF00001_EF064680.1           119     -16.3821     -16.3821      0.0000
  QRF00001_EF064678.1           119     -16.3821     -16.3821      0.0000
  QRF00001_EF064556.1           119     -16.3821     -16.3821      0.0000
  QRF00001_AJ390135.1           119     -16.3821     -16.3821      0.0000
  QRF00001_HQ270965.1           119     -18.7831     -18.7831      0.0000
  QRF00001_GQ324770.1           119     -18.7831     -18.7831      0.0000
  QRF00001_FJ882503.1           119     -18.7831     -18.7831      0.0000
  QRF00001_AF550740.1           119     -18.7831     -18.7831      0.0000
  QRF00001_HQ270648.1           119     -18.7831     -18.7831      0.0000
  QRF00001_EU924818.1           119     -18.7831     -18.7831      0.0000
  QRF00001_EU093153.1           119     -18.7831     -18.7831      0.0000
  QRF00001_EF524209.1           119     -18.7831     -18.7831      0.0000
  QRF00001_AY316209.1           119     -18.7831     -18.7831      0.0000
  QRF00001_AY034674.1           119     -18.7831     -18.7831      0.0000
  QRF00001_AJ409525.1           119     -18.7831     -18.7831      0.0000
  QRF00001_AF550715.1           119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01010155.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009775.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009775.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009775.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009135.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009119.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01009117.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005845.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005845.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005844.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005841.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005839.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005838.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005838.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005835.1       119     -18.7831     -18.7831      0.0000
  QRF00001_ABXC01005835.1       119     -18.7831     -18.7831      0.0000
  QRF00001_AAAA02039752.1       119     -16.4891     -16.4891      0.0000
  QRF00001_EU925066.1           119     -19.9581     -19.9581      0.0000
  QRF00001_EU093209.1           119     -19.9581     -19.9581      0.0000
  QRF00001_U02637.1             119     -19.7741     -19.7741      0.0000
  QRF00001_EU439291.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439286.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439284.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439282.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439280.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439279.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439278.1           119     -19.7741     -19.7741      0.0000
  QRF00001_EU439277.1           119     -19.7741     -19.7741      0.0000
  QRF01704_ACNY01000005.1        62     -48.3745     -48.3745      0.0000
  QRF01704_ADXL01000065.1        61     -46.6469     -46.6469      0.0000
  QRF01704_ADXL01000046.1        61     -44.9410     -44.9410      0.0000
  QRF01704_ADHP01001127.1        63     -46.2234     -46.2234      0.0000
  QRF01704_ADXM01000029.1        71     -44.3513     -44.3513      0.0000
  QRF01704_FJ869257.1            62     -49.9119     -49.9119      0.0000
  QRF01704_BX569692.1            62     -49.9119     -49.9119      0.0000
  QRF01704_AACY023835177.1       64     -46.0926     -46.0926      0.0000
  QRF01704_ACNY01000003.1        61     -49.5034     -49.5034      0.0000
  QRF01704_AACY020212823.1       62     -46.0751     -46.0751      0.0000
  QRF01704_GQ237222.1            58     -54.5014     -54.5014      0.0000
  QRF01704_ADHP01000860.1        64     -43.4866     -43.4866      0.0000
  QRF01704_AACY020313707.1       62     -46.8808     -46.8808      0.0000
  QRF01704_ACDW01000004.1        62     -47.5026     -47.5026      0.0000
  QRF01704_AACY022014507.1       62     -46.3806     -46.3806      0.0000
  QRF01704_ADHP01000878.1        59     -52.2984     -52.2984      0.0000
  QRF01704_AACY022415810.1       58     -50.2656     -50.2656      0.0000
  QRF01704_AACY020575673.1       58     -50.2656     -50.2656      0.0000
  QRF01704_ACNY01000005.1        59     -53.6133     -53.6133      0.0000
  QRF01704_ADHP01000854.1        63     -47.9265     -47.9265      0.0000
  QRF01704_GU936714.1            59     -47.5654     -47.5654      0.0000
  QRF01704_AACY021622950.1       62     -46.5791     -46.5791      0.0000
  QRF01704_CP000825.1            58     -49.1067     -49.1067      0.0000
  QRF01704_EU795157.1            64     -43.7086     -43.7086      0.0000
  QRF01704_ABVN01004790.1        61     -48.7502     -48.7502      0.0000
  QRF01704_ABMN01086741.1        60     -47.5532     -47.5532      0.0000
  QRF01704_DQ325539.1            60     -49.9091     -49.9091      0.0000
  QRF01704_ACNY01000005.1        62     -48.8359     -48.8359      0.0000
  QRF01704_ACNY01000004.1        60     -48.5684     -48.5684      0.0000
  QRF01704_ABVT01000061.1        57     -45.8252     -45.8252      0.0000
  QRF00023_CP001665.1           363     -10.2849     -10.2849      0.0000
  QRF00023_CP001509.3           363     -10.2849     -10.2849      0.0000
  QRF00023_CP000819.1           363     -10.2849     -10.2849      0.0000
  QRF00023_AM946981.2           363     -10.2849     -10.2849      0.0000
  QRF00023_ADTQ01000184.1       363     -10.2849     -10.2849      0.0000
  QRF00023_ADBT01000188.1       363     -10.2849     -10.2849      0.0000
  QRF00023_FN543093.2           364     -18.6739     -18.6739      0.0000
  QRF00023_AFAG01000033.1       363     -11.2231     -11.2231      0.0000
  QRF00023_AFAF01000014.1       363     -11.2231     -11.2231      0.0000
  QRF00023_ADUS01000034.1       363     -11.2231     -11.2231      0.0000
  QRF00023_U36840.1             363      -9.3731      -9.3731      0.0000
  QRF00023_FN649414.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CU928162.2           363      -9.3731      -9.3731      0.0000
  QRF00023_CU928161.2           363      -9.3731      -9.3731      0.0000
  QRF00023_CU928158.2           363      -9.3731      -9.3731      0.0000
  QRF00023_CU651637.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP003034.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002797.2           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002729.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002516.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002212.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002211.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002185.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP002167.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP001969.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP001855.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP001671.1           363      -9.3731      -9.3731      0.0000
  QRF00023_CP001637.1           363      -9.3731      -9.3731      0.0000
