# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00172.cm
# date:    Tue May 10 02:36:11 2016
# seed:    1462847771
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CAESAR                     search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.27       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -12.2234     -12.2234      0.0000
  RF00418_AAIY01556911.1        141     -12.8322     -12.8322      0.0000
  RF00418_AAYZ01244227.1        137     -13.8549     -13.8549      0.0000
  RF00418_AF357386.1            126     -13.0959     -13.0959      0.0000
  RF00418_AABR04001620.1        135      -9.9044      -9.9044      0.0000
  RF00418_AAQQ01789110.1        137     -15.5543     -15.5543      0.0000
  RF00418_AJ609450.1            137      -7.3941      -7.3941      0.0000
  RF00418_AL590431.11           136      -3.8861      -3.8861      0.0000
  RF00418_AL049745.9            136      -8.8655      -8.8655      0.0000
  RF00418_ABDC01240840.1        136     -10.6359     -10.6359      0.0000
  RF00418_AAQR01162064.1        136     -11.9723     -11.9723      0.0000
  RF00418_AAEX02026315.1        137      -8.8503      -8.8503      0.0000
  RF00418_AANG01021210.1        136     -21.9723     -21.9723      0.0000
  RF00418_AAFC03027776.1        135     -16.0077     -16.0077      0.0000
  RF00418_AAPE01281662.1        136      -9.9831      -9.9831      0.0000
  RF00418_AALT01368588.1        136     -12.3517     -12.3517      0.0000
  RF00418_AAWR02038694.1        136     -15.0504     -15.0504      0.0000
  RF00418_AAGV020286123.1       137     -10.5039     -10.5039      0.0000
  RF00418_AAFR03052180.1        134     -10.7679     -10.7679      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.47    0.57        0  0.00000    0.00
#
# CPU time: 0.74u 0.00s 00:00:00.74 Elapsed: 00:00:01
