# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01071.cm
# date:    Sat May 14 04:50:53 2016
# seed:    1463201453
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  OLE                        search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:06:43.51       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -279.6460    -279.6460      0.0000
  QRF01739_AGJC01000011.1        62    -284.0203    -284.0203      0.0000
  QRF01739_AP012205.1            62    -278.2640    -278.2640      0.0000
  QRF01739_AEPQ01000180.1        85    -258.8646    -258.8646      0.0000
  QRF01739_AACY023065314.1       57    -281.1602    -281.1602      0.0000
  QRF01739_AACY020081009.1       57    -281.1602    -281.1602      0.0000
  QRF01739_ACSK01000180.1        92    -256.8365    -256.8365      0.0000
  QRF01739_BA000039.2           113    -246.9552    -246.9552      0.0000
  QRF01739_AACY023081145.1       53    -277.1274    -277.1274      0.0000
  QRF01739_AFSR01000238.1        99    -257.1190    -257.3688      0.2499
  QRF01739_AGJC01000003.1        76    -270.3459    -270.3459      0.0000
  QRF01739_AFSR01000146.1        92    -260.8552    -260.8552      0.0000
  QRF01739_CACA01000349.1        84    -265.7519    -265.7519      0.0000
  QRF01739_AACY022751187.1       52    -285.0520    -285.0520      0.0000
  QRF01739_AACY022283709.1       52    -285.0520    -285.0520      0.0000
  QRF01739_ABPS01003770.1       123    -235.2424    -235.2424      0.0000
