# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01823.cm
# date:    Fri May 13 21:02:26 2016
# seed:    1463173346
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rspL                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:40.47       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -25.6807     -25.6807      0.0000
  QRF01739_AGJC01000011.1        62     -23.5370     -23.5370      0.0000
  QRF01739_AP012205.1            62     -22.2008     -22.2008      0.0000
  QRF01739_AEPQ01000180.1        85     -21.4026     -21.4026      0.0000
  QRF01739_AACY023065314.1       57     -24.9002     -24.9002      0.0000
  QRF01739_AACY020081009.1       57     -24.9002     -24.9002      0.0000
  QRF01739_ACSK01000180.1        92     -19.3320     -19.3320      0.0000
  QRF01739_BA000039.2           113     -16.5889     -16.5889      0.0000
  QRF01739_AACY023081145.1       53     -27.8045     -27.8045      0.0000
  QRF01739_AFSR01000238.1        99     -23.9896     -23.9896      0.0000
  QRF01739_AGJC01000003.1        76     -22.1896     -22.1896      0.0000
  QRF01739_AFSR01000146.1        92     -17.9345     -17.9345      0.0000
  QRF01739_CACA01000349.1        84     -22.9369     -22.9369      0.0000
  QRF01739_AACY022751187.1       52     -29.6847     -29.6847      0.0000
  QRF01739_AACY022283709.1       52     -29.6847     -29.6847      0.0000
  QRF01739_ABPS01003770.1       123     -16.4121     -16.4121      0.0000
  QRF01739_AFEJ01000345.1        83     -22.6304     -22.6304      0.0000
  QRF00005_CABR01000029.1        73     -14.9493     -14.9493      0.0000
  QRF00005_AFSR01002788.1        74     -14.8261     -14.8261      0.0000
  QRF00005_CP000927.1            72     -19.5010     -19.5010      0.0000
  QRF00005_AY741371.1            72     -21.8956     -21.8956      0.0000
  QRF00005_AEGR01000006.1        73     -16.6598     -16.6598      0.0000
  QRF00005_CP001189.1            73     -16.0694     -16.0694      0.0000
  QRF00005_CP000493.1            72     -19.1320     -19.1320      0.0000
  QRF00005_AP012159.1            73     -16.0694     -16.0694      0.0000
  QRF00005_AM889285.1            73     -16.0694     -16.0694      0.0000
  QRF00005_AGFR01000003.1        73     -18.2433     -18.2433      0.0000
  QRF00005_AFCH01000046.1        73     -16.0694     -16.0694      0.0000
  QRF00005_ADTV01000009.1        73     -16.0694     -16.0694      0.0000
  QRF00005_ABCE01000025.1        73     -20.4653     -20.4653      0.0000
  QRF00005_HM565909.1            72     -21.0216     -21.0216      0.0000
  QRF00005_CAFG01000441.1        73     -13.8927     -13.8927      0.0000
  QRF00005_AACY020656879.1       72     -21.1507     -21.1507      0.0000
  QRF00005_CP001744.1            73     -24.3749     -24.3749      0.0000
  QRF00005_CP000880.1            73     -14.2683     -14.2683      0.0000
  QRF00005_CACD01000012.1        73     -14.2683     -14.2683      0.0000
  QRF00005_CACD01000012.1        73     -14.2683     -14.2683      0.0000
  QRF00005_CACD01000012.1        73     -14.2683     -14.2683      0.0000
  QRF00005_AM849034.1            74     -15.4552     -15.4552      0.0000
  QRF00005_AM711867.1            74     -15.4552     -15.4552      0.0000
  QRF00005_AEQT01000005.1        73     -14.2683     -14.2683      0.0000
  QRF00005_AEQT01000005.1        73     -14.2683     -14.2683      0.0000
  QRF00005_ACDJ01000003.1        73     -14.2683     -14.2683      0.0000
  QRF00005_ABWL02000007.1        73     -14.2683     -14.2683      0.0000
  QRF00005_Z71579.1              73     -14.8343     -14.8343      0.0000
