# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00489.cm
# date:    Fri May 13 21:28:14 2016
# seed:    1463174894
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  ctRNA_p42d                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:13.66       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -15.6675     -15.6675      0.0000
  QRF01739_AGJC01000011.1        62     -15.5012     -15.5012      0.0000
  QRF01739_AP012205.1            62     -14.8361     -14.8361      0.0000
  QRF01739_AEPQ01000180.1        85     -16.2118     -16.2118      0.0000
  QRF01739_AACY023065314.1       57     -15.0815     -15.0815      0.0000
  QRF01739_AACY020081009.1       57     -15.0815     -15.0815      0.0000
  QRF01739_ACSK01000180.1        92     -13.3014     -13.3014      0.0000
  QRF01739_BA000039.2           113       5.5072       5.5072      0.0000
  QRF01739_AACY023081145.1       53     -17.2369     -17.2369      0.0000
  QRF01739_AFSR01000238.1        99     -13.8049     -13.8049      0.0000
  QRF01739_AGJC01000003.1        76      -9.6120      -9.6120      0.0000
  QRF01739_AFSR01000146.1        92     -11.0841     -11.0841      0.0000
  QRF01739_CACA01000349.1        84     -17.5337     -17.5337      0.0000
  QRF01739_AACY022751187.1       52     -14.8842     -14.8842      0.0000
  QRF01739_AACY022283709.1       52     -14.8842     -14.8842      0.0000
  QRF01739_ABPS01003770.1       123     -12.1388     -12.1388      0.0000
  QRF01739_AFEJ01000345.1        83      -8.4384      -8.4384      0.0000
  QRF00005_CABR01000029.1        73     -10.0950     -10.0950      0.0000
  QRF00005_AFSR01002788.1        74     -10.3186     -10.3186      0.0000
  QRF00005_CP000927.1            72      -9.0281      -9.0281      0.0000
  QRF00005_AY741371.1            72     -11.8580     -11.8580      0.0000
  QRF00005_AEGR01000006.1        73     -10.0950     -10.0950      0.0000
  QRF00005_CP001189.1            73     -13.5230     -13.5230      0.0000
  QRF00005_CP000493.1            72     -11.5035     -11.5035      0.0000
  QRF00005_AP012159.1            73     -13.5230     -13.5230      0.0000
  QRF00005_AM889285.1            73     -13.5230     -13.5230      0.0000
  QRF00005_AGFR01000003.1        73     -13.5230     -13.5230      0.0000
  QRF00005_AFCH01000046.1        73     -13.5230     -13.5230      0.0000
  QRF00005_ADTV01000009.1        73     -13.5230     -13.5230      0.0000
  QRF00005_ABCE01000025.1        73     -11.2215     -11.2215      0.0000
  QRF00005_HM565909.1            72     -10.4680     -10.4680      0.0000
  QRF00005_CAFG01000441.1        73     -10.0950     -10.0950      0.0000
  QRF00005_AACY020656879.1       72      -9.7927      -9.7927      0.0000
  QRF00005_CP001744.1            73     -11.4715     -11.4715      0.0000
  QRF00005_CP000880.1            73      -9.8013      -9.8013      0.0000
  QRF00005_CACD01000012.1        73      -9.8013      -9.8013      0.0000
  QRF00005_CACD01000012.1        73      -9.8013      -9.8013      0.0000
  QRF00005_CACD01000012.1        73      -9.8013      -9.8013      0.0000
  QRF00005_AM849034.1            74     -13.7600     -13.7600      0.0000
  QRF00005_AM711867.1            74     -13.7600     -13.7600      0.0000
  QRF00005_AEQT01000005.1        73      -9.8013      -9.8013      0.0000
  QRF00005_AEQT01000005.1        73      -9.8013      -9.8013      0.0000
  QRF00005_ACDJ01000003.1        73      -9.8013      -9.8013      0.0000
  QRF00005_ABWL02000007.1        73      -9.8013      -9.8013      0.0000
  QRF00005_Z71579.1              73      -8.7011      -8.7011      0.0000
  QRF00005_X53782.1              73      -8.7011      -8.7011      0.0000
  QRF00005_M19391.1              73      -8.7011      -8.7011      0.0000
  QRF00005_M15314.1              73      -8.7011      -8.7011      0.0000
  QRF00005_L42023.1              73      -8.7011      -8.7011      0.0000
  QRF00005_L42023.1              73      -8.7011      -8.7011      0.0000
  QRF00005_L42023.1              73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670204.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670204.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670204.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670178.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670178.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670178.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ670178.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312006.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312006.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312006.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312002.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312002.1            73      -8.7011      -8.7011      0.0000
  QRF00005_FQ312002.1            73      -8.7011      -8.7011      0.0000
  QRF00005_EF196803.1            73      -8.7011      -8.7011      0.0000
  QRF00005_EF196803.1            73      -8.7011      -8.7011      0.0000
  QRF00005_CP003022.1            73      -8.7011      -8.7011      0.0000
  QRF00001_EU093378.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AAAA02047827.1       119      -8.8632      -8.8632      0.0000
  QRF00001_AAAA02043281.1       119      -8.8632      -8.8632      0.0000
  QRF00001_EF064700.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF064692.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF064687.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF064680.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF064678.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF064556.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AJ390135.1           119      -8.8632      -8.8632      0.0000
  QRF00001_HQ270965.1           119      -8.8632      -8.8632      0.0000
  QRF00001_GQ324770.1           119      -8.8632      -8.8632      0.0000
  QRF00001_FJ882503.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AF550740.1           119      -8.8632      -8.8632      0.0000
  QRF00001_HQ270648.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU924818.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU093153.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EF524209.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AY316209.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AY034674.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AJ409525.1           119      -8.8632      -8.8632      0.0000
  QRF00001_AF550715.1           119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01010155.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009775.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009775.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009775.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009135.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009119.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01009117.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005845.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005845.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005844.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005841.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005839.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005838.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005838.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005835.1       119      -8.8632      -8.8632      0.0000
  QRF00001_ABXC01005835.1       119      -8.8632      -8.8632      0.0000
  QRF00001_AAAA02039752.1       119      -8.0882      -8.0882      0.0000
  QRF00001_EU925066.1           119      -9.6166      -9.6166      0.0000
  QRF00001_EU093209.1           119      -9.6166      -9.6166      0.0000
  QRF00001_U02637.1             119      -8.8632      -8.8632      0.0000
  QRF00001_EU439291.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439286.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439284.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439282.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439280.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439279.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439278.1           119      -8.8632      -8.8632      0.0000
  QRF00001_EU439277.1           119      -8.8632      -8.8632      0.0000
  QRF01704_ACNY01000005.1        62     -10.3003     -10.3003      0.0000
  QRF01704_ADXL01000065.1        61     -15.8486     -15.8486      0.0000
  QRF01704_ADXL01000046.1        61     -12.4032     -12.4032      0.0000
  QRF01704_ADHP01001127.1        63     -10.1533     -10.1533      0.0000
  QRF01704_ADXM01000029.1        71     -13.5101     -13.5101      0.0000
  QRF01704_FJ869257.1            62     -10.3003     -10.3003      0.0000
  QRF01704_BX569692.1            62     -10.3003     -10.3003      0.0000
  QRF01704_AACY023835177.1       64     -10.4874     -10.4874      0.0000
  QRF01704_ACNY01000003.1        61     -10.3174     -10.3174      0.0000
  QRF01704_AACY020212823.1       62     -11.3335     -11.3335      0.0000
  QRF01704_GQ237222.1            58      -5.1408      -5.1408      0.0000
  QRF01704_ADHP01000860.1        64     -10.1533     -10.1533      0.0000
  QRF01704_AACY020313707.1       62     -12.6043     -12.6043      0.0000
  QRF01704_ACDW01000004.1        62      -7.6363      -7.6363      0.0000
  QRF01704_AACY022014507.1       62     -11.3335     -11.3335      0.0000
  QRF01704_ADHP01000878.1        59     -18.5431     -18.5431      0.0000
  QRF01704_AACY022415810.1       58     -18.5431     -18.5431      0.0000
  QRF01704_AACY020575673.1       58     -18.5431     -18.5431      0.0000
  QRF01704_ACNY01000005.1        59     -14.2936     -14.2936      0.0000
  QRF01704_ADHP01000854.1        63     -10.9283     -10.9283      0.0000
  QRF01704_GU936714.1            59     -11.7849     -11.7849      0.0000
  QRF01704_AACY021622950.1       62     -11.3335     -11.3335      0.0000
  QRF01704_CP000825.1            58     -18.5431     -18.5431      0.0000
  QRF01704_EU795157.1            64     -17.9252     -17.9252      0.0000
  QRF01704_ABVN01004790.1        61     -18.4619     -18.4619      0.0000
  QRF01704_ABMN01086741.1        60     -12.7839     -12.7839      0.0000
  QRF01704_DQ325539.1            60     -14.2936     -14.2936      0.0000
  QRF01704_ACNY01000005.1        62     -13.7803     -13.7803      0.0000
  QRF01704_ACNY01000004.1        60     -12.3004     -12.3004      0.0000
  QRF01704_ABVT01000061.1        57     -18.8029     -18.8029      0.0000
  QRF00023_CP001665.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001509.3           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000819.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AM946981.2           363      -4.4801      -4.4801      0.0000
  QRF00023_ADTQ01000184.1       363      -4.4801      -4.4801      0.0000
  QRF00023_ADBT01000188.1       363      -4.4801      -4.4801      0.0000
  QRF00023_FN543093.2           364      -4.4662      -4.4662      0.0000
  QRF00023_AFAG01000033.1       363      -4.4801      -4.4801      0.0000
  QRF00023_AFAF01000014.1       363      -4.4801      -4.4801      0.0000
  QRF00023_ADUS01000034.1       363      -4.4801      -4.4801      0.0000
  QRF00023_U36840.1             363      -4.4801      -4.4801      0.0000
  QRF00023_FN649414.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CU928162.2           363      -4.4801      -4.4801      0.0000
  QRF00023_CU928161.2           363      -4.4801      -4.4801      0.0000
  QRF00023_CU928158.2           363      -4.4801      -4.4801      0.0000
  QRF00023_CU651637.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP003034.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002797.2           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002729.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002516.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002212.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002211.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002185.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP002167.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001969.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001855.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001671.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001637.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001396.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP001383.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000970.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000948.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000802.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000243.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CP000038.1           363      -4.4801      -4.4801      0.0000
  QRF00023_CAFL01000074.1       363      -4.4801      -4.4801      0.0000
  QRF00023_CADZ01000057.1       363      -4.4801      -4.4801      0.0000
  QRF00023_BAAV01002786.1       363      -4.4801      -4.4801      0.0000
  QRF00023_AP012030.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP010960.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP010958.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP010953.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP009378.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP009240.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AP009048.1           363      -4.4801      -4.4801      0.0000
  QRF00023_AJ304858.2           363      -4.4801      -4.4801      0.0000
  QRF00023_AGTK01000236.1       363      -4.4801      -4.4801      0.0000
  QRF00023_AGTJ01000345.1       363      -4.4801      -4.4801      0.0000
  QRF00023_AGTI01000029.1       363      -4.4801      -4.4801      0.0000
  QRF00023_AGTH01000033.1       363      -4.4801      -4.4801      0.0000
  QRF00010_CP002738.1           351      -2.3569      -2.3569      0.0000
  QRF00010_ABSP01001676.1       350      -4.4229      -4.4229      0.0000
  QRF00010_FO082060.1           365      -4.8910      -4.8910      0.0000
  QRF00010_AFJF01000001.1       394      -4.4050      -4.4050      0.0000
  QRF00010_AEGW02000003.1       350      -4.4229      -4.4229      0.0000
  QRF00010_CP002086.1           354      -3.3953      -3.3953      0.0000
  QRF00010_ACJN02000001.1       533      -4.7784      -4.7784      0.0000
  QRF00010_CP002881.1           360      -6.7519      -6.7519      0.0000
  QRF00010_AFOH01000117.1       345      -7.8154      -7.8154      0.0000
  QRF00010_AACY020185705.1      350      -4.8456      -4.8456      0.0000
  QRF00010_AGSX01000193.1       359      -6.7519      -6.7519      0.0000
  QRF00010_AFWT01000009.1       368      -5.0098      -5.0098      0.0000
  QRF00010_FM209186.1           350      -8.0289      -8.0289      0.0000
  QRF00010_CP002496.1           350      -8.0289      -8.0289      0.0000
  QRF00010_CP000438.1           350      -8.0289      -8.0289      0.0000
  QRF00010_BADP01000198.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AP012280.1           350      -8.0289      -8.0289      0.0000
  QRF00010_AFXK01000001.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AFXJ01000001.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AFXI01000001.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AFNF01000315.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AEVW01000050.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AEVV01000076.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AEEX01000069.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AE004091.2           350      -8.0289      -8.0289      0.0000
  QRF00010_ACWU01000204.1       350      -8.0289      -8.0289      0.0000
  QRF00010_ABKZ01000485.1       350      -8.0289      -8.0289      0.0000
  QRF00010_CP002622.1           360      -6.7519      -6.7519      0.0000
  QRF00010_ABYY01000008.1       344      -3.1250      -3.1250      0.0000
  QRF00010_AACY020062040.1      355      -7.9444      -7.9444      0.0000
  QRF00010_AACY023745699.1      347      -5.0348      -5.0348      0.0000
  QRF00010_AGTR01000084.1       350      -7.2961      -7.2961      0.0000
  QRF00010_CP000937.1           344      -3.1250      -3.1250      0.0000
  QRF00010_ACKY01000130.1       336      -1.6618      -1.6618      0.0000
  QRF00010_AAQW01000001.1       350      -8.0289      -8.0289      0.0000
  QRF00010_AFZB01000010.1       349      -2.1978      -2.1978      0.0000
  QRF00010_AFOC01000030.1       349      -2.1978      -2.1978      0.0000
  QRF00010_ABSG01000028.1       354      -6.8148      -6.8148      0.0000
  QRF00010_ABSP01006958.1       367      -5.1763      -5.1763      0.0000
  QRF00010_CP000744.1           350      -8.0289      -8.0289      0.0000
  QRF00010_CP001978.1           350      -7.2961      -7.2961      0.0000
  QRF00010_AP011529.1           404      -5.3280      -5.3280      0.0000
  QRF00010_AGBG01000003.1       351      -7.0318      -7.0318      0.0000
  QRF00010_CR628336.1           373      -1.6992      -1.6992      0.0000
  QRF00010_CP001649.1           366      -6.0684      -6.0684      0.0000
  QRF00010_CP002870.1           360      -6.9447      -6.9447      0.0000
