# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01430.cm
# date:    Sat May 14 03:48:29 2016
# seed:    1463197709
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR134                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:11.06       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -50.5158     -50.5158      0.0000
  QRF01739_AGJC01000011.1        62     -53.8691     -53.8691      0.0000
  QRF01739_AP012205.1            62     -45.6052     -45.6052      0.0000
  QRF01739_AEPQ01000180.1        85     -44.3984     -44.3984      0.0000
  QRF01739_AACY023065314.1       57     -52.4007     -52.4007      0.0000
  QRF01739_AACY020081009.1       57     -52.4007     -52.4007      0.0000
  QRF01739_ACSK01000180.1        92     -43.0792     -43.0792      0.0000
  QRF01739_BA000039.2           113     -28.9520     -28.9520      0.0000
  QRF01739_AACY023081145.1       53     -57.3619     -57.3619      0.0000
  QRF01739_AFSR01000238.1        99     -43.1447     -43.1447      0.0000
  QRF01739_AGJC01000003.1        76     -40.6886     -40.6886      0.0000
  QRF01739_AFSR01000146.1        92     -40.8424     -40.8424      0.0000
  QRF01739_CACA01000349.1        84     -49.5631     -49.5631      0.0000
  QRF01739_AACY022751187.1       52     -60.9047     -60.9047      0.0000
  QRF01739_AACY022283709.1       52     -60.9047     -60.9047      0.0000
  QRF01739_ABPS01003770.1       123     -26.3931     -26.3931      0.0000
  QRF01739_AFEJ01000345.1        83     -43.9996     -43.9996      0.0000
  QRF00005_CABR01000029.1        73     -52.1093     -52.1093      0.0000
  QRF00005_AFSR01002788.1        74     -52.0254     -52.0254      0.0000
  QRF00005_CP000927.1            72     -48.7947     -48.7947      0.0000
  QRF00005_AY741371.1            72     -46.7767     -46.7767      0.0000
  QRF00005_AEGR01000006.1        73     -49.3371     -49.3371      0.0000
  QRF00005_CP001189.1            73     -47.9980     -47.9980      0.0000
  QRF00005_CP000493.1            72     -50.2299     -50.2299      0.0000
  QRF00005_AP012159.1            73     -47.9980     -47.9980      0.0000
  QRF00005_AM889285.1            73     -47.9980     -47.9980      0.0000
  QRF00005_AGFR01000003.1        73     -48.0168     -48.0168      0.0000
  QRF00005_AFCH01000046.1        73     -47.9980     -47.9980      0.0000
  QRF00005_ADTV01000009.1        73     -47.9980     -47.9980      0.0000
  QRF00005_ABCE01000025.1        73     -51.6453     -51.6453      0.0000
  QRF00005_HM565909.1            72     -45.2244     -45.2244      0.0000
  QRF00005_CAFG01000441.1        73     -51.2007     -51.2007      0.0000
  QRF00005_AACY020656879.1       72     -46.2283     -46.2283      0.0000
  QRF00005_CP001744.1            73     -49.7295     -49.7295      0.0000
  QRF00005_CP000880.1            73     -52.3112     -52.3112      0.0000
  QRF00005_CACD01000012.1        73     -52.3112     -52.3112      0.0000
  QRF00005_CACD01000012.1        73     -52.3112     -52.3112      0.0000
  QRF00005_CACD01000012.1        73     -52.3112     -52.3112      0.0000
  QRF00005_AM849034.1            74     -49.0792     -49.0792      0.0000
  QRF00005_AM711867.1            74     -49.0792     -49.0792      0.0000
  QRF00005_AEQT01000005.1        73     -52.3112     -52.3112      0.0000
  QRF00005_AEQT01000005.1        73     -52.3112     -52.3112      0.0000
  QRF00005_ACDJ01000003.1        73     -52.3112     -52.3112      0.0000
  QRF00005_ABWL02000007.1        73     -52.3112     -52.3112      0.0000
  QRF00005_Z71579.1              73     -47.9851     -47.9851      0.0000
  QRF00005_X53782.1              73     -47.9851     -47.9851      0.0000
  QRF00005_M19391.1              73     -47.9851     -47.9851      0.0000
  QRF00005_M15314.1              73     -47.9851     -47.9851      0.0000
  QRF00005_L42023.1              73     -47.9851     -47.9851      0.0000
  QRF00005_L42023.1              73     -47.9851     -47.9851      0.0000
  QRF00005_L42023.1              73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670204.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670204.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670204.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670178.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670178.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670178.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ670178.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312006.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312006.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312006.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312002.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312002.1            73     -47.9851     -47.9851      0.0000
  QRF00005_FQ312002.1            73     -47.9851     -47.9851      0.0000
  QRF00005_EF196803.1            73     -47.9851     -47.9851      0.0000
  QRF00005_EF196803.1            73     -47.9851     -47.9851      0.0000
  QRF00005_CP003022.1            73     -47.9851     -47.9851      0.0000
  QRF00001_EU093378.1           119     -29.4497     -29.4497      0.0000
  QRF00001_AAAA02047827.1       119     -30.9335     -30.9335      0.0000
  QRF00001_AAAA02043281.1       119     -34.1938     -34.1938      0.0000
  QRF00001_EF064700.1           119     -27.2285     -27.2285      0.0000
  QRF00001_EF064692.1           119     -27.2285     -27.2285      0.0000
  QRF00001_EF064687.1           119     -27.2285     -27.2285      0.0000
  QRF00001_EF064680.1           119     -27.2285     -27.2285      0.0000
  QRF00001_EF064678.1           119     -27.2285     -27.2285      0.0000
  QRF00001_EF064556.1           119     -27.2285     -27.2285      0.0000
  QRF00001_AJ390135.1           119     -27.2285     -27.2285      0.0000
  QRF00001_HQ270965.1           119     -31.3465     -31.3465      0.0000
  QRF00001_GQ324770.1           119     -31.3465     -31.3465      0.0000
  QRF00001_FJ882503.1           119     -31.3465     -31.3465      0.0000
  QRF00001_AF550740.1           119     -31.3465     -31.3465      0.0000
  QRF00001_HQ270648.1           119     -31.3465     -31.3465      0.0000
  QRF00001_EU924818.1           119     -31.3465     -31.3465      0.0000
  QRF00001_EU093153.1           119     -31.3465     -31.3465      0.0000
  QRF00001_EF524209.1           119     -31.3465     -31.3465      0.0000
  QRF00001_AY316209.1           119     -31.3465     -31.3465      0.0000
  QRF00001_AY034674.1           119     -31.3465     -31.3465      0.0000
  QRF00001_AJ409525.1           119     -31.3465     -31.3465      0.0000
  QRF00001_AF550715.1           119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01010155.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009775.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009775.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009775.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009135.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009119.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01009117.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005845.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005845.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005844.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005841.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005839.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005838.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005838.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005835.1       119     -31.3465     -31.3465      0.0000
  QRF00001_ABXC01005835.1       119     -31.3465     -31.3465      0.0000
  QRF00001_AAAA02039752.1       119     -31.3785     -31.3785      0.0000
  QRF00001_EU925066.1           119     -34.0455     -34.0455      0.0000
  QRF00001_EU093209.1           119     -34.0455     -34.0455      0.0000
  QRF00001_U02637.1             119     -30.9335     -30.9335      0.0000
  QRF00001_EU439291.1           119     -30.9335     -30.9335      0.0000
  QRF00001_EU439286.1           119     -30.9335     -30.9335      0.0000
  QRF00001_EU439284.1           119     -30.9335     -30.9335      0.0000
  QRF00001_EU439282.1           119     -30.9335     -30.9335      0.0000
  QRF00001_EU439280.1           119     -30.9335     -30.9335      0.0000
