# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01320.cm
# date:    Fri May 13 22:19:06 2016
# seed:    1463177946
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CRISPR-DR7                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:08.77       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -12.4254     -12.4254      0.0000
  QRF01739_AGJC01000011.1        62     -12.9927     -12.9927      0.0000
  QRF01739_AP012205.1            62     -11.7680     -11.7680      0.0000
  QRF01739_AEPQ01000180.1        85      -7.3912      -7.3912      0.0000
  QRF01739_AACY023065314.1       57      -9.7157      -9.7157      0.0000
  QRF01739_AACY020081009.1       57      -9.7157      -9.7157      0.0000
  QRF01739_ACSK01000180.1        92     -10.3780     -10.3780      0.0000
  QRF01739_BA000039.2           113      -8.0546      -8.0546      0.0000
  QRF01739_AACY023081145.1       53     -12.5684     -12.5684      0.0000
  QRF01739_AFSR01000238.1        99     -13.3130     -13.3130      0.0000
  QRF01739_AGJC01000003.1        76      -7.5266      -7.5266      0.0000
  QRF01739_AFSR01000146.1        92      -9.0505      -9.0505      0.0000
  QRF01739_CACA01000349.1        84      -9.5700      -9.5700      0.0000
  QRF01739_AACY022751187.1       52      -8.8632      -8.8632      0.0000
  QRF01739_AACY022283709.1       52      -8.8632      -8.8632      0.0000
  QRF01739_ABPS01003770.1       123      -8.4581      -8.4581      0.0000
  QRF01739_AFEJ01000345.1        83     -15.3472     -15.3472      0.0000
  QRF00005_CABR01000029.1        73     -16.5799     -16.5799      0.0000
  QRF00005_AFSR01002788.1        74     -12.5373     -12.5373      0.0000
  QRF00005_CP000927.1            72     -12.9143     -12.9143      0.0000
  QRF00005_AY741371.1            72     -12.9018     -12.9018      0.0000
  QRF00005_AEGR01000006.1        73     -16.3932     -16.3932      0.0000
  QRF00005_CP001189.1            73     -15.0440     -15.0440      0.0000
  QRF00005_CP000493.1            72     -16.5799     -16.5799      0.0000
  QRF00005_AP012159.1            73     -15.0440     -15.0440      0.0000
  QRF00005_AM889285.1            73     -15.0440     -15.0440      0.0000
  QRF00005_AGFR01000003.1        73     -11.7519     -11.7519      0.0000
  QRF00005_AFCH01000046.1        73     -15.0440     -15.0440      0.0000
  QRF00005_ADTV01000009.1        73     -15.0440     -15.0440      0.0000
  QRF00005_ABCE01000025.1        73     -13.2903     -13.2903      0.0000
  QRF00005_HM565909.1            72     -12.9018     -12.9018      0.0000
  QRF00005_CAFG01000441.1        73     -16.3932     -16.3932      0.0000
  QRF00005_AACY020656879.1       72     -12.7971     -12.7971      0.0000
  QRF00005_CP001744.1            73     -15.4462     -15.4462      0.0000
  QRF00005_CP000880.1            73     -15.2109     -15.2109      0.0000
  QRF00005_CACD01000012.1        73     -15.2109     -15.2109      0.0000
  QRF00005_CACD01000012.1        73     -15.2109     -15.2109      0.0000
  QRF00005_CACD01000012.1        73     -15.2109     -15.2109      0.0000
  QRF00005_AM849034.1            74     -12.2296     -12.2296      0.0000
  QRF00005_AM711867.1            74     -12.2296     -12.2296      0.0000
  QRF00005_AEQT01000005.1        73     -15.2109     -15.2109      0.0000
  QRF00005_AEQT01000005.1        73     -15.2109     -15.2109      0.0000
  QRF00005_ACDJ01000003.1        73     -15.2109     -15.2109      0.0000
  QRF00005_ABWL02000007.1        73     -15.2109     -15.2109      0.0000
  QRF00005_Z71579.1              73     -15.8782     -15.8782      0.0000
  QRF00005_X53782.1              73     -15.8782     -15.8782      0.0000
  QRF00005_M19391.1              73     -15.8782     -15.8782      0.0000
  QRF00005_M15314.1              73     -15.8782     -15.8782      0.0000
  QRF00005_L42023.1              73     -15.8782     -15.8782      0.0000
  QRF00005_L42023.1              73     -15.8782     -15.8782      0.0000
  QRF00005_L42023.1              73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670204.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670204.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670204.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670178.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670178.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670178.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ670178.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312006.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312006.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312006.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312002.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312002.1            73     -15.8782     -15.8782      0.0000
  QRF00005_FQ312002.1            73     -15.8782     -15.8782      0.0000
  QRF00005_EF196803.1            73     -15.8782     -15.8782      0.0000
