# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00370.cm
# date:    Fri May 13 23:29:25 2016
# seed:    1463182165
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  sroD                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.88       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -23.7976     -23.7976      0.0000
  QRF01739_AGJC01000011.1        62     -25.0039     -25.0039      0.0000
  QRF01739_AP012205.1            62     -17.4415     -17.4415      0.0000
  QRF01739_AEPQ01000180.1        85     -17.2129     -17.2129      0.0000
  QRF01739_AACY023065314.1       57     -22.9863     -22.9863      0.0000
  QRF01739_AACY020081009.1       57     -22.9863     -22.9863      0.0000
  QRF01739_ACSK01000180.1        92     -19.5046     -19.5046      0.0000
  QRF01739_BA000039.2           113     -18.2363     -18.2363      0.0000
  QRF01739_AACY023081145.1       53     -26.6453     -26.6453      0.0000
  QRF01739_AFSR01000238.1        99     -21.2069     -21.2069      0.0000
  QRF01739_AGJC01000003.1        76     -23.0284     -23.0284      0.0000
  QRF01739_AFSR01000146.1        92     -20.0167     -20.0167      0.0000
  QRF01739_CACA01000349.1        84     -23.2722     -23.2722      0.0000
  QRF01739_AACY022751187.1       52     -30.6032     -30.6032      0.0000
  QRF01739_AACY022283709.1       52     -30.6032     -30.6032      0.0000
  QRF01739_ABPS01003770.1       123     -13.2791     -13.2791      0.0000
  QRF01739_AFEJ01000345.1        83     -16.2653     -16.2653      0.0000
  QRF00005_CABR01000029.1        73     -20.4922     -20.4922      0.0000
  QRF00005_AFSR01002788.1        74     -20.1453     -20.1453      0.0000
  QRF00005_CP000927.1            72     -25.7182     -25.7182      0.0000
