# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00392.cm
# date:    Fri May 13 19:39:00 2016
# seed:    1463168340
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORA5                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:59.45       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -39.2457     -39.2457      0.0000
  QRF01739_AGJC01000011.1        62     -44.4456     -44.4456      0.0000
  QRF01739_AP012205.1            62     -38.4314     -38.4314      0.0000
  QRF01739_AEPQ01000180.1        85     -31.5681     -31.5681      0.0000
  QRF01739_AACY023065314.1       57     -40.2104     -40.2104      0.0000
  QRF01739_AACY020081009.1       57     -40.2104     -40.2104      0.0000
  QRF01739_ACSK01000180.1        92     -37.0327     -37.0327      0.0000
  QRF01739_BA000039.2           113     -27.7383     -27.7383      0.0000
  QRF01739_AACY023081145.1       53     -45.2881     -45.2881      0.0000
  QRF01739_AFSR01000238.1        99     -34.4612     -34.4612      0.0000
  QRF01739_AGJC01000003.1        76     -34.7444     -34.7444      0.0000
  QRF01739_AFSR01000146.1        92     -29.6526     -29.6526      0.0000
  QRF01739_CACA01000349.1        84     -37.5888     -37.5888      0.0000
  QRF01739_AACY022751187.1       52     -46.4232     -46.4232      0.0000
  QRF01739_AACY022283709.1       52     -46.4232     -46.4232      0.0000
  QRF01739_ABPS01003770.1       123     -15.3323     -15.3323      0.0000
  QRF01739_AFEJ01000345.1        83     -36.6029     -36.6029      0.0000
  QRF00005_CABR01000029.1        73     -44.1434     -44.1434      0.0000
  QRF00005_AFSR01002788.1        74     -38.4456     -38.4456      0.0000
  QRF00005_CP000927.1            72     -36.9891     -36.9891      0.0000
  QRF00005_AY741371.1            72     -30.4306     -30.4306      0.0000
  QRF00005_AEGR01000006.1        73     -44.8957     -44.8957      0.0000
  QRF00005_CP001189.1            73     -42.3096     -42.3096      0.0000
  QRF00005_CP000493.1            72     -39.1397     -39.1397      0.0000
  QRF00005_AP012159.1            73     -42.3096     -42.3096      0.0000
  QRF00005_AM889285.1            73     -42.3096     -42.3096      0.0000
  QRF00005_AGFR01000003.1        73     -40.6105     -40.6105      0.0000
  QRF00005_AFCH01000046.1        73     -42.3096     -42.3096      0.0000
  QRF00005_ADTV01000009.1        73     -42.3096     -42.3096      0.0000
  QRF00005_ABCE01000025.1        73     -40.9211     -40.9211      0.0000
  QRF00005_HM565909.1            72     -27.6180     -27.6180      0.0000
  QRF00005_CAFG01000441.1        73     -44.8957     -44.8957      0.0000
  QRF00005_AACY020656879.1       72     -31.8620     -31.8620      0.0000
  QRF00005_CP001744.1            73     -40.8481     -40.8481      0.0000
  QRF00005_CP000880.1            73     -41.9276     -41.9276      0.0000
  QRF00005_CACD01000012.1        73     -41.9276     -41.9276      0.0000
  QRF00005_CACD01000012.1        73     -41.9276     -41.9276      0.0000
  QRF00005_CACD01000012.1        73     -41.9276     -41.9276      0.0000
  QRF00005_AM849034.1            74     -32.7285     -32.7285      0.0000
  QRF00005_AM711867.1            74     -32.7285     -32.7285      0.0000
  QRF00005_AEQT01000005.1        73     -41.9276     -41.9276      0.0000
  QRF00005_AEQT01000005.1        73     -41.9276     -41.9276      0.0000
  QRF00005_ACDJ01000003.1        73     -41.9276     -41.9276      0.0000
  QRF00005_ABWL02000007.1        73     -41.9276     -41.9276      0.0000
  QRF00005_Z71579.1              73     -41.3043     -41.3043      0.0000
  QRF00005_X53782.1              73     -41.3043     -41.3043      0.0000
  QRF00005_M19391.1              73     -41.3043     -41.3043      0.0000
  QRF00005_M15314.1              73     -41.3043     -41.3043      0.0000
  QRF00005_L42023.1              73     -41.3043     -41.3043      0.0000
  QRF00005_L42023.1              73     -41.3043     -41.3043      0.0000
  QRF00005_L42023.1              73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670204.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670204.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670204.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670178.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670178.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670178.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ670178.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312006.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312006.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312006.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312002.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312002.1            73     -41.3043     -41.3043      0.0000
  QRF00005_FQ312002.1            73     -41.3043     -41.3043      0.0000
  QRF00005_EF196803.1            73     -41.3043     -41.3043      0.0000
  QRF00005_EF196803.1            73     -41.3043     -41.3043      0.0000
  QRF00005_CP003022.1            73     -41.3043     -41.3043      0.0000
  QRF00001_EU093378.1           119     -33.3070     -33.3070      0.0000
  QRF00001_AAAA02047827.1       119     -32.8352     -32.8352      0.0000
  QRF00001_AAAA02043281.1       119     -33.2218     -33.2218      0.0000
  QRF00001_EF064700.1           119     -32.1182     -32.2942      0.1760
  QRF00001_EF064692.1           119     -32.1182     -32.2942      0.1760
  QRF00001_EF064687.1           119     -32.1182     -32.2942      0.1760
  QRF00001_EF064680.1           119     -32.1182     -32.2942      0.1760
  QRF00001_EF064678.1           119     -32.1182     -32.2942      0.1760
  QRF00001_EF064556.1           119     -32.1182     -32.2942      0.1760
  QRF00001_AJ390135.1           119     -32.1182     -32.2942      0.1760
  QRF00001_HQ270965.1           119     -32.8352     -32.8352      0.0000
  QRF00001_GQ324770.1           119     -32.8352     -32.8352      0.0000
  QRF00001_FJ882503.1           119     -32.8352     -32.8352      0.0000
  QRF00001_AF550740.1           119     -32.8352     -32.8352      0.0000
  QRF00001_HQ270648.1           119     -32.7892     -32.7892      0.0000
  QRF00001_EU924818.1           119     -32.7892     -32.7892      0.0000
  QRF00001_EU093153.1           119     -32.7892     -32.7892      0.0000
  QRF00001_EF524209.1           119     -32.7892     -32.7892      0.0000
  QRF00001_AY316209.1           119     -32.7892     -32.7892      0.0000
  QRF00001_AY034674.1           119     -32.7892     -32.7892      0.0000
  QRF00001_AJ409525.1           119     -32.7892     -32.7892      0.0000
  QRF00001_AF550715.1           119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01010155.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009775.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009775.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009775.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009135.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009119.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01009117.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005845.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005845.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005844.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005841.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005839.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005838.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005838.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005835.1       119     -32.7892     -32.7892      0.0000
  QRF00001_ABXC01005835.1       119     -32.7892     -32.7892      0.0000
  QRF00001_AAAA02039752.1       119     -29.7850     -29.7850      0.0000
  QRF00001_EU925066.1           119     -32.7892     -33.3162      0.5270
  QRF00001_EU093209.1           119     -32.7892     -33.3162      0.5270
  QRF00001_U02637.1             119     -32.7892     -33.3070      0.5178
  QRF00001_EU439291.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439286.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439284.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439282.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439280.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439279.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439278.1           119     -32.7892     -33.3070      0.5178
  QRF00001_EU439277.1           119     -32.7892     -33.3070      0.5178
  QRF01704_ACNY01000005.1        62     -41.2608     -41.2608      0.0000
  QRF01704_ADXL01000065.1        61     -44.1708     -44.1708      0.0000
  QRF01704_ADXL01000046.1        61     -43.8755     -43.8755      0.0000
  QRF01704_ADHP01001127.1        63     -40.2149     -40.2149      0.0000
  QRF01704_ADXM01000029.1        71     -41.6575     -41.6575      0.0000
  QRF01704_FJ869257.1            62     -42.8550     -42.8550      0.0000
  QRF01704_BX569692.1            62     -42.8550     -42.8550      0.0000
  QRF01704_AACY023835177.1       64     -44.3744     -44.3744      0.0000
  QRF01704_ACNY01000003.1        61     -48.9929     -48.9929      0.0000
  QRF01704_AACY020212823.1       62     -37.2442     -37.2442      0.0000
  QRF01704_GQ237222.1            58     -41.4621     -41.4621      0.0000
  QRF01704_ADHP01000860.1        64     -38.5168     -38.5168      0.0000
  QRF01704_AACY020313707.1       62     -44.3626     -44.3626      0.0000
  QRF01704_ACDW01000004.1        62     -39.0584     -39.0584      0.0000
  QRF01704_AACY022014507.1       62     -40.4416     -40.4416      0.0000
  QRF01704_ADHP01000878.1        59     -47.2255     -47.2255      0.0000
  QRF01704_AACY022415810.1       58     -48.4501     -48.4501      0.0000
  QRF01704_AACY020575673.1       58     -48.4501     -48.4501      0.0000
  QRF01704_ACNY01000005.1        59     -38.6892     -38.6892      0.0000
  QRF01704_ADHP01000854.1        63     -39.9273     -39.9273      0.0000
  QRF01704_GU936714.1            59     -44.5647     -44.5647      0.0000
  QRF01704_AACY021622950.1       62     -35.1030     -35.1030      0.0000
  QRF01704_CP000825.1            58     -49.5595     -49.5595      0.0000
  QRF01704_EU795157.1            64     -38.8311     -38.8311      0.0000
  QRF01704_ABVN01004790.1        61     -39.9955     -39.9955      0.0000
  QRF01704_ABMN01086741.1        60     -40.4326     -40.4326      0.0000
  QRF01704_DQ325539.1            60     -40.8183     -40.8183      0.0000
  QRF01704_ACNY01000005.1        62     -45.4996     -45.4996      0.0000
  QRF01704_ACNY01000004.1        60     -39.2812     -39.2812      0.0000
  QRF01704_ABVT01000061.1        57     -38.5969     -38.5969      0.0000
  QRF00023_CP001665.1           363     -15.1557     -15.1557      0.0000
  QRF00023_CP001509.3           363     -15.1557     -15.1557      0.0000
  QRF00023_CP000819.1           363     -15.1557     -15.1557      0.0000
  QRF00023_AM946981.2           363     -15.1557     -15.1557      0.0000
  QRF00023_ADTQ01000184.1       363     -15.1557     -15.1557      0.0000
  QRF00023_ADBT01000188.1       363     -15.1557     -15.1557      0.0000
  QRF00023_FN543093.2           364     -17.0716     -17.0716      0.0000
  QRF00023_AFAG01000033.1       363     -15.1557     -15.1557      0.0000
  QRF00023_AFAF01000014.1       363     -15.1557     -15.1557      0.0000
  QRF00023_ADUS01000034.1       363     -15.1557     -15.1557      0.0000
  QRF00023_U36840.1             363     -15.1557     -15.1557      0.0000
  QRF00023_FN649414.1           363     -15.1557     -15.1557      0.0000
  QRF00023_CU928162.2           363     -15.1557     -15.1557      0.0000
  QRF00023_CU928161.2           363     -15.1557     -15.1557      0.0000
  QRF00023_CU928158.2           363     -15.1557     -15.1557      0.0000
  QRF00023_CU651637.1           363     -15.1557     -15.1557      0.0000
  QRF00023_CP003034.1           363     -15.1557     -15.1557      0.0000
  QRF00023_CP002797.2           363     -15.1557     -15.1557      0.0000
  QRF00023_CP002729.1           363     -15.1557     -15.1557      0.0000
