# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00591.cm
# date:    Sun May  8 20:43:05 2016
# seed:    1462714985
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SNORD77                    search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.28       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -11.3849     -11.3849      0.0000
  trna_2                         74     -17.1418     -17.1418      0.0000
  trna_3                         73     -14.0365     -14.0365      0.0000
  trna_4                         72     -11.3339     -11.3339      0.0000
  trna_5                         72     -19.4155     -19.4155      0.0000
  trna_6                         73      -9.2120      -9.2120      0.0000
  trna_7                         73     -14.6647     -14.6647      0.0000
  trna_8                         73     -15.7312     -15.7312      0.0000
  trna_9                         73     -19.3558     -19.3558      0.0000
  trna_10                        72     -17.5387     -17.5387      0.0000
  u5_1                          114       0.3219       0.3219      0.0000
  u5_2                          116      -1.0895      -1.0895      0.0000
  u5_3                          118     -12.1421     -12.1421      0.0000
  u5_4                          117      -7.2927      -7.2927      0.0000
  u5_5                          107     -13.0770     -13.0770      0.0000
  u5_6                          116      -3.7130      -3.7130      0.0000
  u5_7                          116      -5.6222      -5.6222      0.0000
  u5_8                          126      -5.6222      -5.6222      0.0000
  u5_9                          115     -10.8139     -10.8139      0.0000
  u5_10                         115      -9.8542      -9.8542      0.0000
  rrtWT_uc011zgd.1_2370         100     -11.3143     -11.3143      0.0000
  rrtWT_uc007ino.1_879          100      -7.4435      -7.4435      0.0000
  rrtWT_uc012dtn.1_1041         100     -10.0502     -10.0502      0.0000
  rrtWT_uc007bjr.2_621          100     -11.5198     -11.5198      0.0000
  rrtWT_uc008hom.1_603          100     -14.3613     -14.3613      0.0000
  rrtWT_uc007wki.1_323          100      -7.4192      -7.4192      0.0000
  rrtWT_uc008fec.1_254          100      -3.2226      -3.2226      0.0000
  rrtWT_uc007wxx.1_716          100      -5.6037      -5.6037      0.0000
  rrtWT_uc009qex.2_2789         100     -10.3663     -10.3663      0.0000
  rrtWT_uc007xbv.1_1165         100      -8.9994      -8.9994      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.52    0.54        0  0.00000    0.00
#
# CPU time: 0.81u 0.01s 00:00:00.82 Elapsed: 00:00:01
