# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00381.cm
# date:    Sat May 14 03:51:54 2016
# seed:    1463197914
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Antizyme_FSE               search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:17.89       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -5.5675      -5.5675      0.0000
  QRF01739_AGJC01000011.1        62      -5.2490      -5.2490      0.0000
  QRF01739_AP012205.1            62      -6.5502      -6.5502      0.0000
  QRF01739_AEPQ01000180.1        85      -2.4373      -2.4373      0.0000
  QRF01739_AACY023065314.1       57     -11.0936     -11.0936      0.0000
  QRF01739_AACY020081009.1       57     -11.0936     -11.0936      0.0000
  QRF01739_ACSK01000180.1        92      -7.7553      -7.7553      0.0000
  QRF01739_BA000039.2           113      -5.1594      -5.1594      0.0000
  QRF01739_AACY023081145.1       53      -7.2951      -7.2951      0.0000
  QRF01739_AFSR01000238.1        99     -10.5492     -10.5492      0.0000
  QRF01739_AGJC01000003.1        76      -1.8731      -1.8731      0.0000
  QRF01739_AFSR01000146.1        92      -8.5175      -8.5175      0.0000
  QRF01739_CACA01000349.1        84     -10.7192     -10.7192      0.0000
  QRF01739_AACY022751187.1       52     -12.6146     -12.6146      0.0000
  QRF01739_AACY022283709.1       52     -12.6146     -12.6146      0.0000
  QRF01739_ABPS01003770.1       123      -0.1558      -0.1558      0.0000
  QRF01739_AFEJ01000345.1        83      -8.3660      -8.3660      0.0000
  QRF00005_CABR01000029.1        73     -14.8268     -14.8268      0.0000
  QRF00005_AFSR01002788.1        74     -11.8528     -11.8528      0.0000
  QRF00005_CP000927.1            72     -14.7168     -14.7168      0.0000
  QRF00005_AY741371.1            72     -13.8342     -13.8342      0.0000
  QRF00005_AEGR01000006.1        73     -16.9338     -16.9338      0.0000
  QRF00005_CP001189.1            73     -16.3679     -16.3679      0.0000
  QRF00005_CP000493.1            72     -11.7562     -11.7562      0.0000
  QRF00005_AP012159.1            73     -16.3679     -16.3679      0.0000
  QRF00005_AM889285.1            73     -16.3679     -16.3679      0.0000
  QRF00005_AGFR01000003.1        73     -11.2583     -11.2583      0.0000
  QRF00005_AFCH01000046.1        73     -16.3679     -16.3679      0.0000
  QRF00005_ADTV01000009.1        73     -16.3679     -16.3679      0.0000
  QRF00005_ABCE01000025.1        73     -14.6645     -14.6645      0.0000
  QRF00005_HM565909.1            72     -14.7454     -14.7454      0.0000
  QRF00005_CAFG01000441.1        73     -16.9338     -16.9338      0.0000
  QRF00005_AACY020656879.1       72     -14.9804     -14.9804      0.0000
