# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00886.cm
# date:    Sat May 14 00:11:50 2016
# seed:    1463184710
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  MIR807                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:29.58       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -61.5203     -61.5203      0.0000
  QRF01739_AGJC01000011.1        62     -58.6197     -58.6197      0.0000
  QRF01739_AP012205.1            62     -59.2760     -59.2760      0.0000
  QRF01739_AEPQ01000180.1        85     -42.7688     -42.7688      0.0000
  QRF01739_AACY023065314.1       57     -55.8909     -55.8909      0.0000
  QRF01739_AACY020081009.1       57     -55.8909     -55.8909      0.0000
  QRF01739_ACSK01000180.1        92     -51.3829     -52.2479      0.8651
  QRF01739_BA000039.2           113     -41.8652     -41.8652      0.0000
  QRF01739_AACY023081145.1       53     -62.4429     -62.4429      0.0000
  QRF01739_AFSR01000238.1        99     -50.1588     -50.1588      0.0000
  QRF01739_AGJC01000003.1        76     -53.8585     -53.8585      0.0000
  QRF01739_AFSR01000146.1        92     -46.3579     -46.3579      0.0000
  QRF01739_CACA01000349.1        84     -54.7056     -55.2362      0.5306
  QRF01739_AACY022751187.1       52     -60.8945     -60.8945      0.0000
  QRF01739_AACY022283709.1       52     -60.8945     -60.8945      0.0000
  QRF01739_ABPS01003770.1       123     -37.6191     -37.6191      0.0000
  QRF01739_AFEJ01000345.1        83     -50.0164     -50.0164      0.0000
  QRF00005_CABR01000029.1        73     -53.8173     -53.8173      0.0000
  QRF00005_AFSR01002788.1        74     -51.3934     -51.3934      0.0000
  QRF00005_CP000927.1            72     -49.4331     -49.4331      0.0000
  QRF00005_AY741371.1            72     -44.5617     -44.5617      0.0000
  QRF00005_AEGR01000006.1        73     -52.4077     -52.4077      0.0000
  QRF00005_CP001189.1            73     -47.8237     -47.8237      0.0000
  QRF00005_CP000493.1            72     -49.7207     -49.7207      0.0000
  QRF00005_AP012159.1            73     -47.8237     -47.8237      0.0000
  QRF00005_AM889285.1            73     -47.8237     -47.8237      0.0000
  QRF00005_AGFR01000003.1        73     -48.6562     -48.6562      0.0000
  QRF00005_AFCH01000046.1        73     -47.8237     -47.8237      0.0000
  QRF00005_ADTV01000009.1        73     -47.8237     -47.8237      0.0000
  QRF00005_ABCE01000025.1        73     -48.7548     -48.7548      0.0000
  QRF00005_HM565909.1            72     -44.3847     -44.3847      0.0000
  QRF00005_CAFG01000441.1        73     -53.6473     -53.6473      0.0000
