# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00527.cm
# date:    Sat May 14 02:19:10 2016
# seed:    1463192350
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoMe28S-G3255             search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:26.46       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -21.0233     -21.0233      0.0000
  QRF01739_AGJC01000011.1        62     -21.3681     -21.3681      0.0000
  QRF01739_AP012205.1            62     -16.8217     -16.8217      0.0000
  QRF01739_AEPQ01000180.1        85     -18.3313     -18.3313      0.0000
  QRF01739_AACY023065314.1       57     -23.6155     -23.6155      0.0000
  QRF01739_AACY020081009.1       57     -23.6155     -23.6155      0.0000
  QRF01739_ACSK01000180.1        92     -24.9190     -24.9190      0.0000
  QRF01739_BA000039.2           113     -22.7441     -22.7441      0.0000
  QRF01739_AACY023081145.1       53     -29.7772     -29.7772      0.0000
  QRF01739_AFSR01000238.1        99     -27.4002     -27.4002      0.0000
  QRF01739_AGJC01000003.1        76     -20.0956     -20.0956      0.0000
  QRF01739_AFSR01000146.1        92     -29.9658     -29.9658      0.0000
  QRF01739_CACA01000349.1        84     -28.3245     -28.3245      0.0000
  QRF01739_AACY022751187.1       52     -28.5800     -28.5800      0.0000
  QRF01739_AACY022283709.1       52     -28.5800     -28.5800      0.0000
  QRF01739_ABPS01003770.1       123     -19.1622     -19.1622      0.0000
  QRF01739_AFEJ01000345.1        83     -22.5019     -22.5019      0.0000
  QRF00005_CABR01000029.1        73     -30.0661     -30.0661      0.0000
  QRF00005_AFSR01002788.1        74     -20.9380     -20.9380      0.0000
  QRF00005_CP000927.1            72     -28.7831     -28.7831      0.0000
  QRF00005_AY741371.1            72     -29.8726     -29.8726      0.0000
  QRF00005_AEGR01000006.1        73     -24.6306     -24.6306      0.0000
  QRF00005_CP001189.1            73     -28.6719     -28.6719      0.0000
  QRF00005_CP000493.1            72     -35.4438     -35.4438      0.0000
  QRF00005_AP012159.1            73     -28.6719     -28.6719      0.0000
  QRF00005_AM889285.1            73     -28.6719     -28.6719      0.0000
  QRF00005_AGFR01000003.1        73     -23.7250     -23.7250      0.0000
  QRF00005_AFCH01000046.1        73     -28.6719     -28.6719      0.0000
  QRF00005_ADTV01000009.1        73     -28.6719     -28.6719      0.0000
  QRF00005_ABCE01000025.1        73     -27.3706     -27.3706      0.0000
  QRF00005_HM565909.1            72     -27.6186     -27.6186      0.0000
  QRF00005_CAFG01000441.1        73     -25.2731     -25.2731      0.0000
  QRF00005_AACY020656879.1       72     -29.8896     -29.8896      0.0000
  QRF00005_CP001744.1            73     -33.2211     -33.2211      0.0000
  QRF00005_CP000880.1            73     -21.4946     -21.4946      0.0000
  QRF00005_CACD01000012.1        73     -21.4946     -21.4946      0.0000
  QRF00005_CACD01000012.1        73     -21.4946     -21.4946      0.0000
  QRF00005_CACD01000012.1        73     -21.4946     -21.4946      0.0000
  QRF00005_AM849034.1            74     -16.9513     -16.9513      0.0000
  QRF00005_AM711867.1            74     -16.9513     -16.9513      0.0000
  QRF00005_AEQT01000005.1        73     -21.4946     -21.4946      0.0000
  QRF00005_AEQT01000005.1        73     -21.4946     -21.4946      0.0000
  QRF00005_ACDJ01000003.1        73     -21.4946     -21.4946      0.0000
  QRF00005_ABWL02000007.1        73     -21.4946     -21.4946      0.0000
  QRF00005_Z71579.1              73     -23.8227     -23.8227      0.0000
  QRF00005_X53782.1              73     -23.8227     -23.8227      0.0000
  QRF00005_M19391.1              73     -23.8227     -23.8227      0.0000
  QRF00005_M15314.1              73     -23.8227     -23.8227      0.0000
  QRF00005_L42023.1              73     -23.8227     -23.8227      0.0000
  QRF00005_L42023.1              73     -23.8227     -23.8227      0.0000
  QRF00005_L42023.1              73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670204.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670204.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670204.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670178.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670178.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670178.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ670178.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312006.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312006.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312006.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312002.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312002.1            73     -23.8227     -23.8227      0.0000
  QRF00005_FQ312002.1            73     -23.8227     -23.8227      0.0000
  QRF00005_EF196803.1            73     -23.8227     -23.8227      0.0000
  QRF00005_EF196803.1            73     -23.8227     -23.8227      0.0000
  QRF00005_CP003022.1            73     -23.8227     -23.8227      0.0000
  QRF00001_EU093378.1           119     -21.3197     -21.3197      0.0000
  QRF00001_AAAA02047827.1       119     -20.1847     -20.1847      0.0000
  QRF00001_AAAA02043281.1       119     -17.8257     -17.8257      0.0000
  QRF00001_EF064700.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EF064692.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EF064687.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EF064680.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EF064678.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EF064556.1           119     -17.8257     -17.8257      0.0000
  QRF00001_AJ390135.1           119     -17.8257     -17.8257      0.0000
  QRF00001_HQ270965.1           119     -20.1847     -20.1847      0.0000
  QRF00001_GQ324770.1           119     -20.1847     -20.1847      0.0000
  QRF00001_FJ882503.1           119     -20.1847     -20.1847      0.0000
  QRF00001_AF550740.1           119     -20.1847     -20.1847      0.0000
  QRF00001_HQ270648.1           119     -15.4957     -15.4957      0.0000
  QRF00001_EU924818.1           119     -15.4957     -15.4957      0.0000
  QRF00001_EU093153.1           119     -15.4957     -15.4957      0.0000
  QRF00001_EF524209.1           119     -15.4957     -15.4957      0.0000
  QRF00001_AY316209.1           119     -15.4957     -15.4957      0.0000
  QRF00001_AY034674.1           119     -15.4957     -15.4957      0.0000
  QRF00001_AJ409525.1           119     -15.4957     -15.4957      0.0000
  QRF00001_AF550715.1           119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01010155.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009775.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009775.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009775.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009135.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009119.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01009117.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005845.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005845.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005844.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005841.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005839.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005838.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005838.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005835.1       119     -15.4957     -15.4957      0.0000
  QRF00001_ABXC01005835.1       119     -15.4957     -15.4957      0.0000
  QRF00001_AAAA02039752.1       119     -17.8257     -17.8257      0.0000
  QRF00001_EU925066.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU093209.1           119     -17.8257     -17.8257      0.0000
  QRF00001_U02637.1             119     -17.8257     -17.8257      0.0000
  QRF00001_EU439291.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439286.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439284.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439282.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439280.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439279.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439278.1           119     -17.8257     -17.8257      0.0000
  QRF00001_EU439277.1           119     -17.8257     -17.8257      0.0000
  QRF01704_ACNY01000005.1        62     -34.1709     -34.1709      0.0000
  QRF01704_ADXL01000065.1        61     -33.9916     -33.9916      0.0000
  QRF01704_ADXL01000046.1        61     -36.6306     -36.6306      0.0000
  QRF01704_ADHP01001127.1        63     -33.0874     -33.0874      0.0000
  QRF01704_ADXM01000029.1        71     -30.0415     -30.0415      0.0000
  QRF01704_FJ869257.1            62     -34.1820     -34.1820      0.0000
  QRF01704_BX569692.1            62     -34.1820     -34.1820      0.0000
  QRF01704_AACY023835177.1       64     -33.4914     -33.4914      0.0000
  QRF01704_ACNY01000003.1        61     -30.9890     -30.9890      0.0000
  QRF01704_AACY020212823.1       62     -25.3425     -25.3425      0.0000
  QRF01704_GQ237222.1            58     -38.1096     -38.1096      0.0000
  QRF01704_ADHP01000860.1        64     -22.2193     -22.2193      0.0000
  QRF01704_AACY020313707.1       62     -38.7070     -38.7070      0.0000
  QRF01704_ACDW01000004.1        62     -26.5879     -26.5879      0.0000
  QRF01704_AACY022014507.1       62     -23.9305     -23.9305      0.0000
  QRF01704_ADHP01000878.1        59     -26.2166     -26.2166      0.0000
  QRF01704_AACY022415810.1       58     -26.9627     -26.9627      0.0000
  QRF01704_AACY020575673.1       58     -26.9627     -26.9627      0.0000
  QRF01704_ACNY01000005.1        59     -37.6294     -37.6294      0.0000
  QRF01704_ADHP01000854.1        63     -31.3364     -31.3364      0.0000
  QRF01704_GU936714.1            59     -39.0352     -39.0352      0.0000
  QRF01704_AACY021622950.1       62     -25.3425     -25.3425      0.0000
  QRF01704_CP000825.1            58     -30.3857     -30.3857      0.0000
  QRF01704_EU795157.1            64     -36.9579     -36.9579      0.0000
