# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01725.cm
# date:    Sat May 14 04:25:30 2016
# seed:    1463199930
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  SAM-I-IV-variant           search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:49.23       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -28.2133     -28.2133      0.0000
  QRF01739_AGJC01000011.1        62     -26.6260     -26.6260      0.0000
  QRF01739_AP012205.1            62     -27.1161     -27.1161      0.0000
  QRF01739_AEPQ01000180.1        85      -9.9303      -9.9303      0.0000
  QRF01739_AACY023065314.1       57     -29.9780     -29.9780      0.0000
  QRF01739_AACY020081009.1       57     -29.9780     -29.9780      0.0000
  QRF01739_ACSK01000180.1        92     -23.3833     -23.3833      0.0000
  QRF01739_BA000039.2           113     -21.0732     -21.0732      0.0000
  QRF01739_AACY023081145.1       53     -31.5336     -31.5336      0.0000
  QRF01739_AFSR01000238.1        99     -21.5649     -21.5649      0.0000
  QRF01739_AGJC01000003.1        76     -24.0608     -24.0608      0.0000
  QRF01739_AFSR01000146.1        92     -27.1506     -27.1506      0.0000
  QRF01739_CACA01000349.1        84     -27.7423     -27.7423      0.0000
  QRF01739_AACY022751187.1       52     -31.6559     -31.6559      0.0000
  QRF01739_AACY022283709.1       52     -31.6559     -31.6559      0.0000
  QRF01739_ABPS01003770.1       123     -19.7719     -19.7719      0.0000
  QRF01739_AFEJ01000345.1        83     -26.3493     -26.3493      0.0000
  QRF00005_CABR01000029.1        73     -28.4034     -28.4034      0.0000
  QRF00005_AFSR01002788.1        74     -34.5865     -34.5865      0.0000
  QRF00005_CP000927.1            72     -32.0448     -32.0448      0.0000
  QRF00005_AY741371.1            72     -23.7821     -23.7821      0.0000
  QRF00005_AEGR01000006.1        73     -29.6953     -29.6953      0.0000
  QRF00005_CP001189.1            73     -32.1455     -32.1455      0.0000
  QRF00005_CP000493.1            72     -23.8833     -23.8833      0.0000
  QRF00005_AP012159.1            73     -32.1455     -32.1455      0.0000
  QRF00005_AM889285.1            73     -32.1455     -32.1455      0.0000
  QRF00005_AGFR01000003.1        73     -29.9013     -29.9013      0.0000
  QRF00005_AFCH01000046.1        73     -32.1455     -32.1455      0.0000
  QRF00005_ADTV01000009.1        73     -32.1455     -32.1455      0.0000
  QRF00005_ABCE01000025.1        73     -29.9218     -29.9218      0.0000
  QRF00005_HM565909.1            72     -20.1224     -20.1224      0.0000
  QRF00005_CAFG01000441.1        73     -29.6493     -29.6493      0.0000
  QRF00005_AACY020656879.1       72     -18.5214     -18.5214      0.0000
  QRF00005_CP001744.1            73     -30.0457     -30.0457      0.0000
  QRF00005_CP000880.1            73     -31.4314     -31.4314      0.0000
  QRF00005_CACD01000012.1        73     -31.4314     -31.4314      0.0000
  QRF00005_CACD01000012.1        73     -31.4314     -31.4314      0.0000
  QRF00005_CACD01000012.1        73     -31.4314     -31.4314      0.0000
  QRF00005_AM849034.1            74     -28.6378     -28.6378      0.0000
  QRF00005_AM711867.1            74     -28.6378     -28.6378      0.0000
  QRF00005_AEQT01000005.1        73     -31.4314     -31.4314      0.0000
  QRF00005_AEQT01000005.1        73     -31.4314     -31.4314      0.0000
  QRF00005_ACDJ01000003.1        73     -31.4314     -31.4314      0.0000
  QRF00005_ABWL02000007.1        73     -31.4314     -31.4314      0.0000
  QRF00005_Z71579.1              73     -27.1873     -27.1873      0.0000
  QRF00005_X53782.1              73     -27.1873     -27.1873      0.0000
  QRF00005_M19391.1              73     -27.1873     -27.1873      0.0000
  QRF00005_M15314.1              73     -27.1873     -27.1873      0.0000
  QRF00005_L42023.1              73     -27.1873     -27.1873      0.0000
  QRF00005_L42023.1              73     -27.1873     -27.1873      0.0000
  QRF00005_L42023.1              73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670204.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670204.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670204.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670178.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670178.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670178.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ670178.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312006.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312006.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312006.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312002.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312002.1            73     -27.1873     -27.1873      0.0000
  QRF00005_FQ312002.1            73     -27.1873     -27.1873      0.0000
  QRF00005_EF196803.1            73     -27.1873     -27.1873      0.0000
  QRF00005_EF196803.1            73     -27.1873     -27.1873      0.0000
  QRF00005_CP003022.1            73     -27.1873     -27.1873      0.0000
  QRF00001_EU093378.1           119     -21.2703     -21.2703      0.0000
  QRF00001_AAAA02047827.1       119     -21.7602     -21.7602      0.0000
  QRF00001_AAAA02043281.1       119     -15.4619     -15.4619      0.0000
  QRF00001_EF064700.1           119     -21.7002     -21.7002      0.0000
  QRF00001_EF064692.1           119     -21.7002     -21.7002      0.0000
  QRF00001_EF064687.1           119     -21.7002     -21.7002      0.0000
  QRF00001_EF064680.1           119     -21.7002     -21.7002      0.0000
  QRF00001_EF064678.1           119     -21.7002     -21.7002      0.0000
  QRF00001_EF064556.1           119     -21.7002     -21.7002      0.0000
  QRF00001_AJ390135.1           119     -21.7002     -21.7002      0.0000
  QRF00001_HQ270965.1           119     -21.7602     -21.7602      0.0000
  QRF00001_GQ324770.1           119     -21.7602     -21.7602      0.0000
  QRF00001_FJ882503.1           119     -21.7602     -21.7602      0.0000
  QRF00001_AF550740.1           119     -21.7602     -21.7602      0.0000
  QRF00001_HQ270648.1           119     -21.7602     -21.7602      0.0000
  QRF00001_EU924818.1           119     -21.7602     -21.7602      0.0000
  QRF00001_EU093153.1           119     -21.7602     -21.7602      0.0000
  QRF00001_EF524209.1           119     -21.7602     -21.7602      0.0000
  QRF00001_AY316209.1           119     -21.7602     -21.7602      0.0000
  QRF00001_AY034674.1           119     -21.7602     -21.7602      0.0000
  QRF00001_AJ409525.1           119     -21.7602     -21.7602      0.0000
  QRF00001_AF550715.1           119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01010155.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009775.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009775.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009775.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009135.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009119.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01009117.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01005845.1       119     -21.7602     -21.7602      0.0000
  QRF00001_ABXC01005845.1       119     -21.7602     -21.7602      0.0000
