# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01052.cm
# date:    Sat May 14 00:39:17 2016
# seed:    1463186357
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Arthropod_7SK              search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:54.40       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -146.9463    -146.9463      0.0000
  QRF01739_AGJC01000011.1        62    -148.9393    -148.9393      0.0000
  QRF01739_AP012205.1            62    -144.6977    -144.6977      0.0000
  QRF01739_AEPQ01000180.1        85    -134.3102    -134.3102      0.0000
  QRF01739_AACY023065314.1       57    -147.5007    -147.5007      0.0000
  QRF01739_AACY020081009.1       57    -147.5007    -147.5007      0.0000
  QRF01739_ACSK01000180.1        92    -134.7289    -134.7289      0.0000
  QRF01739_BA000039.2           113    -121.1633    -121.1633      0.0000
  QRF01739_AACY023081145.1       53    -150.0182    -150.0182      0.0000
  QRF01739_AFSR01000238.1        99    -123.2802    -123.2802      0.0000
  QRF01739_AGJC01000003.1        76    -137.3902    -137.3902      0.0000
  QRF01739_AFSR01000146.1        92    -128.6714    -128.6714      0.0000
  QRF01739_CACA01000349.1        84    -134.5921    -134.5921      0.0000
  QRF01739_AACY022751187.1       52    -152.2383    -152.2383      0.0000
  QRF01739_AACY022283709.1       52    -152.2383    -152.2383      0.0000
  QRF01739_ABPS01003770.1       123    -121.3599    -121.3599      0.0000
  QRF01739_AFEJ01000345.1        83    -129.2112    -129.2112      0.0000
  QRF00005_CABR01000029.1        73    -135.1154    -135.1154      0.0000
  QRF00005_AFSR01002788.1        74    -138.5695    -138.5695      0.0000
  QRF00005_CP000927.1            72    -136.9223    -136.9223      0.0000
