# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00383.cm
# date:    Fri May 13 22:01:11 2016
# seed:    1463176871
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  IS1222_FSE                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:48.22       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -38.0648     -38.0648      0.0000
  QRF01739_AGJC01000011.1        62     -36.8804     -36.8804      0.0000
  QRF01739_AP012205.1            62     -36.5173     -36.5173      0.0000
  QRF01739_AEPQ01000180.1        85     -30.3448     -30.3448      0.0000
  QRF01739_AACY023065314.1       57     -39.1265     -39.1265      0.0000
  QRF01739_AACY020081009.1       57     -39.1265     -39.1265      0.0000
  QRF01739_ACSK01000180.1        92     -28.3894     -28.3894      0.0000
  QRF01739_BA000039.2           113     -12.1498     -12.1498      0.0000
  QRF01739_AACY023081145.1       53     -43.3698     -43.3698      0.0000
  QRF01739_AFSR01000238.1        99     -26.0747     -26.0747      0.0000
  QRF01739_AGJC01000003.1        76     -35.3617     -35.3617      0.0000
  QRF01739_AFSR01000146.1        92     -27.6457     -27.6457      0.0000
  QRF01739_CACA01000349.1        84     -30.4428     -30.4428      0.0000
  QRF01739_AACY022751187.1       52     -39.2429     -39.2429      0.0000
  QRF01739_AACY022283709.1       52     -39.2429     -39.2429      0.0000
  QRF01739_ABPS01003770.1       123     -24.8704     -24.8704      0.0000
  QRF01739_AFEJ01000345.1        83     -29.0172     -29.0172      0.0000
  QRF00005_CABR01000029.1        73     -36.8321     -36.8321      0.0000
  QRF00005_AFSR01002788.1        74     -30.9403     -30.9403      0.0000
  QRF00005_CP000927.1            72     -37.4258     -37.4258      0.0000
  QRF00005_AY741371.1            72     -35.0913     -35.0913      0.0000
  QRF00005_AEGR01000006.1        73     -33.5377     -33.5377      0.0000
  QRF00005_CP001189.1            73     -34.5236     -34.5236      0.0000
  QRF00005_CP000493.1            72     -34.3079     -34.3079      0.0000
  QRF00005_AP012159.1            73     -34.5236     -34.5236      0.0000
  QRF00005_AM889285.1            73     -34.5236     -34.5236      0.0000
  QRF00005_AGFR01000003.1        73     -27.6660     -27.6660      0.0000
  QRF00005_AFCH01000046.1        73     -34.5236     -34.5236      0.0000
  QRF00005_ADTV01000009.1        73     -34.5236     -34.5236      0.0000
  QRF00005_ABCE01000025.1        73     -35.5251     -35.5251      0.0000
  QRF00005_HM565909.1            72     -36.9043     -36.9043      0.0000
