# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01762.cm
# date:    Fri May 13 23:39:34 2016
# seed:    1463182774
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  whalefall-1                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:20.20       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61      -8.0224      -8.0224      0.0000
  QRF01739_AGJC01000011.1        62      -1.5506      -1.5506      0.0000
  QRF01739_AP012205.1            62      -5.5514      -5.5514      0.0000
  QRF01739_AEPQ01000180.1        85      -8.7973      -8.7973      0.0000
  QRF01739_AACY023065314.1       57      -4.8059      -4.8059      0.0000
  QRF01739_AACY020081009.1       57      -4.8059      -4.8059      0.0000
  QRF01739_ACSK01000180.1        92     -13.9142     -13.9142      0.0000
  QRF01739_BA000039.2           113     -11.2369     -11.2369      0.0000
  QRF01739_AACY023081145.1       53      -6.2863      -6.2863      0.0000
  QRF01739_AFSR01000238.1        99     -10.7995     -10.7995      0.0000
  QRF01739_AGJC01000003.1        76     -12.3239     -12.3239      0.0000
  QRF01739_AFSR01000146.1        92      -3.8200      -3.8200      0.0000
  QRF01739_CACA01000349.1        84     -10.2576     -10.2576      0.0000
  QRF01739_AACY022751187.1       52     -10.8879     -10.8879      0.0000
  QRF01739_AACY022283709.1       52     -10.8879     -10.8879      0.0000
  QRF01739_ABPS01003770.1       123      -5.6268      -5.6268      0.0000
  QRF01739_AFEJ01000345.1        83      -8.8324      -8.8324      0.0000
  QRF00005_CABR01000029.1        73     -12.4619     -12.4619      0.0000
  QRF00005_AFSR01002788.1        74      -5.1266      -5.1266      0.0000
  QRF00005_CP000927.1            72      -8.7901      -8.7901      0.0000
  QRF00005_AY741371.1            72     -12.9678     -12.9678      0.0000
  QRF00005_AEGR01000006.1        73     -13.0572     -13.0572      0.0000
  QRF00005_CP001189.1            73      -4.9108      -4.9108      0.0000
  QRF00005_CP000493.1            72     -10.0909     -10.0909      0.0000
  QRF00005_AP012159.1            73      -4.9108      -4.9108      0.0000
  QRF00005_AM889285.1            73      -4.9108      -4.9108      0.0000
  QRF00005_AGFR01000003.1        73       1.1999       1.1999      0.0000
  QRF00005_AFCH01000046.1        73      -4.9108      -4.9108      0.0000
  QRF00005_ADTV01000009.1        73      -4.9108      -4.9108      0.0000
  QRF00005_ABCE01000025.1        73      -0.1680      -0.1680      0.0000
  QRF00005_HM565909.1            72     -12.9678     -12.9678      0.0000
  QRF00005_CAFG01000441.1        73     -13.0572     -13.0572      0.0000
  QRF00005_AACY020656879.1       72     -13.5098     -13.5098      0.0000
  QRF00005_CP001744.1            73      -4.9379      -4.9379      0.0000
  QRF00005_CP000880.1            73      -8.7967      -8.7967      0.0000
  QRF00005_CACD01000012.1        73      -8.7967      -8.7967      0.0000
  QRF00005_CACD01000012.1        73      -8.7967      -8.7967      0.0000
  QRF00005_CACD01000012.1        73      -8.7967      -8.7967      0.0000
  QRF00005_AM849034.1            74      -8.7996      -8.7996      0.0000
  QRF00005_AM711867.1            74      -8.7996      -8.7996      0.0000
  QRF00005_AEQT01000005.1        73      -8.7967      -8.7967      0.0000
  QRF00005_AEQT01000005.1        73      -8.7967      -8.7967      0.0000
  QRF00005_ACDJ01000003.1        73      -8.7967      -8.7967      0.0000
  QRF00005_ABWL02000007.1        73      -8.7967      -8.7967      0.0000
  QRF00005_Z71579.1              73     -11.5922     -11.5922      0.0000
  QRF00005_X53782.1              73     -11.5922     -11.5922      0.0000
  QRF00005_M19391.1              73     -11.5922     -11.5922      0.0000
  QRF00005_M15314.1              73     -11.5922     -11.5922      0.0000
  QRF00005_L42023.1              73     -11.5922     -11.5922      0.0000
  QRF00005_L42023.1              73     -11.5922     -11.5922      0.0000
  QRF00005_L42023.1              73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670204.1            73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670204.1            73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670204.1            73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670178.1            73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670178.1            73     -11.5922     -11.5922      0.0000
  QRF00005_FQ670178.1            73     -11.5922     -11.5922      0.0000
