# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01050.cm
# date:    Sat May 14 02:38:28 2016
# seed:    1463193508
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Sacc_telomerase            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:13:20.24       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -673.5505    -673.5505      0.0000
  QRF01739_AGJC01000011.1        62    -673.7538    -673.7538      0.0000
  QRF01739_AP012205.1            62    -673.9883    -673.9883      0.0000
  QRF01739_AEPQ01000180.1        85    -648.0378    -648.0378      0.0000
  QRF01739_AACY023065314.1       57    -675.1412    -675.1412      0.0000
  QRF01739_AACY020081009.1       57    -675.1412    -675.1412      0.0000
  QRF01739_ACSK01000180.1        92    -650.6267    -650.6267      0.0000
  QRF01739_BA000039.2           113    -632.4357    -632.4357      0.0000
  QRF01739_AACY023081145.1       53    -681.3958    -681.3958      0.0000
  QRF01739_AFSR01000238.1        99    -651.0889    -651.0889      0.0000
  QRF01739_AGJC01000003.1        76    -662.4653    -662.4653      0.0000
  QRF01739_AFSR01000146.1        92    -658.4236    -658.4236      0.0000
  QRF01739_CACA01000349.1        84    -661.9474    -661.9474      0.0000
  QRF01739_AACY022751187.1       52    -683.3768    -683.3768      0.0000
  QRF01739_AACY022283709.1       52    -683.3768    -683.3768      0.0000
  QRF01739_ABPS01003770.1       123    -629.3828    -629.3828      0.0000
  QRF01739_AFEJ01000345.1        83    -656.3807    -656.3807      0.0000
  QRF00005_CABR01000029.1        73    -669.8163    -669.8163      0.0000
  QRF00005_AFSR01002788.1        74    -666.0130    -666.0130      0.0000
  QRF00005_CP000927.1            72    -669.0757    -669.0757      0.0000
  QRF00005_AY741371.1            72    -670.7371    -670.7371      0.0000
  QRF00005_AEGR01000006.1        73    -666.0181    -666.0181      0.0000
  QRF00005_CP001189.1            73    -666.1577    -666.1577      0.0000
  QRF00005_CP000493.1            72    -678.1418    -678.1418      0.0000
  QRF00005_AP012159.1            73    -666.1577    -666.1577      0.0000
  QRF00005_AM889285.1            73    -666.1577    -666.1577      0.0000
  QRF00005_AGFR01000003.1        73    -666.2974    -666.2974      0.0000
  QRF00005_AFCH01000046.1        73    -666.1577    -666.1577      0.0000
  QRF00005_ADTV01000009.1        73    -666.1577    -666.1577      0.0000
  QRF00005_ABCE01000025.1        73    -661.7194    -661.7194      0.0000
  QRF00005_HM565909.1            72    -667.3007    -667.3007      0.0000
  QRF00005_CAFG01000441.1        73    -666.7660    -666.7660      0.0000
  QRF00005_AACY020656879.1       72    -666.4952    -666.4952      0.0000
  QRF00005_CP001744.1            73    -661.0203    -661.0203      0.0000
