# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01851.cm
# date:    Sat May 14 00:31:50 2016
# seed:    1463185910
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  cyano_tmRNA                search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:03:27.69       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -128.3465    -128.3465      0.0000
  QRF01739_AGJC01000011.1        62    -132.1800    -132.1800      0.0000
  QRF01739_AP012205.1            62    -126.0987    -126.0987      0.0000
  QRF01739_AEPQ01000180.1        85    -111.9490    -111.9490      0.0000
  QRF01739_AACY023065314.1       57    -127.9485    -127.9485      0.0000
  QRF01739_AACY020081009.1       57    -127.9485    -127.9485      0.0000
  QRF01739_ACSK01000180.1        92    -114.3557    -114.3557      0.0000
  QRF01739_BA000039.2           113    -106.7243    -106.7243      0.0000
  QRF01739_AACY023081145.1       53    -135.1208    -135.1208      0.0000
  QRF01739_AFSR01000238.1        99    -104.2487    -104.2487      0.0000
  QRF01739_AGJC01000003.1        76    -121.3205    -121.3205      0.0000
  QRF01739_AFSR01000146.1        92    -117.7696    -117.7696      0.0000
  QRF01739_CACA01000349.1        84    -119.5061    -119.5061      0.0000
  QRF01739_AACY022751187.1       52    -132.6431    -132.6431      0.0000
  QRF01739_AACY022283709.1       52    -132.6431    -132.6431      0.0000
  QRF01739_ABPS01003770.1       123     -94.8361     -94.8361      0.0000
  QRF01739_AFEJ01000345.1        83    -123.7337    -123.7337      0.0000
  QRF00005_CABR01000029.1        73    -125.9687    -126.5283      0.5596
  QRF00005_AFSR01002788.1        74    -124.2578    -125.1889      0.9311
  QRF00005_CP000927.1            72    -123.2883    -123.2883      0.0000
  QRF00005_AY741371.1            72    -122.8330    -128.4991      5.6662
  QRF00005_AEGR01000006.1        73    -124.3522    -124.3522      0.0000
  QRF00005_CP001189.1            73    -121.4388    -121.4388      0.0000
  QRF00005_CP000493.1            72    -128.6929    -128.6929      0.0000
  QRF00005_AP012159.1            73    -121.4388    -121.4388      0.0000
  QRF00005_AM889285.1            73    -121.4388    -121.4388      0.0000
  QRF00005_AGFR01000003.1        73    -118.3096    -118.3096      0.0000
  QRF00005_AFCH01000046.1        73    -121.4388    -121.4388      0.0000
  QRF00005_ADTV01000009.1        73    -121.4388    -121.4388      0.0000
  QRF00005_ABCE01000025.1        73    -125.5809    -125.5809      0.0000
  QRF00005_HM565909.1            72    -122.9506    -122.9506      0.0000
  QRF00005_CAFG01000441.1        73    -125.9036    -125.9036      0.0000
  QRF00005_AACY020656879.1       72    -126.3416    -126.3416      0.0000
  QRF00005_CP001744.1            73    -123.7099    -123.7099      0.0000
  QRF00005_CP000880.1            73    -125.6328    -125.6328      0.0000
  QRF00005_CACD01000012.1        73    -125.6328    -125.6328      0.0000
  QRF00005_CACD01000012.1        73    -125.6328    -125.6328      0.0000
  QRF00005_CACD01000012.1        73    -125.6328    -125.6328      0.0000
  QRF00005_AM849034.1            74    -120.0474    -120.0474      0.0000
  QRF00005_AM711867.1            74    -120.0474    -120.0474      0.0000
  QRF00005_AEQT01000005.1        73    -125.6328    -125.6328      0.0000
  QRF00005_AEQT01000005.1        73    -125.6328    -125.6328      0.0000
  QRF00005_ACDJ01000003.1        73    -125.6328    -125.6328      0.0000
  QRF00005_ABWL02000007.1        73    -125.6328    -125.6328      0.0000
  QRF00005_Z71579.1              73    -123.7765    -123.7765      0.0000
  QRF00005_X53782.1              73    -123.7765    -123.7765      0.0000
  QRF00005_M19391.1              73    -123.7765    -123.7765      0.0000
  QRF00005_M15314.1              73    -123.7765    -123.7765      0.0000
  QRF00005_L42023.1              73    -123.7765    -123.7765      0.0000
  QRF00005_L42023.1              73    -123.7765    -123.7765      0.0000
  QRF00005_L42023.1              73    -123.7765    -123.7765      0.0000
  QRF00005_FQ670204.1            73    -123.7765    -123.7765      0.0000
  QRF00005_FQ670204.1            73    -123.7765    -123.7765      0.0000
