# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01815.cm
# date:    Fri May 13 20:58:37 2016
# seed:    1463173117
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  rpsB                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:01:14.54       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -35.2459     -35.2459      0.0000
  QRF01739_AGJC01000011.1        62     -44.9196     -44.9196      0.0000
  QRF01739_AP012205.1            62     -43.3467     -43.3467      0.0000
  QRF01739_AEPQ01000180.1        85     -40.7684     -40.7684      0.0000
  QRF01739_AACY023065314.1       57     -47.5977     -47.5977      0.0000
  QRF01739_AACY020081009.1       57     -47.5977     -47.5977      0.0000
  QRF01739_ACSK01000180.1        92     -40.7685     -40.7685      0.0000
  QRF01739_BA000039.2           113     -30.2864     -30.2864      0.0000
  QRF01739_AACY023081145.1       53     -44.9869     -44.9869      0.0000
  QRF01739_AFSR01000238.1        99     -35.2348     -35.2348      0.0000
  QRF01739_AGJC01000003.1        76     -43.1861     -43.1861      0.0000
  QRF01739_AFSR01000146.1        92     -32.3294     -32.3294      0.0000
  QRF01739_CACA01000349.1        84     -37.6883     -37.6883      0.0000
  QRF01739_AACY022751187.1       52     -47.4767     -47.4767      0.0000
  QRF01739_AACY022283709.1       52     -47.4767     -47.4767      0.0000
  QRF01739_ABPS01003770.1       123     -24.3898     -24.3898      0.0000
  QRF01739_AFEJ01000345.1        83     -37.1687     -37.1687      0.0000
  QRF00005_CABR01000029.1        73     -39.4415     -39.4415      0.0000
  QRF00005_AFSR01002788.1        74     -36.4163     -36.4163      0.0000
  QRF00005_CP000927.1            72     -38.4265     -38.4265      0.0000
  QRF00005_AY741371.1            72     -32.4221     -32.4221      0.0000
  QRF00005_AEGR01000006.1        73     -38.7905     -38.7905      0.0000
  QRF00005_CP001189.1            73     -36.2024     -36.2024      0.0000
  QRF00005_CP000493.1            72     -39.6385     -39.6385      0.0000
  QRF00005_AP012159.1            73     -36.2024     -36.2024      0.0000
  QRF00005_AM889285.1            73     -36.2024     -36.2024      0.0000
  QRF00005_AGFR01000003.1        73     -38.6916     -38.6916      0.0000
  QRF00005_AFCH01000046.1        73     -36.2024     -36.2024      0.0000
  QRF00005_ADTV01000009.1        73     -36.2024     -36.2024      0.0000
  QRF00005_ABCE01000025.1        73     -39.8582     -39.8582      0.0000
  QRF00005_HM565909.1            72     -33.3557     -33.3557      0.0000
  QRF00005_CAFG01000441.1        73     -37.9625     -37.9625      0.0000
  QRF00005_AACY020656879.1       72     -34.4769     -34.4769      0.0000
  QRF00005_CP001744.1            73     -38.6203     -38.6203      0.0000
  QRF00005_CP000880.1            73     -39.6114     -39.6114      0.0000
  QRF00005_CACD01000012.1        73     -39.6114     -39.6114      0.0000
  QRF00005_CACD01000012.1        73     -39.6114     -39.6114      0.0000
  QRF00005_CACD01000012.1        73     -39.6114     -39.6114      0.0000
  QRF00005_AM849034.1            74     -37.5253     -37.5253      0.0000
  QRF00005_AM711867.1            74     -37.5253     -37.5253      0.0000
  QRF00005_AEQT01000005.1        73     -39.6114     -39.6114      0.0000
  QRF00005_AEQT01000005.1        73     -39.6114     -39.6114      0.0000
  QRF00005_ACDJ01000003.1        73     -39.6114     -39.6114      0.0000
