# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01226.cm
# date:    Fri May 13 19:45:06 2016
# seed:    1463168706
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoZ5                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:36.74       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -35.7904     -35.7904      0.0000
  QRF01739_AGJC01000011.1        62     -40.1140     -40.1140      0.0000
  QRF01739_AP012205.1            62     -36.7643     -36.7643      0.0000
  QRF01739_AEPQ01000180.1        85     -31.6505     -31.6505      0.0000
  QRF01739_AACY023065314.1       57     -36.5242     -36.5242      0.0000
  QRF01739_AACY020081009.1       57     -36.5242     -36.5242      0.0000
  QRF01739_ACSK01000180.1        92     -33.0175     -33.0175      0.0000
  QRF01739_BA000039.2           113     -31.4604     -31.4604      0.0000
  QRF01739_AACY023081145.1       53     -44.5818     -44.5818      0.0000
  QRF01739_AFSR01000238.1        99     -37.4230     -37.4230      0.0000
  QRF01739_AGJC01000003.1        76     -33.7226     -33.7226      0.0000
  QRF01739_AFSR01000146.1        92     -38.7649     -38.7649      0.0000
  QRF01739_CACA01000349.1        84     -42.0531     -42.0531      0.0000
  QRF01739_AACY022751187.1       52     -41.9600     -41.9600      0.0000
  QRF01739_AACY022283709.1       52     -41.9600     -41.9600      0.0000
  QRF01739_ABPS01003770.1       123     -31.6623     -31.6623      0.0000
  QRF01739_AFEJ01000345.1        83     -40.1016     -40.1016      0.0000
  QRF00005_CABR01000029.1        73     -43.0174     -43.0174      0.0000
  QRF00005_AFSR01002788.1        74     -40.8584     -40.8584      0.0000
  QRF00005_CP000927.1            72     -39.4411     -39.4411      0.0000
  QRF00005_AY741371.1            72     -49.5497     -49.5497      0.0000
  QRF00005_AEGR01000006.1        73     -38.2453     -38.2453      0.0000
  QRF00005_CP001189.1            73     -39.7237     -39.7237      0.0000
  QRF00005_CP000493.1            72     -52.8506     -52.8506      0.0000
  QRF00005_AP012159.1            73     -39.7237     -39.7237      0.0000
  QRF00005_AM889285.1            73     -39.7237     -39.7237      0.0000
  QRF00005_AGFR01000003.1        73     -40.2526     -40.2526      0.0000
  QRF00005_AFCH01000046.1        73     -39.7237     -39.7237      0.0000
  QRF00005_ADTV01000009.1        73     -39.7237     -39.7237      0.0000
  QRF00005_ABCE01000025.1        73     -45.3816     -45.3816      0.0000
  QRF00005_HM565909.1            72     -47.3455     -47.3455      0.0000
  QRF00005_CAFG01000441.1        73     -38.9523     -38.9523      0.0000
  QRF00005_AACY020656879.1       72     -47.5635     -47.5635      0.0000
  QRF00005_CP001744.1            73     -46.6070     -46.6070      0.0000
  QRF00005_CP000880.1            73     -36.8559     -36.8559      0.0000
  QRF00005_CACD01000012.1        73     -36.8559     -36.8559      0.0000
  QRF00005_CACD01000012.1        73     -36.8559     -36.8559      0.0000
  QRF00005_CACD01000012.1        73     -36.8559     -36.8559      0.0000
  QRF00005_AM849034.1            74     -40.4127     -40.4127      0.0000
  QRF00005_AM711867.1            74     -40.4127     -40.4127      0.0000
  QRF00005_AEQT01000005.1        73     -36.8559     -36.8559      0.0000
  QRF00005_AEQT01000005.1        73     -36.8559     -36.8559      0.0000
  QRF00005_ACDJ01000003.1        73     -36.8559     -36.8559      0.0000
  QRF00005_ABWL02000007.1        73     -36.8559     -36.8559      0.0000
  QRF00005_Z71579.1              73     -38.9413     -38.9413      0.0000
  QRF00005_X53782.1              73     -38.9413     -38.9413      0.0000
  QRF00005_M19391.1              73     -38.9413     -38.9413      0.0000
  QRF00005_M15314.1              73     -38.9413     -38.9413      0.0000
  QRF00005_L42023.1              73     -38.9413     -38.9413      0.0000
  QRF00005_L42023.1              73     -38.9413     -38.9413      0.0000
  QRF00005_L42023.1              73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670204.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670204.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670204.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670178.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670178.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670178.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ670178.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312006.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312006.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312006.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312002.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312002.1            73     -38.9413     -38.9413      0.0000
  QRF00005_FQ312002.1            73     -38.9413     -38.9413      0.0000
  QRF00005_EF196803.1            73     -38.9413     -38.9413      0.0000
  QRF00005_EF196803.1            73     -38.9413     -38.9413      0.0000
  QRF00005_CP003022.1            73     -38.9413     -38.9413      0.0000
  QRF00001_EU093378.1           119     -27.5625     -27.5625      0.0000
  QRF00001_AAAA02047827.1       119     -31.6635     -31.6635      0.0000
  QRF00001_AAAA02043281.1       119     -32.6293     -32.6293      0.0000
  QRF00001_EF064700.1           119     -27.7055     -27.7055      0.0000
  QRF00001_EF064692.1           119     -27.7055     -27.7055      0.0000
  QRF00001_EF064687.1           119     -27.7055     -27.7055      0.0000
  QRF00001_EF064680.1           119     -27.7055     -27.7055      0.0000
  QRF00001_EF064678.1           119     -27.7055     -27.7055      0.0000
