# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00727.cm
# date:    Sat May 14 02:26:01 2016
# seed:    1463192761
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  bantam                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:36.78       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -20.9615     -20.9615      0.0000
  QRF01739_AGJC01000011.1        62     -17.8869     -17.8869      0.0000
  QRF01739_AP012205.1            62     -19.4228     -19.4228      0.0000
  QRF01739_AEPQ01000180.1        85     -11.7945     -11.7945      0.0000
  QRF01739_AACY023065314.1       57     -17.7947     -17.7947      0.0000
  QRF01739_AACY020081009.1       57     -17.7947     -17.7947      0.0000
  QRF01739_ACSK01000180.1        92     -17.4674     -17.4674      0.0000
  QRF01739_BA000039.2           113     -17.0745     -17.0745      0.0000
  QRF01739_AACY023081145.1       53     -22.4885     -22.4885      0.0000
  QRF01739_AFSR01000238.1        99     -19.4602     -19.4602      0.0000
  QRF01739_AGJC01000003.1        76     -19.7132     -19.7132      0.0000
  QRF01739_AFSR01000146.1        92      -9.7276      -9.7276      0.0000
  QRF01739_CACA01000349.1        84     -22.3056     -22.3056      0.0000
  QRF01739_AACY022751187.1       52     -22.2271     -22.2271      0.0000
  QRF01739_AACY022283709.1       52     -22.2271     -22.2271      0.0000
  QRF01739_ABPS01003770.1       123     -13.7790     -13.7790      0.0000
  QRF01739_AFEJ01000345.1        83     -16.6687     -16.6687      0.0000
  QRF00005_CABR01000029.1        73     -20.6676     -20.6676      0.0000
  QRF00005_AFSR01002788.1        74     -18.6580     -18.6580      0.0000
  QRF00005_CP000927.1            72     -18.8422     -18.8422      0.0000
  QRF00005_AY741371.1            72     -18.5990     -18.5990      0.0000
  QRF00005_AEGR01000006.1        73     -20.3176     -20.3176      0.0000
  QRF00005_CP001189.1            73     -16.8464     -16.8464      0.0000
  QRF00005_CP000493.1            72     -24.7413     -24.7413      0.0000
  QRF00005_AP012159.1            73     -16.8464     -16.8464      0.0000
  QRF00005_AM889285.1            73     -16.8464     -16.8464      0.0000
  QRF00005_AGFR01000003.1        73     -15.7752     -15.7752      0.0000
  QRF00005_AFCH01000046.1        73     -16.8464     -16.8464      0.0000
  QRF00005_ADTV01000009.1        73     -16.8464     -16.8464      0.0000
  QRF00005_ABCE01000025.1        73     -16.4350     -16.4350      0.0000
  QRF00005_HM565909.1            72     -16.4500     -16.4500      0.0000
  QRF00005_CAFG01000441.1        73     -20.3176     -20.3176      0.0000
  QRF00005_AACY020656879.1       72     -14.5610     -14.5610      0.0000
  QRF00005_CP001744.1            73     -19.4544     -19.4544      0.0000
  QRF00005_CP000880.1            73     -17.4270     -17.4270      0.0000
  QRF00005_CACD01000012.1        73     -17.4270     -17.4270      0.0000
  QRF00005_CACD01000012.1        73     -17.4270     -17.4270      0.0000
