# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01676.cm
# date:    Tue May 10 02:38:37 2016
# seed:    1462847917
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  P31                        search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.30       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -12.7856     -12.7856      0.0000
  RF00418_AAIY01556911.1        141      -6.9514      -6.9514      0.0000
  RF00418_AAYZ01244227.1        137     -14.2170     -14.2170      0.0000
  RF00418_AF357386.1            126     -11.2182     -11.2182      0.0000
  RF00418_AABR04001620.1        135     -13.8661     -13.8661      0.0000
  RF00418_AAQQ01789110.1        137     -16.9315     -16.9315      0.0000
  RF00418_AJ609450.1            137     -17.2467     -17.2467      0.0000
  RF00418_AL590431.11           136     -14.8511     -14.8511      0.0000
  RF00418_AL049745.9            136     -12.3263     -12.3263      0.0000
  RF00418_ABDC01240840.1        136     -11.7446     -11.7446      0.0000
  RF00418_AAQR01162064.1        136     -11.9969     -11.9969      0.0000
  RF00418_AAEX02026315.1        137      -9.9104      -9.9104      0.0000
  RF00418_AANG01021210.1        136     -14.6732     -14.6732      0.0000
  RF00418_AAFC03027776.1        135     -13.9286     -13.9286      0.0000
  RF00418_AAPE01281662.1        136     -16.4715     -16.4715      0.0000
  RF00418_AALT01368588.1        136     -13.6876     -13.6876      0.0000
  RF00418_AAWR02038694.1        136     -16.4571     -16.4571      0.0000
  RF00418_AAGV020286123.1       137     -13.1341     -13.1341      0.0000
  RF00418_AAFR03052180.1        134     -12.2051     -12.2051      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.52    0.58        0  0.00000    0.00
#
# CPU time: 0.82u 0.00s 00:00:00.82 Elapsed: 00:00:01
