# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00024.cm
# date:    Fri May 13 21:58:33 2016
# seed:    1463176713
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Telomerase-vert            search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:04:17.92       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -183.2829    -183.2829      0.0000
  QRF01739_AGJC01000011.1        62    -184.8937    -184.8937      0.0000
  QRF01739_AP012205.1            62    -177.0534    -177.0534      0.0000
  QRF01739_AEPQ01000180.1        85    -167.0291    -167.0291      0.0000
  QRF01739_AACY023065314.1       57    -184.7037    -184.7037      0.0000
  QRF01739_AACY020081009.1       57    -184.7037    -184.7037      0.0000
  QRF01739_ACSK01000180.1        92    -164.4329    -164.4329      0.0000
  QRF01739_BA000039.2           113    -155.8973    -157.0035      1.1062
  QRF01739_AACY023081145.1       53    -187.2184    -187.2184      0.0000
  QRF01739_AFSR01000238.1        99    -165.7859    -165.7859      0.0000
  QRF01739_AGJC01000003.1        76    -167.6566    -167.6566      0.0000
  QRF01739_AFSR01000146.1        92    -159.0765    -159.0765      0.0000
  QRF01739_CACA01000349.1        84    -177.2124    -177.2124      0.0000
  QRF01739_AACY022751187.1       52    -181.1288    -181.1288      0.0000
  QRF01739_AACY022283709.1       52    -181.1288    -181.1288      0.0000
  QRF01739_ABPS01003770.1       123    -155.4803    -155.4803      0.0000
  QRF01739_AFEJ01000345.1        83    -166.7634    -166.7634      0.0000
  QRF00005_CABR01000029.1        73    -178.3688    -178.3688      0.0000
  QRF00005_AFSR01002788.1        74    -181.1577    -181.1577      0.0000
  QRF00005_CP000927.1            72    -179.0421    -179.0421      0.0000
  QRF00005_AY741371.1            72    -181.5409    -181.5409      0.0000
  QRF00005_AEGR01000006.1        73    -173.1429    -173.1429      0.0000
  QRF00005_CP001189.1            73    -176.9001    -176.9001      0.0000
  QRF00005_CP000493.1            72    -170.1975    -170.1975      0.0000
  QRF00005_AP012159.1            73    -176.9001    -176.9001      0.0000
  QRF00005_AM889285.1            73    -176.9001    -176.9001      0.0000
  QRF00005_AGFR01000003.1        73    -177.2480    -177.2480      0.0000
  QRF00005_AFCH01000046.1        73    -176.9001    -176.9001      0.0000
  QRF00005_ADTV01000009.1        73    -176.9001    -176.9001      0.0000
  QRF00005_ABCE01000025.1        73    -181.2415    -181.2415      0.0000
  QRF00005_HM565909.1            72    -182.0340    -182.0340      0.0000
  QRF00005_CAFG01000441.1        73    -173.9649    -173.9649      0.0000
  QRF00005_AACY020656879.1       72    -182.8189    -182.8189      0.0000
  QRF00005_CP001744.1            73    -173.5524    -173.5524      0.0000
  QRF00005_CP000880.1            73    -175.9100    -175.9100      0.0000
  QRF00005_CACD01000012.1        73    -175.9100    -175.9100      0.0000
  QRF00005_CACD01000012.1        73    -175.9100    -175.9100      0.0000
  QRF00005_CACD01000012.1        73    -175.9100    -175.9100      0.0000
  QRF00005_AM849034.1            74    -182.3677    -182.3677      0.0000
  QRF00005_AM711867.1            74    -182.3677    -182.3677      0.0000
  QRF00005_AEQT01000005.1        73    -175.9100    -175.9100      0.0000
  QRF00005_AEQT01000005.1        73    -175.9100    -175.9100      0.0000
  QRF00005_ACDJ01000003.1        73    -175.9100    -175.9100      0.0000
  QRF00005_ABWL02000007.1        73    -175.9100    -175.9100      0.0000
  QRF00005_Z71579.1              73    -175.1579    -175.1579      0.0000
  QRF00005_X53782.1              73    -175.1579    -175.1579      0.0000
  QRF00005_M19391.1              73    -175.1579    -175.1579      0.0000
  QRF00005_M15314.1              73    -175.1579    -175.1579      0.0000
  QRF00005_L42023.1              73    -175.1579    -175.1579      0.0000
  QRF00005_L42023.1              73    -175.1579    -175.1579      0.0000
  QRF00005_L42023.1              73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670204.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670204.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670204.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670178.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670178.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670178.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ670178.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312006.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312006.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312006.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312002.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312002.1            73    -175.1579    -175.1579      0.0000
  QRF00005_FQ312002.1            73    -175.1579    -175.1579      0.0000
  QRF00005_EF196803.1            73    -175.1579    -175.1579      0.0000
  QRF00005_EF196803.1            73    -175.1579    -175.1579      0.0000
  QRF00005_CP003022.1            73    -175.1579    -175.1579      0.0000
  QRF00001_EU093378.1           119    -150.3343    -150.3343      0.0000
  QRF00001_AAAA02047827.1       119    -149.0068    -149.0068      0.0000
  QRF00001_AAAA02043281.1       119    -152.0206    -152.0206      0.0000
