# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01321.cm
# date:    Sat May 14 04:49:09 2016
# seed:    1463201349
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CRISPR-DR8                 search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:08.53       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -16.5824     -16.5824      0.0000
  QRF01739_AGJC01000011.1        62     -13.1962     -13.1962      0.0000
  QRF01739_AP012205.1            62     -14.6974     -14.6974      0.0000
  QRF01739_AEPQ01000180.1        85     -10.7754     -10.7754      0.0000
  QRF01739_AACY023065314.1       57     -13.3149     -13.3149      0.0000
  QRF01739_AACY020081009.1       57     -13.3149     -13.3149      0.0000
  QRF01739_ACSK01000180.1        92     -10.3236     -10.3236      0.0000
  QRF01739_BA000039.2           113      -7.4977      -7.4977      0.0000
  QRF01739_AACY023081145.1       53      -6.0585      -6.0585      0.0000
  QRF01739_AFSR01000238.1        99      -7.3063      -7.3063      0.0000
  QRF01739_AGJC01000003.1        76      -4.7833      -4.7833      0.0000
  QRF01739_AFSR01000146.1        92     -16.6696     -16.6696      0.0000
  QRF01739_CACA01000349.1        84     -10.8024     -10.8024      0.0000
  QRF01739_AACY022751187.1       52     -12.5438     -12.5438      0.0000
  QRF01739_AACY022283709.1       52     -12.5438     -12.5438      0.0000
  QRF01739_ABPS01003770.1       123      -7.1437      -7.1437      0.0000
  QRF01739_AFEJ01000345.1        83      -7.1525      -7.1525      0.0000
  QRF00005_CABR01000029.1        73      -7.1015      -7.1015      0.0000
  QRF00005_AFSR01002788.1        74      -8.0781      -8.0781      0.0000
  QRF00005_CP000927.1            72     -10.7200     -10.7200      0.0000
