# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01982.cm
# date:    Sat May 14 04:23:40 2016
# seed:    1463199820
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PYLIS_1                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:33.00       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -19.9007     -19.9007      0.0000
  QRF01739_AGJC01000011.1        62     -27.0173     -27.0173      0.0000
  QRF01739_AP012205.1            62     -20.3642     -20.3642      0.0000
  QRF01739_AEPQ01000180.1        85     -17.4520     -17.4520      0.0000
  QRF01739_AACY023065314.1       57     -24.8870     -24.8870      0.0000
  QRF01739_AACY020081009.1       57     -24.8870     -24.8870      0.0000
  QRF01739_ACSK01000180.1        92     -15.3035     -15.3035      0.0000
  QRF01739_BA000039.2           113     -13.9607     -13.9607      0.0000
  QRF01739_AACY023081145.1       53     -23.8430     -23.8430      0.0000
  QRF01739_AFSR01000238.1        99     -13.7522     -13.7522      0.0000
  QRF01739_AGJC01000003.1        76     -16.7406     -16.7406      0.0000
  QRF01739_AFSR01000146.1        92     -14.8127     -14.8127      0.0000
  QRF01739_CACA01000349.1        84     -17.0361     -17.0361      0.0000
  QRF01739_AACY022751187.1       52     -27.6072     -27.6072      0.0000
  QRF01739_AACY022283709.1       52     -27.6072     -27.6072      0.0000
  QRF01739_ABPS01003770.1       123      -6.9153      -6.9153      0.0000
  QRF01739_AFEJ01000345.1        83     -12.7684     -12.7684      0.0000
  QRF00005_CABR01000029.1        73     -17.0763     -17.0763      0.0000
  QRF00005_AFSR01002788.1        74     -18.0931     -18.0931      0.0000
  QRF00005_CP000927.1            72     -15.5610     -15.5610      0.0000
  QRF00005_AY741371.1            72     -14.5872     -14.5872      0.0000
  QRF00005_AEGR01000006.1        73     -21.5523     -21.5523      0.0000
  QRF00005_CP001189.1            73     -19.4729     -19.4729      0.0000
  QRF00005_CP000493.1            72     -10.3395     -10.3395      0.0000
  QRF00005_AP012159.1            73     -19.4729     -19.4729      0.0000
  QRF00005_AM889285.1            73     -19.4729     -19.4729      0.0000
  QRF00005_AGFR01000003.1        73     -17.0817     -17.0817      0.0000
  QRF00005_AFCH01000046.1        73     -19.4729     -19.4729      0.0000
  QRF00005_ADTV01000009.1        73     -19.4729     -19.4729      0.0000
  QRF00005_ABCE01000025.1        73     -17.1442     -17.1442      0.0000
  QRF00005_HM565909.1            72     -10.9180     -10.9180      0.0000
  QRF00005_CAFG01000441.1        73     -19.1167     -19.1167      0.0000
  QRF00005_AACY020656879.1       72     -10.0320     -10.0320      0.0000
  QRF00005_CP001744.1            73     -19.4630     -19.4630      0.0000
  QRF00005_CP000880.1            73     -23.0368     -23.0368      0.0000
  QRF00005_CACD01000012.1        73     -23.0368     -23.0368      0.0000
  QRF00005_CACD01000012.1        73     -23.0368     -23.0368      0.0000
  QRF00005_CACD01000012.1        73     -23.0368     -23.0368      0.0000
  QRF00005_AM849034.1            74     -21.3066     -21.3066      0.0000
  QRF00005_AM711867.1            74     -21.3066     -21.3066      0.0000
  QRF00005_AEQT01000005.1        73     -23.0368     -23.0368      0.0000
  QRF00005_AEQT01000005.1        73     -23.0368     -23.0368      0.0000
  QRF00005_ACDJ01000003.1        73     -23.0368     -23.0368      0.0000
  QRF00005_ABWL02000007.1        73     -23.0368     -23.0368      0.0000
  QRF00005_Z71579.1              73     -16.6810     -16.6810      0.0000
  QRF00005_X53782.1              73     -16.6810     -16.6810      0.0000
  QRF00005_M19391.1              73     -16.6810     -16.6810      0.0000
