# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00122.cm
# date:    Fri May 13 19:27:48 2016
# seed:    1463167668
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  GadY                       search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:55.72       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -38.4386     -38.4386      0.0000
  QRF01739_AGJC01000011.1        62     -36.2139     -36.2139      0.0000
  QRF01739_AP012205.1            62     -31.5312     -31.5312      0.0000
  QRF01739_AEPQ01000180.1        85     -33.9726     -33.9726      0.0000
  QRF01739_AACY023065314.1       57     -36.7200     -36.7200      0.0000
  QRF01739_AACY020081009.1       57     -36.7200     -36.7200      0.0000
  QRF01739_ACSK01000180.1        92     -32.4624     -32.4624      0.0000
  QRF01739_BA000039.2           113     -26.2772     -26.2772      0.0000
  QRF01739_AACY023081145.1       53     -44.5107     -44.5107      0.0000
  QRF01739_AFSR01000238.1        99     -30.6334     -30.6334      0.0000
  QRF01739_AGJC01000003.1        76     -25.8621     -25.8621      0.0000
  QRF01739_AFSR01000146.1        92     -36.8826     -36.8826      0.0000
  QRF01739_CACA01000349.1        84     -33.7694     -33.7694      0.0000
  QRF01739_AACY022751187.1       52     -43.4563     -43.4563      0.0000
  QRF01739_AACY022283709.1       52     -43.4563     -43.4563      0.0000
  QRF01739_ABPS01003770.1       123     -24.9868     -24.9868      0.0000
  QRF01739_AFEJ01000345.1        83     -38.9990     -38.9990      0.0000
  QRF00005_CABR01000029.1        73     -30.4079     -30.4079      0.0000
  QRF00005_AFSR01002788.1        74     -25.3496     -25.3496      0.0000
  QRF00005_CP000927.1            72     -26.9380     -26.9380      0.0000
  QRF00005_AY741371.1            72     -31.9682     -31.9682      0.0000
  QRF00005_AEGR01000006.1        73     -30.2845     -30.2845      0.0000
  QRF00005_CP001189.1            73     -27.6115     -27.6115      0.0000
  QRF00005_CP000493.1            72     -27.5877     -27.5877      0.0000
  QRF00005_AP012159.1            73     -27.6115     -27.6115      0.0000
  QRF00005_AM889285.1            73     -27.6115     -27.6115      0.0000
  QRF00005_AGFR01000003.1        73     -30.3432     -30.3432      0.0000
  QRF00005_AFCH01000046.1        73     -27.6115     -27.6115      0.0000
  QRF00005_ADTV01000009.1        73     -27.6115     -27.6115      0.0000
  QRF00005_ABCE01000025.1        73     -33.2095     -33.2095      0.0000
  QRF00005_HM565909.1            72     -31.6418     -31.6418      0.0000
  QRF00005_CAFG01000441.1        73     -31.7025     -31.7025      0.0000
  QRF00005_AACY020656879.1       72     -30.2578     -30.2578      0.0000
  QRF00005_CP001744.1            73     -35.0117     -35.0117      0.0000
  QRF00005_CP000880.1            73     -31.2545     -31.2545      0.0000
  QRF00005_CACD01000012.1        73     -31.2545     -31.2545      0.0000
  QRF00005_CACD01000012.1        73     -31.2545     -31.2545      0.0000
  QRF00005_CACD01000012.1        73     -31.2545     -31.2545      0.0000
  QRF00005_AM849034.1            74     -22.5501     -22.5501      0.0000
  QRF00005_AM711867.1            74     -22.5501     -22.5501      0.0000
  QRF00005_AEQT01000005.1        73     -31.2545     -31.2545      0.0000
  QRF00005_AEQT01000005.1        73     -31.2545     -31.2545      0.0000
  QRF00005_ACDJ01000003.1        73     -31.2545     -31.2545      0.0000
  QRF00005_ABWL02000007.1        73     -31.2545     -31.2545      0.0000
  QRF00005_Z71579.1              73     -32.2435     -32.2435      0.0000
  QRF00005_X53782.1              73     -32.2435     -32.2435      0.0000
  QRF00005_M19391.1              73     -32.2435     -32.2435      0.0000
  QRF00005_M15314.1              73     -32.2435     -32.2435      0.0000
  QRF00005_L42023.1              73     -32.2435     -32.2435      0.0000
  QRF00005_L42023.1              73     -32.2435     -32.2435      0.0000
  QRF00005_L42023.1              73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670204.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670204.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670204.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670178.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670178.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670178.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ670178.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312006.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312006.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312006.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312002.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312002.1            73     -32.2435     -32.2435      0.0000
  QRF00005_FQ312002.1            73     -32.2435     -32.2435      0.0000
  QRF00005_EF196803.1            73     -32.2435     -32.2435      0.0000
  QRF00005_EF196803.1            73     -32.2435     -32.2435      0.0000
  QRF00005_CP003022.1            73     -32.2435     -32.2435      0.0000
  QRF00001_EU093378.1           119     -27.5537     -27.5537      0.0000
  QRF00001_AAAA02047827.1       119     -27.5537     -27.5537      0.0000
  QRF00001_AAAA02043281.1       119     -29.9359     -29.9359      0.0000
  QRF00001_EF064700.1           119     -26.2742     -26.2742      0.0000
  QRF00001_EF064692.1           119     -26.2742     -26.2742      0.0000
  QRF00001_EF064687.1           119     -26.2742     -26.2742      0.0000
  QRF00001_EF064680.1           119     -26.2742     -26.2742      0.0000
  QRF00001_EF064678.1           119     -26.2742     -26.2742      0.0000
  QRF00001_EF064556.1           119     -26.2742     -26.2742      0.0000
  QRF00001_AJ390135.1           119     -26.2742     -26.2742      0.0000
  QRF00001_HQ270965.1           119     -27.5537     -27.5537      0.0000
  QRF00001_GQ324770.1           119     -27.5537     -27.5537      0.0000
  QRF00001_FJ882503.1           119     -27.5537     -27.5537      0.0000
  QRF00001_AF550740.1           119     -27.5537     -27.5537      0.0000
  QRF00001_HQ270648.1           119     -27.5537     -27.5537      0.0000
  QRF00001_EU924818.1           119     -27.5537     -27.5537      0.0000
  QRF00001_EU093153.1           119     -27.5537     -27.5537      0.0000
  QRF00001_EF524209.1           119     -27.5537     -27.5537      0.0000
