# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01529.cm
# date:    Sat May 14 03:34:14 2016
# seed:    1463196854
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  CC3552                     search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:55.82       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -30.3109     -30.3109      0.0000
  QRF01739_AGJC01000011.1        62     -28.0529     -28.0529      0.0000
  QRF01739_AP012205.1            62     -28.7276     -28.7276      0.0000
  QRF01739_AEPQ01000180.1        85     -16.5632     -16.5632      0.0000
  QRF01739_AACY023065314.1       57     -26.7608     -26.7608      0.0000
  QRF01739_AACY020081009.1       57     -26.7608     -26.7608      0.0000
  QRF01739_ACSK01000180.1        92     -21.8065     -21.8065      0.0000
  QRF01739_BA000039.2           113     -20.2647     -20.2647      0.0000
  QRF01739_AACY023081145.1       53     -36.0746     -36.0746      0.0000
  QRF01739_AFSR01000238.1        99     -21.0048     -21.0048      0.0000
  QRF01739_AGJC01000003.1        76     -24.4178     -24.4178      0.0000
  QRF01739_AFSR01000146.1        92     -20.8310     -20.8310      0.0000
  QRF01739_CACA01000349.1        84     -28.6722     -28.6722      0.0000
  QRF01739_AACY022751187.1       52     -29.9019     -29.9019      0.0000
  QRF01739_AACY022283709.1       52     -29.9019     -29.9019      0.0000
  QRF01739_ABPS01003770.1       123     -18.2062     -18.2062      0.0000
  QRF01739_AFEJ01000345.1        83     -23.0156     -23.0156      0.0000
  QRF00005_CABR01000029.1        73     -32.2987     -32.2987      0.0000
  QRF00005_AFSR01002788.1        74     -30.2409     -30.2409      0.0000
  QRF00005_CP000927.1            72     -30.8262     -30.8262      0.0000
  QRF00005_AY741371.1            72     -30.9872     -30.9872      0.0000
  QRF00005_AEGR01000006.1        73     -27.1872     -27.1872      0.0000
  QRF00005_CP001189.1            73     -29.7369     -29.7369      0.0000
  QRF00005_CP000493.1            72     -27.1577     -27.1577      0.0000
  QRF00005_AP012159.1            73     -29.7369     -29.7369      0.0000
  QRF00005_AM889285.1            73     -29.7369     -29.7369      0.0000
  QRF00005_AGFR01000003.1        73     -29.4123     -29.4123      0.0000
  QRF00005_AFCH01000046.1        73     -29.7369     -29.7369      0.0000
  QRF00005_ADTV01000009.1        73     -29.7369     -29.7369      0.0000
  QRF00005_ABCE01000025.1        73     -25.0972     -25.0972      0.0000
  QRF00005_HM565909.1            72     -29.6311     -29.6311      0.0000
  QRF00005_CAFG01000441.1        73     -31.2899     -31.2899      0.0000
  QRF00005_AACY020656879.1       72     -31.8541     -31.8541      0.0000
  QRF00005_CP001744.1            73     -22.4658     -22.4658      0.0000
  QRF00005_CP000880.1            73     -25.9118     -25.9118      0.0000
  QRF00005_CACD01000012.1        73     -25.9118     -25.9118      0.0000
  QRF00005_CACD01000012.1        73     -25.9118     -25.9118      0.0000
  QRF00005_CACD01000012.1        73     -25.9118     -25.9118      0.0000
  QRF00005_AM849034.1            74     -23.0736     -23.0736      0.0000
  QRF00005_AM711867.1            74     -23.0736     -23.0736      0.0000
  QRF00005_AEQT01000005.1        73     -25.9118     -25.9118      0.0000
  QRF00005_AEQT01000005.1        73     -25.9118     -25.9118      0.0000
  QRF00005_ACDJ01000003.1        73     -25.9118     -25.9118      0.0000
  QRF00005_ABWL02000007.1        73     -25.9118     -25.9118      0.0000
  QRF00005_Z71579.1              73     -30.2279     -30.2279      0.0000
  QRF00005_X53782.1              73     -30.2279     -30.2279      0.0000
  QRF00005_M19391.1              73     -30.2279     -30.2279      0.0000
  QRF00005_M15314.1              73     -30.2279     -30.2279      0.0000
  QRF00005_L42023.1              73     -30.2279     -30.2279      0.0000
  QRF00005_L42023.1              73     -30.2279     -30.2279      0.0000
  QRF00005_L42023.1              73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670204.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670204.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670204.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670178.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670178.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670178.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ670178.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312006.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312006.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312006.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312002.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312002.1            73     -30.2279     -30.2279      0.0000
  QRF00005_FQ312002.1            73     -30.2279     -30.2279      0.0000
  QRF00005_EF196803.1            73     -30.2279     -30.2279      0.0000
  QRF00005_EF196803.1            73     -30.2279     -30.2279      0.0000
  QRF00005_CP003022.1            73     -30.2279     -30.2279      0.0000
  QRF00001_EU093378.1           119     -18.8904     -18.8904      0.0000
  QRF00001_AAAA02047827.1       119     -18.0713     -18.0713      0.0000
  QRF00001_AAAA02043281.1       119     -14.0499     -14.0499      0.0000
  QRF00001_EF064700.1           119     -13.1106     -13.1106      0.0000
  QRF00001_EF064692.1           119     -13.1106     -13.1106      0.0000
  QRF00001_EF064687.1           119     -13.1106     -13.1106      0.0000
  QRF00001_EF064680.1           119     -13.1106     -13.1106      0.0000
  QRF00001_EF064678.1           119     -13.1106     -13.1106      0.0000
