# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF00019.cm
# date:    Sat May 14 02:20:54 2016
# seed:    1463192454
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  Y_RNA                      search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:43.49       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -33.1051     -33.1051      0.0000
  QRF01739_AGJC01000011.1        62     -28.3856     -28.3856      0.0000
  QRF01739_AP012205.1            62     -29.5500     -29.5500      0.0000
  QRF01739_AEPQ01000180.1        85     -24.0661     -24.0661      0.0000
  QRF01739_AACY023065314.1       57     -27.5173     -27.5173      0.0000
  QRF01739_AACY020081009.1       57     -27.5173     -27.5173      0.0000
  QRF01739_ACSK01000180.1        92     -27.3828     -27.3828      0.0000
  QRF01739_BA000039.2           113     -16.7234     -16.7234      0.0000
  QRF01739_AACY023081145.1       53     -32.1536     -32.1536      0.0000
  QRF01739_AFSR01000238.1        99     -21.2367     -21.2367      0.0000
  QRF01739_AGJC01000003.1        76     -22.5209     -22.5209      0.0000
  QRF01739_AFSR01000146.1        92     -26.2393     -26.2393      0.0000
  QRF01739_CACA01000349.1        84     -31.5793     -31.5793      0.0000
  QRF01739_AACY022751187.1       52     -32.1207     -32.1207      0.0000
