# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01402.cm
# date:    Sat May 14 04:22:59 2016
# seed:    1463199779
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  STnc150                    search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:02:11.10       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61    -101.4137    -101.4137      0.0000
  QRF01739_AGJC01000011.1        62    -105.1562    -105.1562      0.0000
  QRF01739_AP012205.1            62    -101.6066    -101.6066      0.0000
  QRF01739_AEPQ01000180.1        85     -91.0874     -91.0874      0.0000
  QRF01739_AACY023065314.1       57    -104.2281    -104.2281      0.0000
  QRF01739_AACY020081009.1       57    -104.2281    -104.2281      0.0000
  QRF01739_ACSK01000180.1        92     -92.9903     -92.9903      0.0000
  QRF01739_BA000039.2           113     -86.5172     -86.5172      0.0000
  QRF01739_AACY023081145.1       53    -110.5256    -110.5256      0.0000
  QRF01739_AFSR01000238.1        99    -103.2217    -103.2217      0.0000
  QRF01739_AGJC01000003.1        76     -97.8825     -97.8825      0.0000
  QRF01739_AFSR01000146.1        92    -102.7550    -102.7550      0.0000
  QRF01739_CACA01000349.1        84    -100.1776    -100.1776      0.0000
  QRF01739_AACY022751187.1       52    -108.9969    -108.9969      0.0000
  QRF01739_AACY022283709.1       52    -108.9969    -108.9969      0.0000
  QRF01739_ABPS01003770.1       123     -89.0303     -89.0303      0.0000
  QRF01739_AFEJ01000345.1        83    -104.6715    -104.6715      0.0000
  QRF00005_CABR01000029.1        73    -106.3882    -106.3882      0.0000
  QRF00005_AFSR01002788.1        74    -104.5215    -104.5215      0.0000
  QRF00005_CP000927.1            72    -101.5378    -101.5378      0.0000
  QRF00005_AY741371.1            72    -105.8287    -105.8287      0.0000
  QRF00005_AEGR01000006.1        73    -100.2947    -100.2947      0.0000
  QRF00005_CP001189.1            73     -98.0762     -98.0762      0.0000
  QRF00005_CP000493.1            72    -109.9646    -109.9646      0.0000
  QRF00005_AP012159.1            73     -98.0762     -98.0762      0.0000
  QRF00005_AM889285.1            73     -98.0762     -98.0762      0.0000
  QRF00005_AGFR01000003.1        73     -94.6871     -94.6871      0.0000
  QRF00005_AFCH01000046.1        73     -98.0762     -98.0762      0.0000
  QRF00005_ADTV01000009.1        73     -98.0762     -98.0762      0.0000
  QRF00005_ABCE01000025.1        73    -101.7195    -101.7195      0.0000
  QRF00005_HM565909.1            72    -106.0072    -106.0072      0.0000
  QRF00005_CAFG01000441.1        73    -107.5374    -107.5374      0.0000
  QRF00005_AACY020656879.1       72    -108.7882    -108.7882      0.0000
  QRF00005_CP001744.1            73    -102.4120    -102.4120      0.0000
  QRF00005_CP000880.1            73     -97.8407     -97.8407      0.0000
  QRF00005_CACD01000012.1        73     -97.8407     -97.8407      0.0000
  QRF00005_CACD01000012.1        73     -97.8407     -97.8407      0.0000
  QRF00005_CACD01000012.1        73     -97.8407     -97.8407      0.0000
  QRF00005_AM849034.1            74    -102.2158    -102.2158      0.0000
  QRF00005_AM711867.1            74    -102.2158    -102.2158      0.0000
  QRF00005_AEQT01000005.1        73     -97.8407     -97.8407      0.0000
  QRF00005_AEQT01000005.1        73     -97.8407     -97.8407      0.0000
  QRF00005_ACDJ01000003.1        73     -97.8407     -97.8407      0.0000
  QRF00005_ABWL02000007.1        73     -97.8407     -97.8407      0.0000
  QRF00005_Z71579.1              73    -103.6145    -103.6145      0.0000
  QRF00005_X53782.1              73    -103.6145    -103.6145      0.0000
  QRF00005_M19391.1              73    -103.6145    -103.6145      0.0000
  QRF00005_M15314.1              73    -103.6145    -103.6145      0.0000
  QRF00005_L42023.1              73    -103.6145    -103.6145      0.0000
  QRF00005_L42023.1              73    -103.6145    -103.6145      0.0000
  QRF00005_L42023.1              73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670204.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670204.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670204.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670178.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670178.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670178.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ670178.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312006.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312006.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312006.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312002.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312002.1            73    -103.6145    -103.6145      0.0000
  QRF00005_FQ312002.1            73    -103.6145    -103.6145      0.0000
  QRF00005_EF196803.1            73    -103.6145    -103.6145      0.0000
  QRF00005_EF196803.1            73    -103.6145    -103.6145      0.0000
  QRF00005_CP003022.1            73    -103.6145    -103.6145      0.0000
  QRF00001_EU093378.1           119     -89.4762     -89.4762      0.0000
  QRF00001_AAAA02047827.1       119     -89.0091     -89.0091      0.0000
  QRF00001_AAAA02043281.1       119     -88.1994     -88.1994      0.0000
  QRF00001_EF064700.1           119     -91.2102     -91.2102      0.0000
  QRF00001_EF064692.1           119     -91.2102     -91.2102      0.0000
  QRF00001_EF064687.1           119     -91.2102     -91.2102      0.0000
  QRF00001_EF064680.1           119     -91.2102     -91.2102      0.0000
  QRF00001_EF064678.1           119     -91.2102     -91.2102      0.0000
  QRF00001_EF064556.1           119     -91.2102     -91.2102      0.0000
  QRF00001_AJ390135.1           119     -91.2102     -91.2102      0.0000
  QRF00001_HQ270965.1           119     -88.5975     -88.5975      0.0000
  QRF00001_GQ324770.1           119     -88.5975     -88.5975      0.0000
  QRF00001_FJ882503.1           119     -88.5975     -88.5975      0.0000
  QRF00001_AF550740.1           119     -88.5975     -88.5975      0.0000
  QRF00001_HQ270648.1           119     -88.9695     -88.9695      0.0000
  QRF00001_EU924818.1           119     -88.9695     -88.9695      0.0000
  QRF00001_EU093153.1           119     -88.9695     -88.9695      0.0000
  QRF00001_EF524209.1           119     -88.9695     -88.9695      0.0000
  QRF00001_AY316209.1           119     -88.9695     -88.9695      0.0000
  QRF00001_AY034674.1           119     -88.9695     -88.9695      0.0000
  QRF00001_AJ409525.1           119     -88.9695     -88.9695      0.0000
  QRF00001_AF550715.1           119     -88.9695     -88.9695      0.0000
  QRF00001_ABXC01010155.1       119     -88.9695     -88.9695      0.0000
