# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF01716.cm
# date:    Sun May  8 20:48:43 2016
# seed:    1462715323
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  PhotoRC-I                  search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.16       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73      -4.2048      -4.2048      0.0000
  trna_2                         74      -9.2529      -9.2529      0.0000
  trna_3                         73      -8.2418      -8.2418      0.0000
  trna_4                         72     -12.0425     -12.0425      0.0000
  trna_5                         72     -13.0869     -13.0869      0.0000
  trna_6                         73     -10.8940     -10.8940      0.0000
  trna_7                         73     -14.7775     -14.7775      0.0000
  trna_8                         73     -11.7300     -11.7300      0.0000
  trna_9                         73      -3.1220      -3.1220      0.0000
  trna_10                        72      -9.9424      -9.9424      0.0000
  u5_1                          114      -6.9967      -6.9967      0.0000
  u5_2                          116       0.8726       0.8726      0.0000
  u5_3                          118      -3.7760      -3.7760      0.0000
  u5_4                          117      -4.0090      -4.0090      0.0000
  u5_5                          107     -11.1919     -11.1919      0.0000
  u5_6                          116      -3.7760      -3.7760      0.0000
  u5_7                          116      -7.1461      -7.1461      0.0000
  u5_8                          126      -7.1461      -7.1461      0.0000
  u5_9                          115     -10.4349     -10.4349      0.0000
  u5_10                         115      -3.7760      -3.7760      0.0000
  rrtWT_uc011zgd.1_2370         100      -8.7984      -8.7984      0.0000
  rrtWT_uc007ino.1_879          100     -11.3876     -11.3876      0.0000
  rrtWT_uc012dtn.1_1041         100     -13.3411     -13.3411      0.0000
  rrtWT_uc007bjr.2_621          100     -10.2415     -10.2415      0.0000
  rrtWT_uc008hom.1_603          100     -10.6034     -10.6034      0.0000
  rrtWT_uc007wki.1_323          100      -9.2314      -9.2314      0.0000
  rrtWT_uc008fec.1_254          100     -10.8016     -10.8016      0.0000
  rrtWT_uc007wxx.1_716          100      -7.5309      -7.5309      0.0000
  rrtWT_uc009qex.2_2789         100      -0.2829      -0.2829      0.0000
  rrtWT_uc007xbv.1_1165         100      -9.5397      -9.5397      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.44    0.36        0  0.00000    0.00
#
# CPU time: 0.60u 0.00s 00:00:00.60 Elapsed: 00:00:01
