# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db /Users/phizaz/Projects/nofold-ssl/models/rfam_cms/RF00132.cm
# date:    Sun May  8 20:38:16 2016
# seed:    1462714696
# mode:    input file (/Users/phizaz/Projects/nofold-ssl/demo/demo1/demo1.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  snoR24                     search  glocal   no      30
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.31       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  trna_1                         73     -25.6610     -25.6610      0.0000
  trna_2                         74     -31.4811     -31.4811      0.0000
  trna_3                         73     -30.2227     -30.2227      0.0000
  trna_4                         72     -32.9397     -32.9397      0.0000
  trna_5                         72     -33.1170     -33.1170      0.0000
  trna_6                         73     -31.5981     -31.5981      0.0000
  trna_7                         73     -29.2131     -29.2131      0.0000
  trna_8                         73     -32.8124     -32.8124      0.0000
  trna_9                         73     -32.2909     -32.2909      0.0000
  trna_10                        72     -28.9996     -28.9996      0.0000
  u5_1                          114     -12.5558     -12.5558      0.0000
  u5_2                          116     -18.1026     -18.1026      0.0000
  u5_3                          118     -23.8887     -23.8887      0.0000
  u5_4                          117     -13.0725     -13.0725      0.0000
  u5_5                          107     -18.2828     -18.2828      0.0000
  u5_6                          116     -18.3922     -18.3922      0.0000
  u5_7                          116     -18.6371     -18.6371      0.0000
  u5_8                          126      -9.9140      -9.9140      0.0000
  u5_9                          115     -15.5803     -15.5803      0.0000
  u5_10                         115     -14.8260     -14.8260      0.0000
  rrtWT_uc011zgd.1_2370         100      -6.1333      -6.1333      0.0000
  rrtWT_uc007ino.1_879          100      -9.6059      -9.6059      0.0000
  rrtWT_uc012dtn.1_1041         100     -13.8717     -13.8717      0.0000
  rrtWT_uc007bjr.2_621          100      -6.7858      -6.7858      0.0000
  rrtWT_uc008hom.1_603          100     -18.0193     -18.0193      0.0000
  rrtWT_uc007wki.1_323          100     -19.5066     -19.5066      0.0000
  rrtWT_uc008fec.1_254          100      -3.3869      -3.3869      0.0000
  rrtWT_uc007wxx.1_716          100     -20.5937     -20.5937      0.0000
  rrtWT_uc009qex.2_2789         100     -17.6865     -17.6865      0.0000
  rrtWT_uc007xbv.1_1165         100     -13.6989     -13.6989      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.57    0.53        0  0.00000    0.00
#
# CPU time: 0.89u 0.01s 00:00:00.90 Elapsed: 00:00:02
