# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01853.cm
# date:    Sat May 14 04:39:11 2016
# seed:    1463200751
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/query/query.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  mtDNA_ssA                  search  glocal   no    2306
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:48.90       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  QRF01739_AESD01000480.1        61     -34.6564     -34.6564      0.0000
  QRF01739_AGJC01000011.1        62     -34.7283     -34.7283      0.0000
  QRF01739_AP012205.1            62     -30.7214     -30.7214      0.0000
  QRF01739_AEPQ01000180.1        85     -19.0673     -19.0673      0.0000
  QRF01739_AACY023065314.1       57     -35.7766     -35.7766      0.0000
  QRF01739_AACY020081009.1       57     -35.7766     -35.7766      0.0000
  QRF01739_ACSK01000180.1        92     -29.2425     -29.2425      0.0000
  QRF01739_BA000039.2           113     -19.5347     -19.5347      0.0000
  QRF01739_AACY023081145.1       53     -36.7688     -36.7688      0.0000
  QRF01739_AFSR01000238.1        99     -26.3349     -26.3349      0.0000
  QRF01739_AGJC01000003.1        76     -31.6223     -31.6223      0.0000
  QRF01739_AFSR01000146.1        92     -34.4572     -34.4572      0.0000
  QRF01739_CACA01000349.1        84     -32.5134     -32.5134      0.0000
  QRF01739_AACY022751187.1       52     -37.6280     -37.6280      0.0000
  QRF01739_AACY022283709.1       52     -37.6280     -37.6280      0.0000
  QRF01739_ABPS01003770.1       123     -23.5118     -23.5118      0.0000
  QRF01739_AFEJ01000345.1        83     -28.3694     -28.3694      0.0000
  QRF00005_CABR01000029.1        73     -32.1684     -32.1684      0.0000
  QRF00005_AFSR01002788.1        74     -29.7429     -29.7429      0.0000
  QRF00005_CP000927.1            72     -26.3860     -26.3860      0.0000
  QRF00005_AY741371.1            72     -29.4400     -29.4400      0.0000
  QRF00005_AEGR01000006.1        73     -28.1064     -28.1064      0.0000
  QRF00005_CP001189.1            73     -31.1987     -31.1987      0.0000
  QRF00005_CP000493.1            72     -33.5315     -33.5315      0.0000
  QRF00005_AP012159.1            73     -31.1987     -31.1987      0.0000
  QRF00005_AM889285.1            73     -31.1987     -31.1987      0.0000
  QRF00005_AGFR01000003.1        73     -30.5522     -30.5522      0.0000
  QRF00005_AFCH01000046.1        73     -31.1987     -31.1987      0.0000
  QRF00005_ADTV01000009.1        73     -31.1987     -31.1987      0.0000
  QRF00005_ABCE01000025.1        73     -24.2828     -24.2828      0.0000
  QRF00005_HM565909.1            72     -28.6300     -28.6300      0.0000
  QRF00005_CAFG01000441.1        73     -25.8384     -25.8384      0.0000
  QRF00005_AACY020656879.1       72     -29.1670     -29.1670      0.0000
  QRF00005_CP001744.1            73     -24.9201     -24.9201      0.0000
  QRF00005_CP000880.1            73     -29.8500     -29.8500      0.0000
  QRF00005_CACD01000012.1        73     -29.8500     -29.8500      0.0000
  QRF00005_CACD01000012.1        73     -29.8500     -29.8500      0.0000
  QRF00005_CACD01000012.1        73     -29.8500     -29.8500      0.0000
  QRF00005_AM849034.1            74     -33.9721     -33.9721      0.0000
  QRF00005_AM711867.1            74     -33.9721     -33.9721      0.0000
  QRF00005_AEQT01000005.1        73     -29.8500     -29.8500      0.0000
  QRF00005_AEQT01000005.1        73     -29.8500     -29.8500      0.0000
  QRF00005_ACDJ01000003.1        73     -29.8500     -29.8500      0.0000
  QRF00005_ABWL02000007.1        73     -29.8500     -29.8500      0.0000
  QRF00005_Z71579.1              73     -31.2299     -31.2299      0.0000
  QRF00005_X53782.1              73     -31.2299     -31.2299      0.0000
  QRF00005_M19391.1              73     -31.2299     -31.2299      0.0000
  QRF00005_M15314.1              73     -31.2299     -31.2299      0.0000
  QRF00005_L42023.1              73     -31.2299     -31.2299      0.0000
  QRF00005_L42023.1              73     -31.2299     -31.2299      0.0000
  QRF00005_L42023.1              73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670204.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670204.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670204.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670178.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670178.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670178.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ670178.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312006.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312006.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312006.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312002.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312002.1            73     -31.2299     -31.2299      0.0000
  QRF00005_FQ312002.1            73     -31.2299     -31.2299      0.0000
  QRF00005_EF196803.1            73     -31.2299     -31.2299      0.0000
  QRF00005_EF196803.1            73     -31.2299     -31.2299      0.0000
  QRF00005_CP003022.1            73     -31.2299     -31.2299      0.0000
  QRF00001_EU093378.1           119     -25.5377     -25.5377      0.0000
  QRF00001_AAAA02047827.1       119     -21.4067     -21.4067      0.0000
  QRF00001_AAAA02043281.1       119     -18.9974     -18.9974      0.0000
  QRF00001_EF064700.1           119     -22.0184     -22.0184      0.0000
  QRF00001_EF064692.1           119     -22.0184     -22.0184      0.0000
  QRF00001_EF064687.1           119     -22.0184     -22.0184      0.0000
  QRF00001_EF064680.1           119     -22.0184     -22.0184      0.0000
  QRF00001_EF064678.1           119     -22.0184     -22.0184      0.0000
  QRF00001_EF064556.1           119     -22.0184     -22.0184      0.0000
  QRF00001_AJ390135.1           119     -22.0184     -22.0184      0.0000
  QRF00001_HQ270965.1           119     -21.4067     -21.4067      0.0000
  QRF00001_GQ324770.1           119     -21.4067     -21.4067      0.0000
  QRF00001_FJ882503.1           119     -21.4067     -21.4067      0.0000
  QRF00001_AF550740.1           119     -21.4067     -21.4067      0.0000
  QRF00001_HQ270648.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EU924818.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EU093153.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EF524209.1           119     -21.0114     -21.0114      0.0000
  QRF00001_AY316209.1           119     -21.0114     -21.0114      0.0000
  QRF00001_AY034674.1           119     -21.0114     -21.0114      0.0000
  QRF00001_AJ409525.1           119     -21.0114     -21.0114      0.0000
  QRF00001_AF550715.1           119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01010155.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009775.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009775.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009775.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009135.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009119.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01009117.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005845.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005845.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005844.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005841.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005839.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005838.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005838.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005835.1       119     -21.0114     -21.0114      0.0000
  QRF00001_ABXC01005835.1       119     -21.0114     -21.0114      0.0000
  QRF00001_AAAA02039752.1       119     -21.0114     -21.0114      0.0000
  QRF00001_EU925066.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EU093209.1           119     -21.0114     -21.0114      0.0000
  QRF00001_U02637.1             119     -21.0114     -21.0114      0.0000
  QRF00001_EU439291.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EU439286.1           119     -21.0114     -21.0114      0.0000
  QRF00001_EU439284.1           119     -21.0114     -21.0114      0.0000
