# cmscore :: score RNA covariance model against sequences
# INFERNAL 1.0.2 (October 2009)
# Copyright (C) 2009 HHMI Janelia Farm Research Campus
# Freely distributed under the GNU General Public License (GPLv3)
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# command: /usr/local/bin/cmscore --search -a --infile /home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db /home/the_akita_ta/nofold-ssl/models/rfam_cms/RF01992.cm
# date:    Tue May 10 02:37:01 2016
# seed:    1462847821
# mode:    input file (/home/the_akita_ta/nofold-ssl/Rfam-seed/db/RF00418/RF00418.db)
#
#  idx  cm name                     strat  config  sub    nseq
# ----  -------------------------  ------  ------  ---  ------
#    1  VIS1                       search  glocal   no      19
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      1      cyk      -       -  00:00:00.72       -        -        -       -
#
# seq name                   length   stage 1 sc  stage  2 sc      sc dif
# -------------------------  ------  -----------  -----------  ----------
  RF00418_AAGU02227281.1        136     -47.9805     -47.9805      0.0000
  RF00418_AAIY01556911.1        141     -47.3662     -47.3662      0.0000
  RF00418_AAYZ01244227.1        137     -45.9154     -45.9154      0.0000
  RF00418_AF357386.1            126     -60.5265     -60.5265      0.0000
  RF00418_AABR04001620.1        135     -52.0466     -52.0466      0.0000
  RF00418_AAQQ01789110.1        137     -52.3798     -52.3798      0.0000
  RF00418_AJ609450.1            137     -48.8395     -48.8395      0.0000
  RF00418_AL590431.11           136     -43.7753     -43.7753      0.0000
  RF00418_AL049745.9            136     -42.8723     -42.8723      0.0000
  RF00418_ABDC01240840.1        136     -43.4616     -43.4616      0.0000
  RF00418_AAQR01162064.1        136     -50.6600     -50.6600      0.0000
  RF00418_AAEX02026315.1        137     -47.9723     -47.9723      0.0000
  RF00418_AANG01021210.1        136     -54.0456     -54.0456      0.0000
  RF00418_AAFC03027776.1        135     -53.3675     -53.3675      0.0000
  RF00418_AAPE01281662.1        136     -47.0410     -47.0410      0.0000
  RF00418_AALT01368588.1        136     -53.1531     -53.1531      0.0000
  RF00418_AAWR02038694.1        136     -47.4702     -47.4702      0.0000
  RF00418_AAGV020286123.1       137     -40.3755     -40.3755      0.0000
  RF00418_AAFR03052180.1        134     -49.8612     -49.8612      0.0000
#
#                                                  comparison with stage 1    
#                                             --------------------------------
# stage      alg  bands     tau     run time   spdup  num dif  frc dif  sc dif
# -----  -------  -----  ------  -----------  ------  -------  -------  ------
      2      cyk    hmm   1e-07  00:00:00.66    1.09        0  0.00000    0.00
#
# CPU time: 1.38u 0.01s 00:00:01.39 Elapsed: 00:00:01
